alpha,a_pol,s_pol,E_pol,a_1,a_2,s_bi,E_bi
7.469298245614034,0,0,0,0.0,1.0,447.21359549995793,-3.7346341228070172
7.519421052631579,0,0,0,0.0,1.0,447.21359549995793,-3.7596955263157894
7.569543859649122,0,0,0,0.20536434097957743,0.20536453611233893,1.053780027762942,-3.6722826123278827
7.619666666666666,0,0,0,0.20367564016389492,0.203670669684616,1.0470006440591118,-3.7146040013241737
7.66978947368421,0,0,0,0.201993741236593,0.20198972078162936,1.040290350740018,-3.757157347229573
7.719912280701754,0,0,0,0.2003209225479589,0.2003189124973932,1.0336512179147581,-3.799943147753707
7.770035087719298,0,0,0,0.1986579311891297,0.19865795653624427,1.0270812245193914,-3.842961900705113
7.820157894736841,0,0,0,0.19700571965443048,0.197005606801118,1.0205799069607153,-3.886214103611577
7.870280701754385,0,0,0,0.19536323711562553,0.19536357145810193,1.0141467390795944,-3.9297002534009238
7.920403508771929,0,0,0,0.19373154716169697,0.19373176264117764,1.0077808583475147,-3.9734208460789606
7.970526315789473,0,0,0,0.19210993136418392,0.19210998389437844,1.0014805750711895,-4.0173763764288175
8.020649122807017,0,0,0,0.19049874785560345,0.1904987301801962,0.9952457645619924,-4.06156733772255
8.07077192982456,0,0,0,0.18889772315583583,0.18889889399863385,0.9890752530444297,-4.105994221432015
8.120894736842104,0,0,0,0.18730797875915436,0.1873079896583393,0.9829675976865347,-4.150657516976668
8.171017543859648,0,0,0,0.1857285035296384,0.18572851117022948,0.9769233565959637,-4.195557711422184
8.221140350877192,0,0,0,0.18415962895309992,0.18415939842188983,0.9709409410012261,-4.240695289263476
8.271263157894735,0,0,0,0.18260166351048418,0.18260135505819816,0.9650196378235267,-4.286070732159144
8.32138596491228,0,0,0,0.18105380960080153,0.18105568118689966,0.9591588022571254,-4.331684518705229
8.371508771929824,0,0,0,0.1795164580672924,0.179516554271294,0.9533539587604163,-4.377537124186155
8.421631578947366,0,0,0,0.17799240689178683,0.17799497130008296,0.9476102897620464,-4.4236290204774
8.47175438596491,0,0,0,0.17647985815063819,0.17647992951893055,0.941929701292347,-4.4699606758338675
8.521877192982455,0,0,0,0.1749772753944043,0.17497786074256774,0.9363035630078776,-4.516532554256605
8.572,0,0,0,0.1734859423706239,0.17348709331387085,0.9307342308196478,-4.563345116009813
8.622122807017542,0,0,0,0.17200560551045763,0.17200749192162557,0.925220492775152,-4.610398817024532
8.672245614035086,0,0,0,0.17053799222411062,0.1705380617429585,0.9197613653404986,-4.657694108848016
8.72236842105263,0,0,0,0.16908123065246658,0.1690811439206871,0.914358660770467,-4.705231438428641
8.772491228070173,0,0,0,0.16763561877612776,0.16763570558234375,0.9090091084099744,-4.753011248063648
8.822614035087717,0,0,0,0.1662016829055759,0.16620170166186082,0.9037133975947698,-4.801033975213043
8.872736842105262,0,0,0,0.1647793615096532,0.16477938128495886,0.898470862179859,-4.8493000523948275
8.922859649122806,0,0,0,0.16336847820554803,0.16336847008113187,0.8932799189773546,-4.897809907070432
8.972982456140349,0,0,0,0.16196911873086697,0.1619705107789357,0.8881419198518815,-4.946563961534348
9.023105263157893,0,0,0,0.16058154452187356,0.16058266034958574,0.8830538534757834,-4.995562632860263
9.073228070175437,0,0,0,0.15920601438473037,0.1592069910855762,0.8780177851515324,-5.044806332741591
9.123350877192982,0,0,0,0.15784179537780807,0.15784264181964153,0.8730301700214946,-5.094295467497914
9.173473684210524,0,0,0,0.1564892363280677,0.15648985424943723,0.8680918222485811,-5.14403043794508
9.223596491228069,0,0,0,0.155148267070348,0.15514886320876453,0.8632021007447811,-5.194011639365159
9.273719298245613,0,0,0,0.15381924084150347,0.15381957413270395,0.8583610772750947,-5.244239461458523
9.323842105263155,0,0,0,0.1525017950815346,0.15250196208102912,0.8535677975826584,-5.294714288287944
9.3739649122807,0,0,0,0.1511960230700418,0.15119613843917956,0.8488218517052212,-5.34543649824697
9.424087719298244,0,0,0,0.14990169457599695,0.14990180078042237,0.8441215852862486,-5.396406464031988
9.474210526315789,0,0,0,0.14861974304075665,0.1486196385949161,0.8394687069142827,-5.447624552622309
9.524333333333331,0,0,0,0.14734870226878802,0.1473482869682754,0.834859099641183,-5.49909112525697
9.574456140350875,0,0,0,0.14608907767020957,0.14608864194954307,0.8302948402441457,-5.5508065374290165
9.62457894736842,0,0,0,0.1448417150231186,0.14484153660209106,0.8257777842884254,-5.6027711389344335
9.674701754385962,0,0,0,0.14360546409201552,0.14360548245829033,0.8213027338138779,-5.654985273732434
9.724824561403507,0,0,0,0.1423807985879585,0.14238069021189168,0.8168706749024296,-5.7074492801175705
9.774947368421051,0,0,0,0.1411676210946361,0.14116746834876479,0.8124819426594357,-5.760163490646804
9.825070175438595,0,0,0,0.13996617562963165,0.1399660961510688,0.8081364531144173,-5.81312823217252
9.875192982456138,0,0,0,0.13877549732127084,0.13877555308500855,0.803831045935046,-5.866343825878953
9.925315789473682,0,0,0,0.13759671352971242,0.13759673509966813,0.7995688295379777,-5.91981058728595
9.975438596491227,0,0,0,0.13642840267989229,0.13642887664987166,0.7953450098272092,-5.973528826302738
10.025561403508771,0,0,0,0.13527239813255681,0.1352724618990059,0.7911644325696279,-6.027498847285497
10.075684210526314,0,0,0,0.13412710163046035,0.1341271143970198,0.787022619365298,-6.081720948997159
10.125807017543858,0,0,0,0.13299298495956555,0.13299293248885954,0.78292040645966,-6.136195424743342
10.175929824561402,0,0,0,0.1318700469163761,0.13187003994938534,0.7788575962678722,-6.190922562369839
10.226052631578945,0,0,0,0.130757899821697,0.13075771344617196,0.7748323953804034,-6.245902644322936
10.27617543859649,0,0,0,0.12965621478349995,0.12965662246181828,0.7708447098383284,-6.301135947682091
10.326298245614034,0,0,0,0.12856653359291462,0.12856661259757582,0.7668975877669417,-6.356622744325712
10.376421052631578,0,0,0,0.127487252662003,0.12748724199035608,0.7629863272938918,-6.412363300758102
10.42654385964912,0,0,0,0.12641837622257884,0.1264183546796948,0.759110685139681,-6.468357878399241
10.476666666666665,0,0,0,0.12536050738132853,0.125360578988345,0.7552729436507436,-6.524606733560122
10.52678947368421,0,0,0,0.12431403132380181,0.12431084334090022,0.7514710772242019,-6.581110117356115
10.576912280701752,0,0,0,0.12327679089584294,0.12327426943976733,0.747705700691995,-6.637868276236824
