eta,U,s_opt,y_opt,E_opt,s_inf,y_inf,E_inf,E_binding
0.0,0.001,10.0,1.5988519455204924,0.027136734196274284,84.32383888101812,5000.001926368234,0.0004124502791203048,64.79395279875409
0.0,0.17337931034482756,10.0,1.5540405283365077,0.01357875580661058,40.50899494989128,5000.1255754310305,-0.0015861677176903157,9.560731412680097
0.0,0.3457586206896551,10.0,1.5041089493526627,8.769245406114318e-06,21.55729775135712,5000.062550548272,-0.006339433809950274,1.0013832852694748
0.0,0.5181379310344827,10.0,1.4519666512390395,-0.01357468167445032,14.508289841160895,5000.038861048873,-0.014237381282904629,0.046546453683166976
0.0,0.6905172413793103,10.0,1.3972053490947343,-0.027172449923192205,10.876436622658726,5000.019346954628,-0.025286397680558747,-0.07458762084104746
0.0,0.8628965517241378,8.024669670292777,1.398492353249356,-0.042432717914642384,8.712585762924853,5000.012892672249,-0.03948716877214568,-0.07459509592833871
0.0,1.0352758620689653,6.687472185500686,1.3987304926285593,-0.06107950959535913,7.2641988649414,5000.008741820595,-0.056839550985903875,-0.07459521646303567
0.0,1.207655172413793,5.734084198096736,1.3990702914006445,-0.08311305811397254,6.2274306312213135,5000.004403210464,-0.0773435685214272,-0.07459559602485855
0.0,1.3800344827586204,5.017761884269974,1.3984826963030754,-0.10853336308928768,5.450433083279608,5000.005087283684,-0.1009992656115924,-0.07459556692886025
0.0,1.5524137931034478,4.460580292212802,1.3984426141796753,-0.13734041947748335,4.844293535464689,5000.525528367629,-0.12780907115421797,-0.07457489704908811
0.0,1.7247931034482755,4.014838533424313,1.3984871519175557,-0.16953423005652735,4.360120180955508,5000.524684709369,-0.15776864925513376,-0.07457489721146698
0.0,1.8971724137931032,3.6500208693005503,1.3985418216467183,-0.2051147945376186,3.9643840814675086,5000.514532008225,-0.19087994796536265,-0.07457486616058297
0.0,2.0695517241379306,3.3460948589432618,1.3985269939376306,-0.2440821130656498,3.634237952693182,5000.514186615341,-0.22714295752705985,-0.07457486563972372
0.0,2.241931034482758,3.0888297205135116,1.3985824152028035,-0.28643618543285876,3.354741104885479,5000.516042940127,-0.26655768186170864,-0.07457486661916267
0.0,2.414310344827586,2.8682504921537353,1.3984901520476771,-0.3321770124146517,3.115254135065179,5000.513070717309,-0.3091241226319216,-0.0745748652238941
0.0,2.5866896551724134,2.6770819601031555,1.3985067809931704,-0.38130459312855847,2.9076480683094887,5000.513333035172,-0.3548422779909735,-0.07457486545123043
0.0,2.759068965517241,2.5098200284700916,1.3984680479714902,-0.4338189278218766,2.7260022893246156,5000.511524398552,-0.4037121490405829,-0.07457486442467015
0.0,2.9314482758620684,2.362256426207649,1.3985032997521556,-0.48972001662896614,2.565658354722234,5000.5159321084175,-0.45573373369243825,-0.07457486778774262
0.0,3.103827586206896,2.2310065855682555,1.3985485747136592,-0.5490078591524884,2.4231987224079443,5000.513058406303,-0.5109070360762539,-0.07457486467371317
