eta,U,a_bi,s_bi,y_bi,E_bi
0.0,0.001,0.999999999,95.21343136470458,10000.0,7.944105763591332e-05
0.0,0.10124812030075189,0.999999999,90.00080177644185,10000.0,-0.02510022554915057
0.0,0.20149624060150378,0.999999999,74.0525651080284,10000.0,-0.050210493599424456
0.0,0.30174436090225565,0.999999999,71.97389782527362,10000.0,-0.07544785009398985
0.0,0.40199248120300757,0.999999999,68.09002069021012,10000.0,-0.10068313041951153
0.0,0.5022406015037595,0.999999999,63.15392208809657,10000.0,-0.1259287962015878
0.0,0.6024887218045113,0.999999999,57.63384825596832,10000.0,-0.1511923022216889
0.0,0.7027368421052632,0.999999999,49.292052135244454,10000.0,-0.17645862186096858
0.0,0.8029849624060151,0.999999999,44.99899245278786,10000.0,-0.20177935051835852
0.0,0.903233082706767,0.999999999,42.78612066391032,10000.0,-0.22714432517477337
0.0,1.0034812030075189,0.999999999,39.62982407855199,10000.0,-0.25252815653647603
0.0,1.1037293233082708,0.999999999,37.07224229078664,10000.0,-0.27794453763446775
0.0,1.2039774436090225,0.999999999,34.56442611626834,10000.0,-0.303391097156496
0.0,1.3042255639097744,0.999999999,32.14683049784887,10000.0,-0.32886933165999677
0.0,1.4044736842105263,0.999999999,29.362872820443076,10000.0,-0.3543770889939238
0.0,1.5047218045112782,0.999999999,27.64123947875099,10000.0,-0.3799222091838017
0.0,1.6049699248120302,0.999999999,26.251418252310962,10000.0,-0.40550076767031756
0.0,1.705218045112782,0.999999999,24.78838046027726,10000.0,-0.4311108101903644
0.0,1.805466165413534,0.999999999,23.50571909415049,10000.0,-0.4567538372514187
0.0,1.905714285714286,0.999999999,22.040270421626335,10000.0,-0.48242808343570337
0.0,2.005962406015038,0.999999999,21.00847285065302,10000.0,-0.5081370983544321
0.0,2.1062105263157895,0.999999999,20.146704358977235,10000.0,-0.5338793850385335
0.0,2.2064586466165417,0.999999999,19.265132024977948,10000.0,-0.5596537192378449
0.0,2.3067067669172934,0.999999999,18.488392515834025,10000.0,-0.5854608828334713
