eta,U,s_opt,y_opt,E_opt,s_inf,y_inf,E_inf,E_binding
0.0,0.001,10.0,1.5988518683056523,0.0271367341962483,84.32381341586286,5000.0018983627,0.000412450531101637,64.79391260272425
0.0,0.17337931034482756,10.0,1.5540404972226587,0.013578755806524845,40.509012591407405,5000.1256136601,-0.0015861678269411185,9.560730822986812
0.0,0.3457586206896551,10.0,1.5041091795339225,8.769245406180237e-06,21.557269124079617,5000.062555881588,-0.006339433658130524,1.0013832853026128
0.0,0.5181379310344827,10.0,1.4519670415161454,-0.013574681674566408,14.508296953983459,5000.038848178658,-0.014237381276772465,0.0465464532643525
0.0,0.6905172413793103,10.0,1.3972067186606654,-0.027172449936729945,10.87643698217873,5000.0193390174245,-0.025286397667523174,-0.07458762193039224
0.0,0.8628965517241378,8.02467447261781,1.3984936966375618,-0.04243271791724729,8.712584476568574,5000.012885013368,-0.03948716874355098,-0.07459509677247679
0.0,1.0352758620689653,6.687474475654743,1.3987306039469871,-0.06107950960345852,7.264198142669836,5000.00874272186,-0.056839550988698445,-0.07459521655269796
0.0,1.207655172413793,5.734086319449854,1.3990719403104779,-0.08311305809822536,6.2274306312213135,5000.004403210464,-0.0773435685214272,-0.07459559582125815
0.0,1.3800344827586204,5.01776025068068,1.3984834209704489,-0.1085333630884304,5.450433805673189,5000.005088346822,-0.10099926561829208,-0.07459556684909016
0.0,1.5524137931034478,4.460578423028607,1.3984423188724309,-0.13734041947475956,4.844301445098124,5000.52484175465,-0.12780907139175104,-0.07457489503067993
0.0,1.7247931034482755,4.0148387333719615,1.3984871190198642,-0.1695342300565839,4.360120180955508,5000.524684709369,-0.15776864925513376,-0.07457489721182553
0.0,1.8971724137931032,3.6500214136579685,1.3985418916359411,-0.20511479453810183,3.964383004370764,5000.514332145701,-0.19087994799259458,-0.07457486600981002
0.0,2.0695517241379306,3.3460948732271407,1.3985258782898164,-0.24408211306725658,3.634237952693182,5000.514186615341,-0.22714295752705985,-0.07457486564679756
0.0,2.241931034482758,3.0888306212217933,1.3985824862604674,-0.2864361854285818,3.354742525311427,5000.51596614506,-0.26655768188430623,-0.07457486651201975
0.0,2.414310344827586,2.8682511128037786,1.3984907070751198,-0.3321770124137693,3.1152550389343268,5000.51310608418,-0.30912412262601185,-0.07457486524158308
0.0,2.5866896551724134,2.677082431815895,1.3985069923830324,-0.38130459312864917,2.9076484311718103,5000.513229224958,-0.35484227801293794,-0.07457486538497081
0.0,2.759068965517241,2.5098201594399785,1.3984683547889378,-0.43381892782286935,2.7260035928069697,5000.511624168911,-0.4037121490245728,-0.07457486446974383
0.0,2.9314482758620684,2.362256412977322,1.398503473893741,-0.4897200166289012,2.5656593611889185,5000.515882559606,-0.4557337337187232,-0.07457486772562276
0.0,3.103827586206896,2.2310066943593942,1.3985495928073841,-0.5490078591485029,2.423198797704813,5000.513058447863,-0.5109070360762895,-0.07457486466583742
0.0,3.2762068965517237,2.1136516240251266,1.3984957120653212,-0.611682456310034,2.295695728445019,5000.514196493233,-0.5692320522606886,-0.07457486605112074
0.0,3.448586206896551,2.008009040358013,1.3984921568535356,-0.6777438072223592,2.180932445412383,5000.515597991835,-0.6307087833597798,-0.07457486736116829
0.0,3.6209655172413786,1.9124242967764218,1.3985033304232288,-0.7471919121505666,2.077122174369537,5000.509244116285,-0.6953372325873813,-0.0745748640127203
0.0,3.7933448275862065,1.8255137476449892,1.398476695624995,-0.8200267711103066,1.982730815147617,5000.5126237183595,-0.7631173944457006,-0.07457486499301048
0.0,3.965724137931034,1.7461650936846003,1.3984996905520506,-0.8962483841665847,1.8965498207975846,5000.513876932483,-0.8340492716464274,-0.07457486581982765
0.0,4.138103448275862,1.6734219754120403,1.3984994058612366,-0.9758567512355789,1.817558792092911,5000.510980447294,-0.9081328659219186,-0.07457486437836208
0.0,4.310482758620689,1.6065036621316229,1.3985040005250817,-1.0588518723331515,1.7448647857527786,5000.513063641244,-0.9853681735402772,-0.07457486527990712
0.0,4.482862068965517,1.5447259178163488,1.398499556749697,-1.1452337474862306,1.677775332450725,5000.5116464498515,-1.0657551979090705,-0.07457486459657053
0.0,4.655241379310344,1.4875274231344984,1.3984935962519998,-1.2350023766693061,1.61563499108859,5000.508947351204,-1.1492939375383804,-0.07457486403739386
0.0,4.8276206896551725,1.4344043310023569,1.3984895354313223,-1.32815775985795,1.557956213358571,5000.511285981118,-1.2359843914481212,-0.07457486441380967
0.0,5.0,1.3849586254564599,1.3984981481373004,-1.4246998971690963,1.5042475336788594,5000.5091495137785,-1.325826561584279,-0.07457486405059638
