alpha,a_pol,s_pol,E_pol,a_bi,s_bi,E_bi
0.001,1.0,1.414213562373095e+50,-0.005008980080762284,0,0,0
0.051122807017543855,1.0,1.414213562373095e+50,-0.25607312202353144,0,0,0
0.10124561403508771,1.0000000002328306,6074000999.9521,-0.5071372638482234,0,0,0
0.15136842105263157,1.0,1.414213562373095e+50,-0.7582014059090698,0,0,0
0.20149122807017542,1.0,1.414213562373095e+50,-1.0092655478518389,0,0,0
0.2516140350877193,1.0,1.414213562373095e+50,-1.2603296897946081,0,0,0
0.30173684210526314,1.0,1.414213562373095e+50,-1.5113938317373772,0,0,0
0.351859649122807,1.0,1.414213562373095e+50,-1.7624579736801465,0,0,0
0.40198245614035083,1.0,1.414213562373095e+50,-2.0135221156229157,0,0,0
0.4521052631578947,1.0,1.414213562373095e+50,-2.2645862575656848,0,0,0
0.5022280701754386,1.0,1.414213562373095e+50,-2.515650399508454,0,0,0
0.5523508771929824,1.0,1.414213562373095e+50,-2.766714541451223,0,0,0
0.6024736842105263,1.0,1.414213562373095e+50,-3.0177786833939924,0,0,0
0.6525964912280701,1.0,1.414213562373095e+50,-3.268842825336761,0,0,0
0.702719298245614,1.0,1.414213562373095e+50,-3.5199069672795305,0,0,0
0.7528421052631578,1.0,1.414213562373095e+50,-3.7709711092222995,0,0,0
0.8029649122807017,1.0,1.414213562373095e+50,-4.022035251165069,0,0,0
0.8530877192982456,1.0,1.414213562373095e+50,-4.273099393107838,0,0,0
0.9032105263157894,1.0,1.414213562373095e+50,-4.524163535050607,0,0,0
0.9533333333333333,1.0,1.414213562373095e+50,-4.775227676993376,0,0,0
1.003456140350877,1.0,1.414213562373095e+50,-5.026291818936145,0,0,0
1.0535789473684207,1.0,1.414213562373095e+50,-5.277355960878913,0,0,0
1.1037017543859646,1.0,1.414213562373095e+50,-5.528420102821683,0,0,0
1.1538245614035085,1.0,1.414213562373095e+50,-5.779484244764452,0,0,0
1.2039473684210524,1.0,1.414213562373095e+50,-6.030548386707221,0,0,0
1.2540701754385963,1.0,1.414213562373095e+50,-6.281612528649991,0,0,0
1.30419298245614,1.0,1.414213562373095e+50,-6.5326766705927595,0,0,0
1.354315789473684,1.0,1.414213562373095e+50,-6.7837408125355285,0,0,0
1.4044385964912278,1.0,1.414213562373095e+50,-7.0348049544782985,0,0,0
1.4545614035087717,1.0,1.414213562373095e+50,-7.2858690964210675,0,0,0
1.5046842105263154,1.0,1.414213562373095e+50,-7.536933238363836,0,0,0
1.5548070175438593,1.0,1.414213562373095e+50,-7.787997380306606,0,0,0
1.6049298245614032,1.0,1.414213562373095e+50,-8.039061522249375,0,0,0
1.655052631578947,1.0,1.414213562373095e+50,-8.290125664192145,0,0,0
1.705175438596491,1.0,1.414213562373095e+50,-8.541189806134913,0,0,0
1.7552982456140347,1.0,1.414213562373095e+50,-8.792253948077681,0,0,0
1.8054210526315786,1.0,1.414213562373095e+50,-9.04331809002045,0,0,0
1.8555438596491225,1.0,1.414213562373095e+50,-9.29438223196322,0,0,0
