alpha,a_pol,s_pol,E_pol,a_bi,s_bi,E_bi
0.001,1.0,0.001,-0.00025,0,0,0
0.051122807017543855,1.0,0.001,-0.050372807017543854,0,0,0
0.10124561403508771,1.0,0.001,-0.10049561403508771,0,0,0
0.15136842105263157,1.0,0.001,-0.15061842105263157,0,0,0
0.20149122807017542,1.0,0.001,-0.20074122807017541,0,0,0
0.2516140350877193,1.0,0.001,-0.2508640350877193,0,0,0
0.30173684210526314,1.0,0.001,-0.30098684210526316,0,0,0
0.351859649122807,1.0,0.001,-0.351109649122807,0,0,0
0.40198245614035083,1.0,0.001,-0.40123245614035086,0,0,0
0.4521052631578947,1.0,0.001,-0.4513552631578947,0,0,0
0.5022280701754386,1.0,0.001,-0.5014780701754386,0,0,0
0.5523508771929824,1.0,0.001,-0.5516008771929823,0,0,0
0.6024736842105263,1.0,0.001,-0.6017236842105262,0,0,0
0.6525964912280701,1.0,0.001,-0.65184649122807,0,0,0
0.702719298245614,1.0,0.001,-0.7019692982456139,0,0,0
0.7528421052631578,1.0,0.001,-0.7520921052631577,0,0,0
0.8029649122807017,1.0,0.001,-0.8022149122807016,0,0,0
0.8530877192982456,1.0,0.001,-0.8523377192982455,0,0,0
0.9032105263157894,1.0,0.001,-0.9024605263157893,0,0,0
0.9533333333333333,1.0,0.001,-0.9525833333333332,0,0,0
1.003456140350877,1.0,0.001,-1.002706140350877,0,0,0
1.0535789473684207,1.0,0.001,-1.0528289473684207,0,0,0
1.1037017543859646,1.0,0.001,-1.1029517543859646,0,0,0
1.1538245614035085,1.0,0.001,-1.1530745614035085,0,0,0
1.2039473684210524,1.0,0.001,-1.2031973684210524,0,0,0
1.2540701754385963,1.0,0.001,-1.2533201754385963,0,0,0
1.30419298245614,1.0,0.001,-1.30344298245614,0,0,0
1.354315789473684,1.0,0.001,-1.353565789473684,0,0,0
1.4044385964912278,1.0,0.001,-1.4036885964912278,0,0,0
1.4545614035087717,1.0,0.001,-1.4538114035087717,0,0,0
1.5046842105263154,1.0,0.001,-1.5039342105263154,0,0,0
1.5548070175438593,1.0,0.001,-1.5540570175438593,0,0,0
1.6049298245614032,1.0,0.001,-1.6041798245614032,0,0,0
1.655052631578947,1.0,0.001,-1.654302631578947,0,0,0
1.705175438596491,1.0,0.001,-1.704425438596491,0,0,0
1.7552982456140347,1.0,0.0010000000000000009,-1.7545482456140347,0,0,0
1.8054210526315786,1.0,0.0010000000000000009,-1.8046710526315786,0,0,0
1.8555438596491225,1.0,0.0010000000000000009,-1.8547938596491225,0,0,0
1.9056666666666664,1.0,0.001,-1.9049166666666664,0,0,0
1.95578947368421,1.0,0.0010000000000000009,-1.95503947368421,0,0,0
2.005912280701754,1.0,0.0010000000000000009,-2.005162280701754,0,0,0
2.056035087719298,1.0,0.0010000000000000009,-2.055285087719298,0,0,0
2.1061578947368416,1.0,0.0010000000000000009,-2.1054078947368415,0,0,0
2.1562807017543855,1.0,0.0010000000000000009,-2.1555307017543854,0,0,0
2.2064035087719294,1.0,0.0010000000000000009,-2.2056535087719293,0,0,0
2.2565263157894733,1.0,0.0010000000000000009,-2.2557763157894732,0,0,0
2.306649122807017,1.0,0.0010000000000000009,-2.305899122807017,0,0,0
2.356771929824561,1.0,0.0010000000000000009,-2.356021929824561,0,0,0
2.406894736842105,1.0,0.0010000000000000009,-2.406144736842105,0,0,0
2.457017543859649,1.0,0.0010000000000000009,-2.456267543859649,0,0,0
2.507140350877193,1.0,0.0010000000000000009,-2.5063903508771928,0,0,0
2.5572631578947362,1.0,0.0010000000000000009,-2.556513157894736,0,0,0
2.60738596491228,1.0,0.0010000000000000009,-2.60663596491228,0,0,0
2.657508771929824,1.0,0.0010000000000000009,-2.656758771929824,0,0,0
2.707631578947368,1.0,0.0010000000000000009,-2.706881578947368,0,0,0
2.757754385964912,1.0,0.001,-2.757004385964912,0,0,0
2.8078771929824557,1.0,0.001,-2.8071271929824557,0,0,0
2.8579999999999997,1.0,0.001,-2.8572499999999996,0,0,0
2.9081228070175436,1.0,0.001,-2.9073728070175435,0,0,0
2.9582456140350875,1.0,0.001,-2.9574956140350874,0,0,0
3.008368421052631,1.0,0.001,-3.007618421052631,0,0,0
3.058491228070175,1.0,0.001,-3.057741228070175,0,0,0
3.1086140350877187,1.0,0.001,-3.1078640350877187,0,0,0
3.1587368421052626,1.0,0.001,-3.1579868421052626,0,0,0
3.2088596491228065,1.0,0.001,-3.2081096491228065,0,0,0
3.2589824561403504,1.0,0.001,-3.2582324561403504,0,0,0
3.3091052631578943,1.0,0.001,-3.3083552631578943,0,0,0
3.3592280701754382,1.0,0.001,-3.358478070175438,0,0,0
3.409350877192982,1.0,0.001,-3.408600877192982,0,0,0
3.4594736842105256,1.0,0.001,-3.4587236842105256,0,0,0
3.5095964912280695,1.0,0.001,-3.5088464912280695,0,0,0
3.5597192982456134,1.0,0.001,-3.5589692982456134,0,0,0
3.6098421052631573,1.0,0.001,-3.6090921052631573,0,0,0
3.659964912280701,1.0,0.001,-3.659214912280701,0,0,0
3.710087719298245,1.0,0.001,-3.709337719298245,0,0,0
3.760210526315789,1.0,0.001,-3.759460526315789,0,0,0
3.810333333333333,1.0,0.001,-3.809583333333333,0,0,0
3.860456140350877,1.0,0.001,-3.859706140350877,0,0,0
3.9105789473684203,1.0,0.001,-3.9098289473684202,0,0,0
3.960701754385964,1.0,0.001,-3.959951754385964,0,0,0
4.010824561403509,1.0,0.001,-4.010074561403509,0,0,0
4.060947368421052,1.0,0.001,-4.060197368421052,0,0,0
4.111070175438597,1.0,0.001,-4.110320175438597,0,0,0
4.16119298245614,1.0,0.001,-4.16044298245614,0,0,0
4.211315789473684,1.0,0.001,-4.210565789473684,0,0,0
4.261438596491228,1.0,0.001,-4.260688596491228,0,0,0
4.3115614035087715,1.0,0.001,-4.3108114035087715,0,0,0
4.361684210526316,1.0,0.001,-4.360934210526316,0,0,0
4.411807017543859,1.0,0.001,-4.411057017543859,0,0,0
4.461929824561404,1.0,0.001,-4.461179824561404,0,0,0
4.512052631578947,1.0,0.001,-4.511302631578947,0,0,0
4.562175438596491,1.0,0.001,-4.561425438596491,0,0,0
4.612298245614035,1.0,0.001,-4.611548245614035,0,0,0
4.662421052631578,1.0,0.001,-4.661671052631578,0,0,0
4.712543859649123,1.0,0.001,-4.711793859649123,0,0,0
4.762666666666666,1.0,0.001,-4.761916666666666,0,0,0
4.8127894736842105,1.0,0.001,-4.8120394736842105,0,0,0
4.862912280701754,1.0,0.001,-4.862162280701754,0,0,0
4.913035087719298,1.0,0.001,-4.912285087719298,0,0,0
4.963157894736842,1.0,0.001,-4.962407894736842,0,0,0
5.013280701754386,1.0,0.001,-5.012530701754386,0,0,0
5.06340350877193,1.0,0.001,-5.0626535087719295,0,0,0
5.113526315789473,1.0,0.001,-5.112776315789473,0,0,0
5.163649122807017,1.0,0.001,-5.162899122807017,0,0,0
5.213771929824561,1.0,0.001,-5.213021929824561,0,0,0
5.263894736842105,1.0,0.001,-5.263144736842105,0,0,0
5.314017543859649,1.0,0.001,-5.313267543859649,0,0,0
5.364140350877193,1.0,0.001,-5.363390350877193,0,0,0
5.4142631578947364,1.0,0.001,-5.413513157894736,0,0,0
5.464385964912281,1.0,0.001,-5.463635964912281,0,0,0
5.514508771929824,1.0,0.001,-5.513758771929824,0,0,0
5.564631578947368,1.0,0.001,-5.563881578947368,0,0,0
5.614754385964912,1.0,0.001,-5.614004385964912,0,0,0
5.6648771929824555,1.0,0.001,-5.6641271929824555,0,0,0
5.715,1.0,0.001,-5.71425,0,0,0
5.765122807017543,1.0,0.001,-5.764372807017543,0,0,0
5.815245614035088,1.0,0.001,-5.814495614035088,0,0,0
5.865368421052631,1.0,0.001,-5.864618421052631,0,0,0
5.9154912280701755,1.0,0.001,-5.914741228070175,0,0,0
5.965614035087719,1.0,0.001,-5.964864035087719,0,0,0
6.015736842105262,1.0,0.001,-6.014986842105262,0,0,0
6.065859649122807,1.0,0.001,-6.065109649122807,0,0,0
6.11598245614035,1.0,0.001,-6.11523245614035,0,0,0
