alpha,a_pol,s_pol,E_pol,a_bi,s_bi,E_bi
0.001,0,0,0,0.9999999981330198,447.21359549995793,-0.0004849996678412167
0.051122807017543855,0,0,0,0.8966854389725057,447.21359549995793,1.5000000000000002e-05
0.10124561403508771,0,0,0,0.7807378422922875,447.21359549995793,1.5000000000000002e-05
0.15136842105263157,0,0,0,0.6632401202213395,447.21359549995793,1.5000000000000002e-05
0.20149122807017542,0,0,0,0.5442125663339384,447.21359549995793,1.5000000000000002e-05
0.2516140350877193,0,0,0,0.4237928890670149,447.21359549995793,1.5000000000000002e-05
0.30173684210526314,0,0,0,0.3023667531890214,447.21359549995793,1.5000000000000002e-05
0.351859649122807,0,0,0,0.18077840037117704,447.21359549995793,1.5000000000000002e-05
0.40198245614035083,0,0,0,0.060603391351141844,447.21359549995793,1.5000000000000002e-05
0.4521052631578947,0,0,0,1e-05,447.21359549995793,1.5000000000000002e-05
0.5022280701754386,0,0,0,1e-05,447.21359549995793,1.5000000000000002e-05
0.5523508771929824,0,0,0,1e-05,447.21359549995793,1.5000000000000002e-05
0.6024736842105263,0,0,0,1e-05,447.21359549995793,1.5000000000000002e-05
0.6525964912280701,0,0,0,1e-05,447.21359549995793,1.5000000000000002e-05
0.702719298245614,0,0,0,1e-05,447.21359549995793,1.5000000000000002e-05
0.7528421052631578,0,0,0,1e-05,447.21359549995793,1.5000000000000002e-05
0.8029649122807017,0,0,0,1e-05,447.21359549995793,1.5000000000000002e-05
0.8530877192982456,0,0,0,1e-05,447.21359549995793,1.5000000000000002e-05
0.9032105263157894,0,0,0,1e-05,447.21359549995793,1.5000000000000002e-05
0.9533333333333333,0,0,0,1e-05,447.21359549995793,1.5000000000000002e-05
1.003456140350877,0,0,0,1e-05,447.21359549995793,1.5000000000000002e-05
1.0535789473684207,0,0,0,1e-05,447.21359549995793,1.5000000000000002e-05
1.1037017543859646,0,0,0,1e-05,447.21359549995793,1.5000000000000002e-05
1.1538245614035085,0,0,0,1e-05,447.21359549995793,1.5000000000000002e-05
1.2039473684210524,0,0,0,1e-05,447.21359549995793,1.5000000000000002e-05
1.2540701754385963,0,0,0,1e-05,447.21359549995793,1.5000000000000002e-05
1.30419298245614,0,0,0,1e-05,447.21359549995793,1.5000000000000002e-05
1.354315789473684,0,0,0,1e-05,447.21359549995793,1.5000000000000002e-05
1.4044385964912278,0,0,0,1e-05,447.213595498493,1.5000000000098268e-05
1.4545614035087717,0,0,0,1e-05,447.213595498493,1.5000000000098268e-05
1.5046842105263154,0,0,0,1e-05,447.213595498493,1.5000000000098268e-05
1.5548070175438593,0,0,0,1e-05,447.21359548856293,1.5000000000764402e-05
1.6049298245614032,0,0,0,1e-05,447.213595498493,1.5000000000098268e-05
1.655052631578947,0,0,0,1e-05,447.213595498493,1.5000000000098268e-05
1.705175438596491,0,0,0,1e-05,447.213595498493,1.5000000000098268e-05
1.7552982456140347,0,0,0,1e-05,447.21359549995793,1.5000000000000002e-05
1.8054210526315786,0,0,0,1e-05,447.213595498493,1.5000000000098268e-05
1.8555438596491225,0,0,0,1e-05,447.213595498493,1.5000000000098268e-05
