eta,U,s_opt,y_opt,E_opt,s_inf,y_inf,E_inf,E_binding
0.0,0.001,10.0,1.5988519399271417,0.027136734198550158,0.0,0.0,-5.305164769729845e-08,511516.38880350447
0.0,0.17337931034482756,10.0,1.5540399226338197,0.013578756059892508,0.0,0.0,-0.001594752968227704,9.514645421844225
0.0,0.3457586206896551,10.0,1.504108122959024,8.769505481991818e-06,0.0,0.0,-0.006342272692196856,1.001382707100056
0.0,0.5181379310344827,10.0,1.4519658034808693,-0.013574681583591548,0.0,0.0,-0.014242612223555152,0.04689663872607204
0.0,0.6905172413793103,10.0,1.3972060413910816,-0.02717245011973507,0.0,0.0,-0.025295771562302595,-0.07418941750048152
0.0,0.8628965517241378,8.024672151201958,1.3984926969392153,-0.04243271820171751,0.0,0.0,-0.03950175070843918,-0.07419842008805348
0.0,1.0352758620689653,6.687469994070732,1.398729970366144,-0.061079509997349984,0.0,0.0,-0.0568605496619649,-0.07419837410061521
0.0,1.207655172413793,5.734088584636637,1.3990584383905151,-0.08311305877028799,0.0,0.0,-0.07737216842287979,-0.07419839025360124
0.0,1.3800344827586204,5.017762505961461,1.3984824630859531,-0.10853336382072754,0.0,0.0,-0.1010366069911838,-0.0741984222629119
0.0,1.5524137931034478,4.460579673620019,1.3984408179745083,-0.1373404204000485,0.0,0.0,-0.12785386536687693,-0.07419842181501432
0.0,1.7247931034482755,4.014840159844789,1.3984869087505285,-0.1695342311988451,0.0,0.0,-0.15782394354995927,-0.07419842253009551
0.0,1.8971724137931032,3.6500217686991996,1.3985405089875453,-0.20511479592025617,0.0,0.0,-0.19094684154043076,-0.07419842227044905
0.0,2.0695517241379306,3.3460941605329526,1.3985262471209745,-0.24408211471086277,0.0,0.0,-0.22722255933829136,-0.07419842211824897
0.0,2.241931034482758,3.088830308210615,1.3985814338347773,-0.2864361873594231,0.0,0.0,-0.26665109694354105,-0.07419842124283937
0.0,2.414310344827586,2.868250853544687,1.3984896285699693,-0.33217701465091887,0.0,0.0,-0.3092324543561801,-0.07419842248611716
0.0,2.5866896551724134,2.677082041567113,1.398505866762104,-0.38130459569602226,0.0,0.0,-0.354966631576208,-0.07419842254710567
0.0,2.759068965517241,2.509820181130814,1.3984673743315739,-0.433818930743767,0.0,0.0,-0.40385362860362517,-0.07419842244268207
0.0,2.9314482758620684,2.3622564212491435,1.3985019038257773,-0.4897200199267663,0.0,0.0,-0.4558934454384315,-0.07419842251911263
0.0,3.103827586206896,2.2310066843171215,1.3985474414520782,-0.5490078628506927,0.0,0.0,-0.5110860820806269,-0.07419842194819036
0.0,3.2762068965517237,2.113651850595358,1.3984959669026533,-0.6116824604296871,0.0,0.0,-0.5694315385302117,-0.07419842253299037
0.0,3.448586206896551,2.0080089734743125,1.3984902672217276,-0.6777438117849617,0.0,0.0,-0.6309298147871854,-0.07419842255127354
0.0,3.6209655172413786,1.9124240198065527,1.3985016776964265,-0.7471919171832295,0.0,0.0,-0.6955809108515483,-0.07419842253649214
0.0,3.7933448275862065,1.8255135995699316,1.3984753218159605,-0.8200267766304665,0.0,0.0,-0.7633848267233003,-0.07419842250505836
0.0,3.965724137931034,1.7461652192344685,1.3984983186823063,-0.8962483902011946,0.0,0.0,-0.8343415624024416,-0.07419842255070648
0.0,4.138103448275862,1.6734219535628196,1.3984979481327826,-0.9758567578064128,0.0,0.0,-0.9084511178889721,-0.07419842255692918
0.0,4.310482758620689,1.6065034527350166,1.3985027003840573,-1.0588518794637916,0.0,0.0,-0.9857134931828916,-0.07419842255048618
0.0,4.482862068965517,1.5447258347241202,1.3984974629795175,-1.1452337551975824,0.0,0.0,-1.0661286882842,-0.07419842255693543
0.0,4.655241379310344,1.4875272957354397,1.3984930980700128,-1.2350023849856555,0.0,0.0,-1.149696703192898,-0.0741984225542698
0.0,4.8276206896551725,1.4344043532028874,1.3984894700163164,-1.3281577688030022,0.0,0.0,-1.236417537908985,-0.07419842252413145
0.0,5.0,1.3849587260800866,1.3984960112513516,-1.424699906761743,0.0,0.0,-1.3262911924324612,-0.07419842255666118
0.016932203389830508,0.001,10.0,1.598925962833867,0.027139097066757083,0.0,0.0,-5.12702950008321e-08,529334.7412300168
0.016932203389830508,0.17337931034482756,10.0,1.5675853792884964,0.013991176848897542,0.0,0.0,-0.001541204819895738,10.07807753277338
0.016932203389830508,0.3457586206896551,10.0,1.5313027967345072,0.0008372044120257723,0.0,0.0,-0.006129313716324272,1.1365902368149368
0.016932203389830508,0.5181379310344827,10.0,1.491374730344267,-0.012323794324375123,0.0,0.0,-0.013764377959580604,0.10466027883248963
0.016932203389830508,0.6905172413793103,10.0,1.451944349565368,-0.025492672492205506,0.0,0.0,-0.024446397549664736,-0.04279873713152144
0.016932203389830508,0.8628965517241378,8.27324697193351,1.4462773828624873,-0.03985485583583723,0.0,0.0,-0.03817537248657666,-0.0439938955370013
0.016932203389830508,1.0352758620689653,6.892227637443381,1.4466453483561683,-0.0573688083182661,0.0,0.0,-0.054951302770316374,-0.04399359844213952
0.016932203389830508,1.207655172413793,5.912400276091071,1.446484314079594,-0.07806379426635246,0.0,0.0,-0.0747741884008839,-0.04399386921904287
0.016932203389830508,1.3800344827586204,5.17433942265959,1.4465532446062341,-0.10193976426563742,0.0,0.0,-0.09764402937827922,-0.0439938305978366
0.016932203389830508,1.5524137931034478,4.598653721821934,1.4462010994216297,-0.12899674774933848,0.0,0.0,-0.12356082570250229,-0.04399389544323916
0.016932203389830508,1.7247931034482755,4.139166306055409,1.4462881407826178,-0.15923472775106862,0.0,0.0,-0.1525245773735532,-0.04399389588919394
0.016932203389830508,1.8971724137931032,3.7629990423719604,1.446037553671881,-0.1926537095890698,0.0,0.0,-0.18453528439143196,-0.043993891056721815
0.016932203389830508,2.0695517241379306,3.4496022148032526,1.4462205559862225,-0.2292536959981964,0.0,0.0,-0.21959294675613844,-0.043993895909536535
0.016932203389830508,2.241931034482758,3.1843912853336533,1.4462614119073682,-0.26903468432080074,0.0,0.0,-0.2576975644676728,-0.04399389600963871
0.016932203389830508,2.414310344827586,2.9570106513571037,1.4464086874960211,-0.3119966748401761,0.0,0.0,-0.2988491375260349,-0.043993894119891255
0.016932203389830508,2.5866896551724134,2.760001111119282,1.4461747502120275,-0.35813966890958926,0.0,0.0,-0.34304766593122477,-0.043993894951584324
0.016932203389830508,2.759068965517241,2.5875107809721603,1.4462644933301645,-0.40746366595743444,0.0,0.0,-0.3902931496832424,-0.04399389609612013
0.016932203389830508,2.9314482758620684,2.435354389607571,1.4462627672413528,-0.45996866539594494,0.0,0.0,-0.440585588782088,-0.04399389609505308
0.016932203389830508,3.103827586206896,2.300115759494768,1.446274308211987,-0.5156546675963488,0.0,0.0,-0.4939249832277611,-0.043993896049934346
0.016932203389830508,3.2762068965517237,2.179089527721697,1.4462658410618432,-0.5745216726171107,0.0,0.0,-0.5503113330202624,-0.04399389608056092
0.016932203389830508,3.448586206896551,2.070158796643846,1.4462651166173346,-0.6365696804159613,0.0,0.0,-0.6097446381595911,-0.04399389609613776
0.016932203389830508,3.6209655172413786,1.9716090332047744,1.4462665540693653,-0.7017986909890173,0.0,0.0,-0.6722248986457479,-0.043993896094667466
0.016932203389830508,3.7933448275862065,1.8820192671131506,1.4462673546186995,-0.7702087043359145,0.0,0.0,-0.7377521144787323,-0.04399389608000613
0.016932203389830508,3.965724137931034,1.8002169262242431,1.446268427156519,-0.8417997204574035,0.0,0.0,-0.8063262856585447,-0.043993896056466565
