eta,U,a_opt,s_opt,y_opt,E_opt,a_inf,s_inf,y_inf,E_inf,E_binding
0.0,1e-05,0.5005269099004576,10.0,1.5990744662072727,0.027214300062422977,0.3221077133717942,84.55553320372822,5000.000050546004,0.0004197121135735716,63.840396982377214
0.0,0.08041195979899497,0.980823982948079,10.0,1.2202306753447991,0.01739497347320684,0.9999384906836705,36.77587811438866,5000.0049181544055,-0.0002469149713028417,71.44924567118237
0.0,0.16081391959798996,0.9806155360695236,10.0,0.7030729191878543,0.006736471934564512,0.999043807758001,32.89257897394074,5000.0,-0.002738036344234176,3.4603296259198095
0.0,0.24121587939698494,0.9809129190482289,10.0,1e-15,-0.004671365207202141,0.9941290931871994,22.117458778251038,5000.0,-0.0061469796363034625,0.24005520050635704
0.0,0.3216178391959799,0.9809019441556444,10.0,1e-15,-0.01622800781914097,0.9917142663738727,16.70674112962492,5000.0,-0.01089458056460937,-0.48954865429670913
0.0,0.4020197989949749,0.9809156490063278,10.0,1e-15,-0.027784650439461607,0.9875912459263149,13.424150179808839,5000.0,-0.016957881428738542,-0.6384505668482223
0.0,0.48242175879396987,0.9766717214729576,8.994453622859822,0.0004048397492627084,-0.03975336178970006,0.9834224551967155,11.267835528733833,5000.021958822399,-0.024309602833927683,-0.6352945813749908
0.0,0.5628237185929648,0.9697307531614796,7.831486399761021,1e-15,-0.05347924793061302,0.979698814889354,9.73207395450032,5000.000044358896,-0.03291890837748899,-0.624575375263168
0.0,0.6432256783919598,0.9623461353116636,6.966773746197969,1e-15,-0.0689772889249174,0.976328466137107,8.583268967189328,5000.000294785017,-0.04275239547961496,-0.6134134275073991
0.0,0.7236276381909548,0.9547557019142958,6.300121747957934,1.000000321264849e-15,-0.08615022679444458,0.9732170167276649,7.694283451742046,5000.001854807585,-0.05377505390879277,-0.6020481716403845
0.0,0.8040295979899498,0.9469191174770822,5.764600431709071,1e-15,-0.10490613346598587,0.9539463290987256,6.97919848003333,5000.0,-0.06595057877176921,-0.5906779806895639
0.0,0.8844315577889447,0.939031706120388,5.330932002450399,1e-15,-0.12515903710796747,0.9389608927981008,6.396765342984492,5000.0,-0.07925442310439637,-0.5792057049371758
0.0,0.9648335175879397,0.9310678923718241,4.970838921670612,1e-15,-0.14682945049181284,0.9508847070726472,5.92564604524969,5000.032381232014,-0.0936526373700499,-0.5678090293564853
0.0,1.0452354773869348,0.9231172861478137,4.666069278149848,1e-15,-0.1698441564546846,0.9305007100344603,5.512406552822233,5000.0,-0.10912352569614288,-0.5564394146100062
0.0,1.1256374371859297,0.915194272573481,4.405139057237408,1e-15,-0.19413593627331688,0.929860136300008,5.168482403330042,5000.0,-0.12561769511494414,-0.5454505521350029
0.0,1.2060393969849248,0.9073285529723297,4.178946603676137,1e-15,-0.21964317148787954,0.9174083525699506,4.865088286808687,5000.0,-0.14310772468214883,-0.5348100319232991
0.0,1.2864413567839197,0.8995052332012907,3.980482063259346,1e-15,-0.2463093983780279,0.9285757220873105,4.6128172398082725,5000.003721075803,-0.16154109824718513,-0.5247475784839161
0.0,1.3668433165829146,0.8917731893137885,3.805037540448219,7.694836534569049e-07,-0.27408285693615875,0.8665171693648245,4.355150031211179,5000.0,-0.18048398167210797,-0.5185993482462913
0.0,1.4472452763819097,0.8841218128196017,3.6484816181160236,3.085695550014032e-06,-0.3029160637547301,0.9154161613671511,4.17579948595218,5000.000122046727,-0.2012705261273901,-0.5050194858784517
0.0,1.5276472361809046,0.8765609823722357,3.508037960229272,1e-15,-0.33276539207346806,0.9149967953800563,3.9956123151630916,5000.000024410597,-0.2224413112294715,-0.4959693873148667
0.0,1.6080491959798997,0.8690889478624805,3.381090257348342,2.1494061841200497e-06,-0.36359073538449355,0.8738978024346897,3.810702373952158,5000.0,-0.24436968037498408,-0.4878717147993374
0.0,1.6884511557788946,0.8616893950617783,3.2655223901190804,1e-15,-0.39535512391659444,0.8905123526296272,3.6736480355612633,5000.005735032933,-0.2673349739566745,-0.47887542757749113
0.0,1.7688531155778895,0.8543991756287711,3.1600218043737343,1e-15,-0.42802447210829475,0.865660530647862,3.5149728298558727,5000.001245398971,-0.29111725385181775,-0.47028204768022597
0.0,1.8492550753768846,0.8472086279578093,3.063129515887443,3.3394719398868383e-07,-0.46156727266276387,0.8732053008541767,3.408724538846207,5000.000072991755,-0.3156711576919001,-0.4621775268846724
0.0,1.9296570351758795,0.8400810988393603,2.9737185680471008,1e-15,-0.4959543586911086,0.8654371162692674,3.2929093280605075,5000.001708215346,-0.3409987338429891,-0.4544170094176006
0.0,2.0100589949748744,0.8330527892289746,2.890941171059906,7.183377367714074e-07,-0.5311587143808386,0.8482200829298896,3.180270716516383,5000.0,-0.36707837178521296,-0.4469899487612234
0.0,2.0904609547738695,0.8260977559483363,2.8140016423146585,1e-15,-0.5671552425038705,0.8422171372153189,3.0821428999655938,5000.000283719475,-0.3939592633902891,-0.4396291576522697
