eta,U,a_r,s_r,a_R,s_R,E_bi
0.0,28.47146616541354,1e-05,0.2633941183245589,0.03593740640584617,0.269397057662731,-43.50507736528767
0.0,28.57171428571429,1e-05,0.24973575972305634,0.03357091627527323,0.26021917530302147,-43.71580549493139
0.0,28.67196240601504,1e-05,0.28183990598686665,0.038848259181590995,0.2803375915743318,-43.938395733532346
0.0,28.772210526315796,1e-05,0.27041585434339727,0.036796717536781286,0.2726977699900608,-44.37969909893934
0.0,28.872458646616547,1e-05,0.24608867051663455,0.03268444633807279,0.2567242511422576,-44.613581021200595
0.0,28.972706766917298,1e-05,0.26499283837712007,0.03568325844172247,0.2684659604793069,-45.01887259676661
0.0,29.07295488721805,1e-05,0.26625334280687857,0.03579459875389608,0.268891488525283,-45.311556862463256
0.0,29.1732030075188,1e-05,0.273163999273571,0.03683968664795007,0.2728845033030206,-45.520482738615726
0.0,29.273451127819552,1e-05,0.2789993883182782,0.037715372096097766,0.2761808017707573,-45.73083219522286
0.0,29.373699248120307,1e-05,0.273915302815468,0.03675659141448008,0.27259271298159604,-46.105334446907364
0.0,29.473947368421058,1e-05,0.2592232394077814,0.03423895945428782,0.26291268977163873,-46.59118337198409
0.0,29.57419548872181,1e-05,0.2549172147352939,0.033446566049780524,0.25980236255094447,-46.90775152813605
0.0,29.67444360902256,1e-05,0.2730226245774545,0.03630490743376021,0.2708981303382584,-46.99832469091695
0.0,29.77469172932331,1e-05,0.268505163281004,0.03546267459684332,0.2676822181062985,-47.37846193560109
0.0,29.874939849624067,1e-05,0.2633712716058645,0.034529088251998866,0.26407450195221466,-47.75483332379351
0.0,29.975187969924818,1e-05,0.2643108229819318,0.034585932868009296,0.2643043128140214,-48.05473587845206
0.0,30.07543609022557,1e-05,0.2662485308158043,0.03480545380322656,0.2651629009950697,-48.32899891171691
0.0,30.17568421052632,1e-05,0.25179293342052556,0.03239645374672903,0.2556640894457991,-48.797987089437584
0.0,30.27593233082707,1e-05,0.25059818510208454,0.03210172767158382,0.25454848644420314,-49.128346278894384
0.0,30.376180451127823,1e-05,0.2557022605852054,0.03283698491241877,0.25743987130379586,-49.410836434376264
0.0,30.476428571428578,1e-05,0.24988416025999077,0.03183816518649308,0.2534145806204635,-49.75381892643314
0.0,30.57667669172933,1e-05,0.25972029839003713,0.03329592750078152,0.2592792095374212,-49.97559650891056
0.0,30.67692481203008,1e-05,0.2521697520594208,0.0320172136474467,0.25417081544482795,-50.38681764867472
0.0,30.77717293233083,1e-05,0.2367275464613614,0.029548463935462302,0.24402143892748052,-50.70104184334515
0.0,30.877421052631583,1e-05,0.24174581005297519,0.030234489708762795,0.2468886076157483,-51.07579160641919
0.0,30.977669172932337,1e-05,0.2351488945728312,0.02914973167271256,0.24235563202901755,-51.35489129475568
0.0,31.07791729323309,1e-05,0.2296197339176125,0.02824012316589771,0.23849507276874254,-51.5811507868627
0.0,31.17816541353384,1e-05,0.24733715741042892,0.030848016301639723,0.24943941842084263,-52.01421842819916
0.0,31.27841353383459,1e-05,0.24060873483007952,0.029740247313887712,0.24485302897519867,-52.38912356008431
0.0,31.378661654135342,1e-05,0.23644765131505782,0.029033505992033047,0.24189013122893835,-52.70980951190486
0.0,31.478909774436094,1e-05,0.2298085150311731,0.027967212808727583,0.23734362907085563,-52.96195066250625
0.0,31.57915789473685,1e-05,0.250596112069416,0.031021852608979453,0.25017840243340494,-53.285068491795656
0.0,31.6794060150376,1e-05,0.25059596496924413,0.030941717481259904,0.2498552915308342,-53.606225748578666
0.0,31.77965413533835,1e-05,0.2358476364825379,0.028640332805787094,0.24024185893427547,-54.05877280838389
0.0,31.879902255639102,1e-05,0.23584750742601696,0.028568581884505315,0.23992882598369286,-54.39645488049174
0.0,31.980150375939854,1e-05,0.22711696381358976,0.027207829208617054,0.2340805124642938,-54.66115339439297
0.0,32.080398496240605,1e-05,0.2225281261333131,0.02647239139286197,0.23084990241006242,-54.91841739842053
0.0,32.18064661654135,1e-05,0.22252557912178467,0.026401685440341556,0.23054814325968345,-55.2727625053566
0.0,32.28089473684211,1e-05,0.2435017307732469,0.029406445300048194,0.24351102982465234,-55.66370961596368
0.0,32.38114285714286,1e-05,0.24173687294776278,0.029071107562017553,0.24212097644811637,-56.035277307173956
0.0,32.48139097744361,1e-05,0.23270649873457117,0.027669668718777605,0.2361103705769578,-56.44499244498088
