eta,U,a,s,y,E_inf
0.0,0.001,0.99,81.73992533574857,500.0,0.00015582032466356647
0.0,0.203010101010101,0.99,19.853657075648698,500.0,-0.08265176721188201
0.0,0.405020202020202,0.99,15.018277716380513,500.0,-0.17467632739667044
0.0,0.607030303030303,0.99,12.658346344464345,500.0,-0.2695987090331734
0.0,0.809040404040404,0.99,11.172738316713442,500.0,-0.3663411209282724
0.0,1.011050505050505,0.99,10.10011756831737,500.0,-0.4644314770555433
0.0,1.213060606060606,0.99,9.281904325580626,500.0,-0.5636058790635011
0.0,1.415070707070707,0.99,8.619851991756859,500.0,-0.6636963656124586
0.0,1.617080808080808,0.99,8.07538163361607,500.0,-0.7645870784192768
0.0,1.8190909090909089,0.99,7.609070607522971,500.0,-0.8661933640789282
0.0,2.02110101010101,0.99,7.209813856651936,500.0,-0.9684508572938114
0.0,2.223111111111111,0.99,6.857471792409183,500.0,-1.0713089133376006
0.0,2.425121212121212,0.99,6.545790123579948,500.0,-1.1747267351202546
0.0,2.6271313131313128,0.99,6.266019489423764,500.0,-1.2786707221362899
0.0,2.829141414141414,0.99,6.013342677631009,500.0,-1.3831127228962774
0.0,3.0311515151515147,0.99,5.783515645510078,500.0,-1.4880287931356406
0.0,3.233161616161616,0.99,5.573810338376121,500.0,-1.5933983033059127
0.0,3.435171717171717,0.99,5.3808194566403404,500.0,-1.6992032739083953
0.0,3.637181818181818,0.99,5.202732728800952,500.0,-1.8054278809700222
0.0,3.839191919191919,0.99,5.0379906969778965,500.0,-1.9120580667167695
0.0,4.041202020202021,0.99,4.884066479277436,500.0,-2.0190812487997816
0.0,4.243212121212121,0.99,4.740807416006819,500.0,-2.126486071251373
0.0,4.445222222222222,0.99,4.606763887191938,500.0,-2.234262227196064
0.0,4.647232323232323,0.99,4.481029073316275,500.0,-2.3424002997491824
0.0,4.849242424242425,0.99,4.3628019332900205,500.0,-2.4508916382290287
0.0,5.051252525252526,0.99,4.251206100122516,500.0,-2.559728254597139
0.0,5.253262626262626,0.99,4.1462327572481295,500.0,-2.668902740963078
0.0,5.455272727272727,0.99,4.046792515433052,500.0,-2.77840819192055
0.0,5.6572828282828285,0.99,3.9525802741366745,500.0,-2.8882381513618274
0.0,5.85929292929293,0.99,3.863098382509731,500.0,-2.998386557207783
0.0,6.06130303030303,0.99,3.7780974151239612,500.0,-3.108847699236692
0.0,6.263313131313131,0.99,3.697150096279698,500.0,-3.2196161820111677
0.0,6.465323232323232,0.99,3.6201494357396977,500.0,-3.330686893489737
0.0,6.667333333333334,0.99,3.5466179295875464,500.0,-3.4420549758529733
0.0,6.869343434343435,0.99,3.476386237402904,500.0,-3.5537158031737115
0.0,7.071353535353535,0.99,3.4093328508028273,500.0,-3.66566495960251
0.0,7.273363636363636,0.99,3.345100332239632,500.0,-3.7778982213802283
0.0,7.4753737373737374,0.99,3.283418007899023,500.0,-3.8904115415172558
0.0,7.677383838383839,0.99,3.2243635271084146,500.0,-4.0032010330678
0.0,7.879393939393939,0.99,3.167684077464858,500.0,-4.116262959697806
0.0,8.08140404040404,0.99,3.1132454535280587,500.0,-4.2295937227745295
0.0,8.283414141414141,0.99,3.060899851981296,500.0,-4.343189851852441
0.0,8.48542424242424,0.99,3.010515735135213,500.0,-4.457047995809784
0.0,8.687434343434342,0.99,2.961988818204559,500.0,-4.571164914742498
0.0,8.889444444444443,0.99,2.91523048303365,500.0,-4.6855374728641275
0.0,9.091454545454544,0.99,2.8701578054040695,500.0,-4.800162632099338
0.0,9.293464646464646,0.99,2.8266977536464166,500.0,-4.915037446036887
0.0,9.495474747474747,0.99,2.7846524097081558,500.0,-5.030159055279147
0.0,9.697484848484848,0.99,2.7440724553026015,500.0,-5.145524681224603
0.0,9.89949494949495,0.99,2.704807269002229,500.0,-5.261131622945613
0.0,10.10150505050505,0.99,2.666889649454707,500.0,-5.376977252931506
0.0,10.30351515151515,0.99,2.6301686818357233,500.0,-5.49305901253146
0.0,10.505525252525251,0.99,2.594645999666986,500.0,-5.609374409338713
0.0,10.707535353535352,0.99,2.560159093194189,500.0,-5.725921014384442
0.0,10.909545454545453,0.99,2.5267437510711885,500.0,-5.842696457727427
0.0,11.111555555555555,0.99,2.494347951979513,500.0,-5.959698427252946
0.0,11.313565656565656,0.99,2.4629101394187467,500.0,-6.076924665127619
0.0,11.515575757575757,0.99,2.4323793259603006,500.0,-6.1943729669799685
0.0,11.717585858585858,0.99,2.402766759024356,500.0,-6.312041177803975
0.0,11.91959595959596,0.99,2.3739741436179385,500.0,-6.429927190815603
0.0,12.121606060606059,0.99,2.3459904599420653,500.0,-6.54802894577372
0.0,12.32361616161616,0.99,2.318787199650877,500.0,-6.6663444268594025
0.0,12.525626262626261,0.99,2.292310316367013,500.0,-6.784871661224669
0.0,12.727636363636362,0.99,2.266544605853604,500.0,-6.903608717138539
0.0,12.929646464646463,0.99,2.241457810590042,500.0,-7.022553702722581
0.0,13.131656565656565,0.99,2.217023273328215,500.0,-7.141704764441375
0.0,13.333666666666666,0.99,2.193201975607431,500.0,-7.2610600858348
0.0,13.535676767676767,0.99,2.1700010255023527,500.0,-7.3806178860844645
0.0,13.737686868686868,0.99,2.1473819722451313,500.0,-7.500376419119897
0.0,13.939696969696968,0.99,2.1253220802207813,500.0,-7.620333972268184
0.0,14.141707070707069,0.99,2.103820614295178,500.0,-7.740488865137759
0.0,14.34371717171717,0.99,2.0827995877325667,500.0,-7.86083944907314
0.0,14.545727272727271,0.99,2.062292144377763,500.0,-7.981384105229749
0.0,14.747737373737372,0.99,2.042269354985881,500.0,-8.102121244576937
0.0,14.949747474747474,0.99,2.022716803507305,500.0,-8.2230493065496
0.0,15.151757575757575,0.99,2.0036011525352095,500.0,-8.34416675832259
0.0,15.353767676767676,0.99,1.984939443869916,500.0,-8.465472093850359
0.0,15.555777777777777,0.99,1.9666793299281204,500.0,-8.586963833444809
0.0,15.757787878787877,0.99,1.948813526741412,500.0,-8.708640522632372
0.0,15.959797979797978,0.99,1.9313429292103124,500.0,-8.83050073151501
0.0,16.161808080808083,0.99,1.9142543822203917,500.0,-8.952543054315585
0.0,16.363818181818182,0.99,1.8975315757426363,500.0,-9.07476610854265
0.0,16.565828282828285,0.99,1.8811608389667756,500.0,-9.197168534386698
0.0,16.767838383838384,0.99,1.8651363293193797,500.0,-9.319748994106348
0.0,16.969848484848484,0.99,1.8494321104970892,500.0,-9.442506171504423
0.0,17.171858585858587,0.99,1.834054160648375,500.0,-9.565438771247372
0.0,17.373868686868686,0.99,1.8189926824673637,500.0,-9.68854551843044
0.0,17.57587878787879,0.99,1.8042312360175858,500.0,-9.811825158013495
0.0,17.77788888888889,0.99,1.7897563858632897,500.0,-9.935276454387266
0.0,17.97989898989899,0.99,1.775554417829369,500.0,-10.058898190783918
0.0,18.18190909090909,0.99,1.761637391676357,500.0,-10.182689168749652
0.0,18.383919191919194,0.99,1.7479865280600195,500.0,-10.306648207931083
0.0,18.585929292929293,0.99,1.7345944767693149,500.0,-10.430774145457308
0.0,18.787939393939393,0.99,1.7214522415377005,500.0,-10.555065835562619
0.0,18.989949494949496,0.99,1.7085570770815155,500.0,-10.679522149186049
0.0,19.191959595959595,0.99,1.6959060970405342,500.0,-10.804141973525859
0.0,19.393969696969698,0.99,1.6834720610511489,500.0,-10.92892421185231
0.0,19.595979797979798,0.99,1.671264300781752,500.0,-11.053867782793894
0.0,19.7979898989899,0.99,1.6592758185370298,500.0,-11.178971620286298
0.0,20.0,0.99,1.6474950654540714,500.0,-11.304234673090075
