eta,U,a,s_inf,y_inf,E_inf
0.0,1.0000000000000006e-05,0.2716173710083725,84.55536574370657,8000.0,0.0004197112179502476
0.0,1.0352317759307377e-05,0.22419020653490104,84.55552360423117,8000.0000129255595,0.00041971088628805115
0.0,1.0717048298967115e-05,0.2153507766787116,84.55627736272692,7999.999979612323,0.00041970679985341445
0.0,1.1094628943275218e-05,0.20596337879584625,84.55579462124282,8000.000006269346,0.00041971500550372424
0.0,1.1485512424239392e-05,0.1766809748174931,84.55617475789082,7999.999998769826,0.0004197136278548681
0.0,1.1890167424419898e-05,0.13485281324050613,84.5566600505983,8000.0,0.0004197104920781331
0.0,1.2309079138896018e-05,0.19846930058215292,84.55604711036902,7999.999998957964,0.0004197246973261614
0.0,1.2742749857031348e-05,0.14079302798866333,84.55636199198801,7999.999992630572,0.00041972243697006547
0.0,1.3191699564735716e-05,0.1180765726144303,84.55650804181725,7999.99998910026,0.0004197240570175453
0.0,1.3656466567946097e-05,0.11953146938892724,84.55702626514098,7999.999991727492,0.00041972366059270423
0.0,1.4137608138073613e-05,0.10414901905982502,84.55739668860522,8000.000006509133,0.00041972373855319695
0.0,1.4635701180190798e-05,0.07698401300136284,84.5575551232382,7999.999974551608,0.00041972516535074175
0.0,1.5151342924760514e-05,0.12087287670983725,84.55707807833006,8000.000016144505,0.00041973821429451135
0.0,1.5685151643735478e-05,0.07530737588971767,84.55803091022091,7999.999998676792,0.00041973061678341676
0.0,1.623776739188721e-05,0.06543520281991656,84.55802162328625,8000.000000222211,0.00041973529530696537
0.0,1.6809852774253656e-05,1e-05,84.55885792378383,7999.9999812305105,0.0004194100620501409
0.0,1.7402093740624848e-05,0.12768278494838892,84.55805784254844,8000.000018903307,0.00041975162095136937
0.0,1.801520040802024e-05,0.06709915721417284,84.5577506041957,7999.999996405661,0.000419755484064777
0.0,1.8649907912142982e-05,0.07062571888537343,84.5591060941088,8000.000028130281,0.0004197485702179003
0.0,1.9306977288832496e-05,0.12080975904225598,84.55856730463252,8000.000026483224,0.0004197650867080641
0.0,1.9987196386572525e-05,0.058710400607817376,84.55956951626938,8000.000011596032,0.0004197558197179856
0.0,2.06913808111479e-05,0.0012297672794573111,84.55868329868075,7999.999998379889,0.00041937509360320043
0.0,2.1420374903583833e-05,1e-05,84.55936680786509,8000.000005366892,0.0004193615147253535
0.0,2.217505275253934e-05,1e-05,84.56127134913763,8000.0000199817,0.00041933550024440727
0.0,2.2956319242369097e-05,1e-05,84.56116747884391,7999.9999919009615,0.00041932915992080953
0.0,2.376511113811073e-05,1e-05,84.56142121135863,7999.999993348383,0.0004193190124003101
0.0,2.4602398208697776e-05,1e-05,84.55805659196473,7999.9999633770085,0.00041934449236354825
0.0,2.5469184389745402e-05,1e-05,84.55916092695745,7999.999975476174,0.00041932535842376876
0.0,2.6366508987303556e-05,1e-05,84.55860593540172,7999.9999895901865,0.00041932239846426703
0.0,2.729544792402007e-05,1e-05,84.56156057989718,8000.00002732416,0.0004192843234896183
0.0,2.825711502920827e-05,1e-05,84.55813635022298,7999.999989079563,0.00041930921986841274
0.0,2.9252663374366476e-05,1e-05,84.55856867839152,7999.999957490252,0.0004192955381946273
0.0,3.0283286655749455e-05,1e-05,84.56019250955282,8000.000001702661,0.00041926970597265246
0.0,3.135022062565112e-05,1e-05,84.56030404720278,8000.000003330221,0.000419258533582151
0.0,3.245474457411332e-05,1e-05,84.56135354124385,8000.000032211721,0.0004192377026425036
0.0,3.359818286283781e-05,1e-05,84.5594758560676,8000.0000050386125,0.00041924554057358237
0.0,3.478190651314134e-05,0.582924346664752,84.56108476510262,8000.00003392555,0.00041997485549076117
0.0,3.60073348498562e-05,1e-05,84.55998226277343,8000.000009470918,0.0004192177880403077
0.0,3.727593720314938e-05,0.6027921757021344,84.55917737157242,8000.000009755841,0.0004200277486633111
0.0,3.858923467029907e-05,1e-05,84.5595154154638,8000.000041953783,0.0004191980597937579
0.0,3.994880193954171e-05,0.7105320330652092,84.56553071998424,8000.0000277966265,0.0004200145882867161
0.0,4.135626917817706e-05,0.7486022667103582,84.56696537507409,8000.000022805303,0.0004200234379093418
0.0,4.281332398719396e-05,0.7834635293548546,84.57215321051679,8000.000024767002,0.00041999493028569107
0.0,4.4321713424760855e-05,0.8761637196024527,84.58016387743692,8000.000037215633,0.0004199439733944955
0.0,4.58832461010084e-05,0.8533667800948628,84.57596805980474,8000.00005113818,0.0004200044767747319
0.0,4.749979434661413e-05,0.7201222532246767,84.55935889685877,8000.000071107055,0.00042017419090561504
0.0,4.917329645779016e-05,1.0,84.586814431974,8000.000054188089,0.00041994727882152777
0.0,5.0905759020366864e-05,1.0,84.59155291296932,8000.000014111691,0.0004199233771653957
0.0,5.269925931575656e-05,1.0,84.61643076967991,7999.999983666175,0.0004197006068420668
0.0,5.4555947811685143e-05,1.0,84.60666166686246,8000.000013642827,0.0004198222130131991
0.0,5.6478050740675574e-05,1.0,84.6040204567658,8000.000047811159,0.00041987403662497225
0.0,5.8467872769375896e-05,1.0,84.59251636565314,8000.00005763257,0.00042001468298830276
0.0,6.052779976193356e-05,1.0,84.59326155845808,8000.000053129983,0.0004200347649921295
