eta,U,a,s,y,E
0.0,0.001,1.0,148.4131591025766,1.0,-0.000868998275446477
0.0,0.7604810126582279,1.0,148.4131591025766,1.0,-0.7603500109200164
0.0,1.5199620253164556,1.0,148.4131591025766,1.0,-1.5198310235645864
0.0,2.2794430379746835,1.0,148.4131591025766,1.0,-2.279312036209156
0.0,3.0389240506329114,1.0,148.4131591025766,1.0,-3.038793048853726
0.0,3.7984050632911392,1.0,148.4131591025766,1.0,-3.798274061498296
0.0,4.557886075949368,1.0,148.4131591025766,1.0,-4.557755074142866
0.0,5.317367088607596,1.0,148.4131591025766,1.0,-5.317236086787436
0.0,6.076848101265823,1.0,148.4131591025766,1.0,-6.076717099432006
0.0,6.836329113924051,1.0,148.4131591025766,1.0,-6.836198112076576
0.0,7.595810126582279,1.0,148.4131591025766,1.0,-7.595679124721146
0.0,8.355291139240506,1.0,148.4131591025766,1.0,-8.355160137365717
0.0,9.114772151898734,1.0,148.4131591025766,1.0,-9.114641150010286
0.0,9.874253164556961,1.0,148.4131591025766,1.0,-9.874122162654857
0.0,10.63373417721519,1.0,148.4131591025766,1.0,-10.633603175299427
0.0,11.393215189873418,1.0,148.4131591025766,1.0,-11.393084187943995
0.0,12.152696202531645,1.0,148.4131591025766,1.0,-12.152565200588565
0.0,12.912177215189873,1.0,148.4131591025766,1.0,-12.912046213233134
0.0,13.6716582278481,1.0,148.4131591025766,1.0,-13.671527225877705
0.0,14.43113924050633,1.0,148.4131591025766,1.0,-14.431008238522276
0.0,15.190620253164557,1.0,148.4131591025766,1.0,-15.190489251166847
0.0,15.950101265822784,1.0,148.4131591025766,1.0,-15.949970263811412
0.0,16.709582278481015,0.10211630132644522,0.4377612462698385,1.226915518842465,-17.087830166388052
0.0,17.469063291139243,0.09170435443097148,0.4159278223909084,1.243451259009043,-18.552990305401202
0.0,18.22854430379747,0.08292256359134699,0.39642582596832826,1.2575798246456646,-20.086025958376688
0.0,18.988025316455698,0.07542311795704178,0.37885124994014596,1.269768820967434,-21.686506644418778
0.0,19.747506329113925,0.06895286341662533,0.36289975861285145,1.2803834303782355,-23.35411036263727
0.0,20.506987341772152,0.06332134632751049,0.3483345601636336,1.2896887062737812,-25.088590994548603
0.0,21.266468354430383,0.058382492475431834,0.33496649947462426,1.297902358614654,-26.88975700229711
0.0,22.02594936708861,0.05402238574726856,0.3226430014801552,1.3051941849192221,-28.757457023082765
0.0,22.78543037974684,0.050150127005459885,0.3112377546070884,1.3117008298531638,-30.69156984787702
0.0,23.544911392405066,0.04669311515221939,0.30064633569305865,1.3175357399839063,-32.69199728207893
0.0,24.304392405063293,0.04359244087951611,0.29077950404707664,1.322785750001336,-34.75865895506248
0.0,25.06387341772152,0.04079886853033116,0.28156219012395445,1.3275339648007922,-36.891488478318095
0.0,25.823354430379748,0.03827226332024565,0.272929655964951,1.331839940424684,-39.090430558626416
0.0,26.582835443037975,0.03597876078288747,0.2648257645090525,1.3357594208842771,-41.35543879755754
0.0,27.342316455696203,0.0338897126621808,0.25720183366467614,1.339339661549862,-43.686473993996074
0.0,28.101797468354434,0.03198124360277663,0.2500150740076741,1.342617308085702,-46.08350281989043
