eta,U,a,s,y,E_inf
0.0,2.0,0.9999648021183859,7.389084873369227,0.001,-1.944965680274994
0.0,2.0,0.9999649947408098,7.389084612318506,0.20929166666666665,-1.9451620589099465
0.0,2.0,0.9999641251964779,7.389085042756689,0.4175833333333333,-1.945677587709073
0.0,2.0,0.9999651359218711,7.389083887121208,0.625875,-1.946319172661213
0.0,2.0,0.9999654414833145,7.3890833516813625,0.8341666666666666,-1.9468675374588684
0.0,2.0,0.9999665930730358,7.389082291071923,1.0424583333333333,-1.9471469614076382
0.0,2.0,0.9999672515634412,7.389081781800435,1.2507499999999998,-1.9471011532743125
0.0,2.0,0.9999683388537272,7.389081059404652,1.4590416666666663,-1.9467897423792149
0.0,2.0,0.999986014753655,7.389067209081089,1.6673333333333331,-1.9463150610993438
0.0,2.0,0.9999859615381528,7.389067335703173,1.8756249999999999,-1.9458837918174394
0.0,2.0,0.9999862952355789,7.389067132969569,2.0839166666666666,-1.9455458984487595
0.0,2.0,0.9999869741321213,7.3890666261374855,2.292208333333333,-1.9453244196648019
0.0,2.0,0.9999881953240864,7.389065659174868,2.5004999999999997,-1.94519896121285
0.0,2.0,0.9999885637909883,7.389065370106962,2.7087916666666665,-1.9451383510395883
0.0,2.0,0.9999889006957435,7.389065100890781,2.917083333333333,-1.945111894442068
0.0,2.0,0.9999893580380352,7.389064731447365,3.1253749999999996,-1.9451009777858004
0.0,2.0,1.0,7.38905609893065,3.3336666666666663,-1.9450759788999092
0.0,2.0,1.0,7.38905609893065,3.541958333333333,-1.945074725341013
0.0,2.0,1.0,7.38905609893065,3.75025,-1.9450742707073723
0.0,2.0,1.0,7.38905609893065,3.958541666666666,-1.9450740904084602
0.0,2.0,1.0,7.38905609893065,4.166833333333334,-1.9450740123337906
0.0,2.0,1.0,7.38905609893065,4.375125,-1.9450739756552646
0.0,2.0,0.999981168280864,7.38907137670366,4.5834166666666665,-1.9451118531796103
0.0,2.0,0.9999817134331229,7.3890709344448435,4.791708333333333,-1.9451107407065533
0.0,2.0,0.9999823107271548,7.38907044987926,5.0,-1.9451095229331168
0.0,10.0,0.9999953404040439,54.598150033144236,0.001,-9.99904044253311
0.0,10.0,0.9999953516815706,54.598150033144236,0.20929166666666665,-9.999043884738416
0.0,10.0,0.9999953862282935,54.598150033144236,0.4175833333333333,-9.999052805051084
0.0,10.0,0.9999954465484612,54.598150033144236,0.625875,-9.999063756414131
0.0,10.0,0.9999955358747712,54.598150033144236,0.8341666666666666,-9.999072605228152
0.0,10.0,0.9999956566402791,54.598150033144236,1.0424583333333333,-9.999076183637696
0.0,10.0,0.999995808499452,54.598150033144236,1.2507499999999998,-9.999073439624468
0.0,10.0,0.9999959866972594,54.598150033144236,1.4590416666666663,-9.999065578615527
0.0,10.0,0.9999961819840493,54.598150033144236,1.6673333333333331,-9.99905519798412
0.0,10.0,0.9999960703020825,54.598150033144236,1.8756249999999999,-9.999048131428472
0.0,10.0,0.9999962560124506,54.598150033144236,2.0839166666666666,-9.999039847996105
0.0,10.0,0.9999964370435127,54.598150033144236,2.292208333333333,-9.99903383295846
0.0,10.0,0.9999966056142527,54.598150033144236,2.5004999999999997,-9.999029788067304
0.0,10.0,0.9999970816613658,54.598150033144236,2.7087916666666665,-9.999023817524769
0.0,10.0,0.9999972076827994,54.598150033144236,2.917083333333333,-9.99902206083928
0.0,10.0,0.9999970881227062,54.598150033144236,3.1253749999999996,-9.99902311176986
0.0,10.0,0.999997205057124,54.598150033144236,3.3336666666666663,-9.999021877670943
0.0,10.0,0.999997311149656,54.598150033144236,3.541958333333333,-9.999020797787157
0.0,10.0,0.999997623560855,54.598150033144236,3.75025,-9.999017622704136
0.0,10.0,0.9999977049760972,54.598150033144236,3.958541666666666,-9.999016809037798
0.0,10.0,0.9999975745885599,54.598150033144236,4.166833333333334,-9.99901816373878
0.0,10.0,0.9999976458925005,54.598150033144236,4.375125,-9.999017454827385
0.0,10.0,0.9999977091354588,54.598150033144236,4.5834166666666665,-9.999016827677323
0.0,10.0,0.9999977260362277,54.598150033144236,4.791708333333333,-9.99901667613418
0.0,10.0,0.19118260951223748,0.7714021467924211,5.0,-5.9289185140394025
0.0,16.0,0.136430666343732,0.5093776282048561,0.001,-15.230590945039406
0.0,16.0,0.13522864446645186,0.5069984182442018,0.20929166666666665,-15.263331742012387
0.0,16.0,0.13219060427249965,0.500860534523144,0.4175833333333333,-15.344556395414301
0.0,16.0,0.12865575951590574,0.4933451062427609,0.625875,-15.429260908577266
0.0,16.0,0.12611320444994295,0.48719515423752235,0.8341666666666666,-15.457584227574355
0.0,16.0,0.12561198176393187,0.48440506019175117,1.0424583333333333,-15.37945678993712
0.0,16.0,0.12740374471270408,0.4855046426700746,1.2507499999999998,-15.181033879604534
0.0,16.0,0.13077292969801801,0.48942576501797597,1.4590416666666663,-14.895527737869394
0.0,16.0,0.13411953222019993,0.4940149781217679,1.6673333333333331,-14.588838982579436
0.0,16.0,0.13558409333803276,0.49711508153295386,1.8756249999999999,-14.329218120824532
0.0,16.0,0.13422335909306238,0.49770198672057553,2.0839166666666666,-14.1600861001714
0.0,16.0,0.1306704965103141,0.4961645803947905,2.292208333333333,-14.088947276002056
0.0,16.0,0.12633721667564124,0.4935459278800913,2.5004999999999997,-14.093952354379944
0.0,16.0,0.12231970858754897,0.49076870255302085,2.7087916666666665,-14.141017751405212
0.0,16.0,0.11904770030718621,0.48835475152988417,2.917083333333333,-14.200025661479392
0.0,16.0,0.116513551066961,0.4864841043382113,3.1253749999999996,-14.252468518613247
