eta,U,a_opt,s_opt,y_opt,E_opt,a_inf,s_inf,y_inf,E_inf,E_binding
0.00024918417391304353,4.072118960879976,0.6740784664596967,1.7967540951232748,4.9217475872477366e-08,-1.6575544387221608,0.6725248255935083,1.8131588992223793,5000.001333789461,-1.2680643480269127,-0.30715325393485615
0.0012,12.6,0.16320080880517637,0.5944756729424922,1.0878978527692869,-10.073069367051183,0.18391700358407048,0.6241212583991251,5000.000093460625,-9.118887539068435,-0.10463796421380414
0.0905,2.6,0.8186224264402032,2.7359926379969512,5.75737610636888e-06,-0.625006699922537,0.8345684263682867,2.8035990624533405,5000.000030142455,-0.49101055562393603,-0.27289870403769556
0.0818,2.58,0.8166728471423297,2.716497947917851,4.831631497847412e-05,-0.6340811100276302,0.814647154404276,2.7877497428470583,5000.005163075909,-0.4925339116273966,-0.28738569072846804
0.0826,1.87,0.8694574481377619,3.387223633269763,1e-15,-0.36898699264209184,0.8953049939449573,3.6303586771676892,5000.001404259758,-0.27522412930658763,-0.34067820859942294
0.0375,3.12,0.7601052404668971,2.2557019441554105,1e-15,-0.9832077606192373,0.7589552063206051,2.309242843145075,5000.002630367011,-0.7485818740650478,-0.3134271543072411
0.08,0.47,0.9809137067093413,10.0,1e-15,-0.029151327970319857,0.986001010666162,12.494532092284954,5000.0,-0.019585218863993937,-0.4884351394159065
