eta,U,a,s,y,E_bi
0.0,0.001,0.0001,84.32189423193805,5000.0,0.00041239073635177464
0.0,0.203010101010101,0.0001,35.75067438411383,5000.0,-0.0022204568492851934
0.0,0.405020202020202,0.0001,18.392983695206894,5000.0,-0.008844927502396764
0.0,0.607030303030303,0.0001,12.280071114488543,5000.0,-0.01986836801198038
0.0,0.809040404040404,0.0001,9.207797395146375,5000.0,-0.03529241036094652
0.0,1.011050505050505,0.0001,7.37623037593306,5000.0,-0.05511722149452749
0.0,1.213060606060606,0.0001,6.14887009211727,5000.0,-0.07934263679786015
0.0,1.415070707070707,0.0001,5.27120682803848,5000.0,-0.10796871004828516
0.0,1.617080808080808,0.0001,4.612867878452162,5000.0,-0.14099544292990931
0.0,1.8190909090909089,0.0001,4.100873770644891,5000.0,-0.17842283428090686
0.0,2.02110101010101,0.0001,3.690674321107714,5000.0,-0.2202508884749104
0.0,2.223111111111111,0.0001,3.355456472276155,5000.0,-0.2664796001733846
0.0,2.425121212121212,0.0001,3.0757884413834446,5000.0,-0.31710897314282294
0.0,2.6271313131313128,0.0001,2.839287385664805,5000.0,-0.3721390051575806
0.0,2.829141414141414,0.0001,2.636546977947543,5000.0,-0.4315696969676203
0.0,3.0311515151515147,0.0001,2.4607985806284045,5000.0,-0.4954010484601631
0.0,3.233161616161616,0.0001,2.307078815681856,5000.0,-0.5636330599249326
0.0,3.435171717171717,0.0001,2.1714097583752525,5000.0,-0.6362657310619979
0.0,3.637181818181818,0.0001,2.050832258347115,5000.0,-0.7132990618562758
0.0,3.839191919191919,0.0001,1.9428980906184066,5000.0,-0.7947330526219571
0.0,4.041202020202021,0.0001,1.8457759921611858,5000.0,-0.8805677030283784
0.0,4.243212121212121,0.0001,1.757907662215133,5000.0,-0.9708030131711018
0.0,4.445222222222222,0.0001,1.6780169841204413,5000.0,-1.0654389830557445
0.0,4.647232323232323,0.0001,1.605075655775363,5000.0,-1.1644756126585791
0.0,4.849242424242425,0.0001,1.5382111659572804,5000.0,-1.2679129019753788
0.0,5.051252525252526,0.0001,1.4766958574926061,5000.0,-1.3757508509955447
0.0,5.253262626262626,0.0001,1.4199098881165637,5000.0,-1.4879894597111198
0.0,5.455272727272727,0.0001,1.367330057598257,5000.0,-1.604628728109408
0.0,5.6572828282828285,0.0001,1.3185054389224855,5000.0,-1.7256686561800014
0.0,5.85929292929293,0.0001,1.273046647117447,5000.0,-1.851109243910709
0.0,6.06130303030303,0.0001,1.2306195270347398,5000.0,-1.980950491292132
0.0,6.263313131313131,0.0001,1.1909285136638454,5000.0,-2.115192398309583
0.0,6.465323232323232,0.0001,1.153718164212197,5000.0,-2.2538349649509053
