eta,U,a,s,y,E_bi
0.0,0.001,1.0,89.94974407496112,5000.0,0.0003002269627280841
0.0,0.203010101010101,0.2817752374408276,32.28068102553615,5000.0,-0.002881743089508941
0.0,0.405020202020202,0.014302583356294824,18.356202281824757,5000.0,-0.00890473804325549
0.0,0.607030303030303,0.2739339570671547,10.83283969120295,5000.0,-0.025782541580948438
0.0,0.809040404040404,0.008509301666495574,9.211363973700111,5000.0,-0.03536823523730411
0.0,1.011050505050505,0.03737969139188005,7.265863237320092,5000.0,-0.05690183920430414
0.0,1.213060606060606,0.004651227002886387,6.131913833947969,5000.0,-0.07981046742779128
0.0,1.415070707070707,0.022056413623187734,5.228193223257062,5000.0,-0.10994149048682843
0.0,1.617080808080808,0.22631568094445736,4.314475722412973,5000.0,-0.16706146592118054
0.0,1.8190909090909089,0.002973066406212708,4.0937181601757535,5000.0,-0.1791245458206465
0.0,2.02110101010101,0.002616501012584747,3.6872713183546986,5000.0,-0.22072487639676944
0.0,2.223111111111111,0.0024845732974510776,3.357239517578632,5000.0,-0.266320969577826
0.0,2.425121212121212,0.00031516716320751243,2.9371309793499893,5000.0,-0.3165601387751941
0.0,2.6271313131313128,0.0023291487450538143,2.8385287751518864,5000.0,-0.37246866043105614
0.0,2.829141414141414,0.000209511412574483,2.636399553587105,5000.0,-0.431625037324441
0.0,3.0311515151515147,0.00025386620802813205,2.4605739419368593,5000.0,-0.49551346031799315
0.0,3.233161616161616,1.0,3.154966593067788,5000.0,-2.3107405418120215
0.0,3.435171717171717,0.1804886472065458,2.1667389439928613,5000.0,-0.697367254624736
0.0,3.637181818181818,1.0,3.0231758238689705,5000.0,-2.6387772739880715
0.0,3.839191919191919,0.06754201827199363,1.9429770526916326,5000.0,-0.819962598348895
0.0,4.041202020202021,0.015218810240316554,1.844296776618273,5000.0,-0.8891263752855335
0.0,4.243212121212121,0.30953336350150956,1.8340294567140958,5000.0,-1.1173317954287931
0.0,4.445222222222222,0.003974295122770125,1.6767054634631733,5000.0,-1.0694917482696071
0.0,4.647232323232323,0.1639592938122875,1.6548193862662328,5000.0,-1.2326852695483643
0.0,4.849242424242425,0.20268806154523794,1.6054181886601864,5000.0,-1.3577877620838157
0.0,5.051252525252526,0.02564036973257791,1.4802066926207946,5000.0,-1.3960737037696993
0.0,5.253262626262626,0.023840579193043925,1.4213962777329165,5000.0,-1.5096396472032483
0.0,5.455272727272727,0.027982188368260788,1.376726234151185,5000.0,-1.618649003998794
0.0,5.6572828282828285,0.18790949747791796,1.3932226862350967,5000.0,-1.8289956752074918
0.0,5.85929292929293,0.3764400552397731,1.4904588178553009,5000.0,-2.0174613908650434
0.0,6.06130303030303,0.4382265346383929,1.5065603564098715,5000.0,-2.202722658315045
0.0,6.263313131313131,0.006874765842250245,1.1940484854529536,5000.0,-2.117343429435132
0.0,6.465323232323232,0.4292416004591573,1.4298058295134008,5000.0,-2.4444453223501226
0.0,6.667333333333334,0.3983087544509491,1.3891241755705017,5000.0,-2.5015753683231674
0.0,6.869343434343435,0.3793721912220342,1.3376010675315717,5000.0,-2.623890946851579
0.0,7.071353535353535,0.29984278146436943,1.2507791823674457,5000.0,-2.7104080106295
0.0,7.273363636363636,0.26525865360234385,1.1864963815160563,5000.0,-2.8773514820231525
0.0,7.4753737373737374,0.40268460625803765,1.277315148257344,5000.0,-3.0548083223460747
0.0,7.677383838383839,0.33051986345940293,1.1965600386288966,5000.0,-3.1709677052903764
0.0,7.879393939393939,0.33333182144539103,1.1584643897151776,5000.0,-3.6681087944377317
0.0,8.08140404040404,0.3435708204914886,1.1780787252933143,5000.0,-3.3940703774387533
0.0,8.283414141414141,0.3324460737830759,1.1408897850465618,5000.0,-3.5809646490301894
0.0,8.48542424242424,0.3333317795403822,1.1044813786981977,5000.0,-4.130552248590989
0.0,8.687434343434342,0.33770862009565306,1.1127343949300286,5000.0,-3.8627687575384093
0.0,8.889444444444443,0.41984794425982064,1.1688859533100155,5000.0,-4.017483349891054
0.0,9.091454545454544,0.4361626849592709,1.169382001904422,5000.0,-4.100470581877176
0.0,9.293464646464646,0.4313280060057365,1.1407149339513607,5000.0,-4.331030386801969
0.0,9.495474747474747,0.44232092660448985,1.137474226923598,5000.0,-4.44680399480885
0.0,9.697484848484848,0.4581865167943063,1.1478758984847448,5000.0,-4.567433150477403
0.0,9.89949494949495,0.46488707425813053,1.136148130361459,5000.0,-4.702061690323086
0.0,10.10150505050505,0.4494703557966855,1.120058003526065,5000.0,-4.781396986305934
0.0,10.30351515151515,0.32164638369659887,0.9789423018378037,5000.0,-5.145280077675757
0.0,10.505525252525251,0.4454637636886832,1.0809217730700629,5000.0,-5.142545223988733
0.0,10.707535353535352,0.334360403454819,0.9779899503409711,5000.0,-5.2904709072459015
