eta,U,a,s_inf,y_inf,E_inf
0.0,0.001,1,201.0081888705094,7998.802565306966,6.863607859633345e-05
0.0,0.10124812030075189,1,199.78687623442684,7999.909902565689,-0.0004966662872847682
0.0,0.20149624060150378,1,200.0,8000.0,-0.0010617923801939913
0.0,0.30174436090225565,1,196.80264107885762,7999.620172634329,-0.0016525670595700637
0.0,0.40199248120300757,1,13.45072498691474,7995.029876786533,-0.016954958113461555
0.0,0.5022406015037595,1,10.863711692065213,7997.603313526952,-0.02630475262267538
0.0,0.6024887218045113,1,9.153751234540044,8002.637867466449,-0.03757888636228046
0.0,0.7027368421052632,1,7.944050907769867,8000.53546889956,-0.05069799986850891
0.0,0.8029849624060151,1,7.047705511183279,8002.729537657437,-0.06557585004886501
0.0,0.903233082706767,1,6.358841848363238,8004.28856123297,-0.08212181971503282
0.0,1.0034812030075189,1,5.8148513166055515,8001.609171674851,-0.10024316856593929
0.0,1.1037293233082708,1,5.375694197893065,7993.992189770419,-0.11984695264796195
0.0,1.2039774436090225,1,5.014731601170006,8000.73268055275,-0.1408415851804566
0.0,1.3042255639097744,1,4.713494726342221,7996.686267126878,-0.16313804532051537
0.0,1.4044736842105263,1,4.458836135468268,8002.850179454961,-0.18665076461306626
0.0,1.5047218045112782,1,4.241142972316472,8005.02570042345,-0.2112982335285618
0.0,1.6049699248120302,1,4.053215464085162,8001.61964859926,-0.23700337522775689
0.0,1.705218045112782,1,3.8895784339153336,7997.093354832551,-0.2636937329673052
0.0,1.805466165413534,1,3.746000813687991,8003.435294804942,-0.291301513526478
0.0,1.905714285714286,1,3.6191449740073813,7997.559463356967,-0.31976352336098923
0.0,2.005962406015038,1,3.506365617912372,7999.184449151639,-0.34902102802370616
0.0,2.1062105263157895,1,3.405530166888055,7999.865043192436,-0.37901955944751564
0.0,2.2064586466165417,1,3.314909179516021,8000.000533261372,-0.4097086903503641
0.0,2.3067067669172934,1,3.2330821729410024,7996.9137620755455,-0.44104179045966596
0.0,2.406954887218045,1,3.1588718834775102,8002.520057190033,-0.4729757754873849
0.0,2.507203007518797,1,3.09129977516557,7999.867004651745,-0.5054708567644228
0.0,2.607451127819549,1,3.0295431211618182,7997.037313280166,-0.5384902970714339
