eta,U,a,s,y,E
0.0,16.0,1.0,148.4131591025766,7.38905609893065,-15.999863800271262
0.0,16.285714285714285,1.0,148.4131591025766,7.38905609893065,-16.285578085986625
0.0,16.571428571428573,1.0,148.4131591025766,7.38905609893065,-16.571292371701997
0.0,16.857142857142858,0.11095938746184884,0.4584697558351622,0.812850524987392,-16.982392290170594
0.0,17.142857142857142,0.10648886070665874,0.44951132525730897,0.8174597369292304,-17.508780572318877
0.0,17.428571428571427,0.10230944615908628,0.4409490035912758,0.8218138005023297,-18.044444979040215
0.0,17.714285714285715,0.09839046680765164,0.432749720536551,0.8259334097152271,-18.589356616940247
0.0,18.0,0.0947115888333488,0.42488988123552995,0.8298198932577043,-19.143489869151228
0.0,18.285714285714285,0.09125092060086748,0.4173467640320276,0.8335087603341703,-19.70682192711483
0.0,18.57142857142857,0.08799169624153681,0.4100946174548163,0.8370092514421339,-20.279332401223606
0.0,18.857142857142858,0.08491553873505481,0.4031197676702134,0.8403434322632595,-20.86100300298329
0.0,19.142857142857142,0.08200324618617723,0.3963986283353792,0.8435019808555193,-21.451817272245023
0.0,19.428571428571427,0.07925169611631558,0.3899202163465243,0.846506362001251,-22.05176034354053
0.0,19.714285714285715,0.07664379308084159,0.3836685746634307,0.8493758981423098,-22.660818761552022
0.0,20.0,0.07416948110878281,0.37763138370772137,0.8521152616877558,-23.278980310558616
0.0,20.285714285714285,0.07181882506284008,0.3717959918777738,0.854722085122588,-23.906233872724705
0.0,20.57142857142857,0.06958460521428543,0.3661512790117084,0.857218126434461,-24.542569307092002
0.0,20.857142857142858,0.06745836469442436,0.3606883726468319,0.859609696633223,-25.18797734177633
0.0,21.142857142857142,0.06543314064179835,0.3553972081401922,0.8619031137837018,-25.84244948248353
0.0,21.428571428571427,0.0635004942923575,0.3502681543239198,0.8640850594420832,-26.505977931820098
0.0,21.714285714285715,0.06165694656301153,0.3452950653209543,0.8661881912044698,-27.178555520255905
0.0,22.0,0.059895683022958,0.34046934877807195,0.868203923571788,-27.860175641417854
0.0,22.285714285714285,0.058211775772190354,0.3357837321255428,0.8701330495520371,-28.5508321994773
0.0,22.57142857142857,0.05660047725719863,0.3312330675191639,0.8719914560860327,-29.25051956057286
0.0,22.857142857142858,0.05505768772320829,0.3268099388585956,0.8737765451147634,-29.95923250881799
0.0,23.142857142857142,0.05357927008234237,0.32250996964291556,0.8754751772952104,-30.67696620858525
0.0,23.428571428571427,0.05216199143873322,0.31832574946410963,0.8771409757465704,-31.403716173781767
0.0,23.714285714285715,0.05080187816843971,0.3142542913754132,0.8787283790475244,-32.13947822987044
0.0,24.0,0.04949584466444582,0.3102902677219292,0.8802569026398771,-32.884248494306824
0.0,24.285714285714285,0.04824145930057282,0.3064290113176371,0.8817308170481719,-33.63802334844502
0.0,24.57142857142857,0.04703574195034395,0.30266684863095045,0.8831462646287939,-34.40079941580016
0.0,24.857142857142854,0.045875408777291564,0.29899851655005777,0.884516033878193,-35.1725735430689
0.0,25.142857142857142,0.044759112196321574,0.2954227186989527,0.8858425235974252,-35.95334278185424
0.0,25.42857142857143,0.04368342947765717,0.2919337397559491,0.8871332750986272,-36.74310437077513
0.0,25.714285714285715,0.04264841501715143,0.2885294018046149,0.888359455229353,-37.54185572589506
0.0,26.0,0.04165013085822592,0.285205976132105,0.8895477298664591,-38.34959441972738
0.0,26.285714285714285,0.040687393196221,0.28196090641497606,0.8906998169001603,-39.166318175728065
0.0,26.57142857142857,0.03975842456640031,0.2787909541480494,0.8918134656481465,-39.992024854231104
0.0,26.857142857142854,0.03886171933966201,0.2756939500896627,0.8928919361753284,-40.82671244307194
0.0,27.142857142857142,0.03799565910161258,0.2726679397147293,0.8939366169706745,-41.67037904770666
0.0,27.428571428571427,0.03715866571189075,0.2697088529709173,0.8949453224702154,-42.52302288394736
0.0,27.714285714285715,0.03635009664914759,0.26681359901287355,0.8959200167874617,-43.38464227094198
0.0,28.0,0.035567925744621316,0.2639827345861941,0.8968675356254686,-44.25523561913549
0.0,28.285714285714285,0.03481131930565247,0.261212778696341,0.897785671792876,-45.13480143046567
0.0,28.57142857142857,0.03407910227614159,0.2585018111530139,0.8986748437508495,-46.023338288551614
