alpha,a_pol,s_pol,E_pol,a_bi,s_bi,E_bi
0.001,0,0,0,1.8798627245141242,7.66410619128871,0.05085957733247884
0.051122807017543855,0,0,0,1.6930148087071946,17.432914367650906,0.0044659679128832095
0.10124561403508771,0,0,0,1.0001325032692827,26.384201528917462,-0.004338034094122073
0.15136842105263157,0,0,0,0.9991438116732874,17.663509817680975,-0.009662715724531272
0.20149122807017542,0,0,0,0.9905473220014623,13.40220689238372,-0.01704264048018261
0.2516140350877193,0,0,0,0.9857432181374283,10.814276645483353,-0.026424303284165708
0.30173684210526314,0,0,0,0.9779217530610289,9.109101549412483,-0.037748441543980216
0.351859649122807,0,0,0,0.9702302909116899,7.887145364175952,-0.05095020004558613
0.40198245614035083,0,0,0,0.9629202860031872,6.9796254942095635,-0.06596349312097888
0.4521052631578947,0,0,0,0.9563608341752979,6.272603010067491,-0.08272207950299128
0.5022280701754386,0,0,0,0.947173591055146,5.714792773728069,-0.10116274771512185
0.5523508771929824,0,0,0,0.9392630389962855,5.253468627808235,-0.12122290340469621
0.6024736842105263,0,0,0,0.9291372808178966,4.8746933361707505,-0.14284567234336917
0.6525964912280701,0,0,0,0.9199408582684387,4.552304808449805,-0.16597522762619799
0.702719298245614,0,0,0,0.9109405527171326,4.275791646099285,-0.19056081834427074
0.7528421052631578,0,0,0,0.9021820419000499,4.034899547546733,-0.21655482963874217
0.8029649122807017,0,0,0,0.8931200962370084,3.824368725437534,-0.24391311407662908
0.8530877192982456,0,0,0,0.8840607117886359,3.638097785853326,-0.27259462929580475
0.9032105263157894,0,0,0,0.8749781684536446,3.4721337280266003,-0.302561395349598
0.9533333333333333,0,0,0,0.8663711355790125,3.321501231549682,-0.3337778752630648
1.003456140350877,0,0,0,0.8576044239535107,3.187668234825478,-0.3662120619818306
1.0535789473684207,0,0,0,0.8474886915682708,3.065795783474155,-0.3998341913819893
1.1037017543859646,0,0,0,0.8386689169638721,2.9535899877222462,-0.43461516196321737
1.1538245614035085,0,0,0,0.8299841337947033,2.850813642778173,-0.47052959679363465
1.2039473684210524,0,0,0,0.8212369922157111,2.7560248173890662,-0.5075535863118965
1.2540701754385963,0,0,0,0.8119781050755693,2.668143720536772,-0.5456651738591054
1.30419298245614,0,0,0,0.8031890652359011,2.5868814052836138,-0.58484342283456
1.354315789473684,0,0,0,0.7942881557137917,2.5113041939348024,-0.6250694430815256
1.4044385964912278,0,0,0,0.7855540575211608,2.4398790296736808,-0.6663255755464378
1.4545614035087717,0,0,0,0.7768040954849598,2.3734879874295505,-0.7085954901579287
1.5046842105263154,0,0,0,0.7681984948166123,2.3107472114140952,-0.7518640797929178
1.5548070175438593,0,0,0,0.7595335672388643,2.251483121885712,-0.7961173694899708
1.6049298245614032,0,0,0,0.7508539579290902,2.1963265307740745,-0.8413423904842626
1.655052631578947,0,0,0,0.7423904795331597,2.142719535713758,-0.8875273592763937
1.705175438596491,0,0,0,0.7338365344037893,2.0936636425102324,-0.9346610749195948
1.7552982456140347,0,0,0,0.7254591761198397,2.045286776105602,-0.98273377098341
1.8054210526315786,0,0,0,0.7174063408868834,2.000067053321452,-1.031735694463785
1.8555438596491225,0,0,0,0.7085410982683699,1.9573516469318848,-1.081658808856626
1.9056666666666664,0,0,0,0.7001217588234596,1.915019643517029,-1.1324950728869378
1.95578947368421,0,0,0,0.692143712086861,1.876696913567637,-1.1842374445288597
2.005912280701754,0,0,0,0.6835455273471659,1.8386017260037004,-1.2368796694665423
2.056035087719298,0,0,0,0.6755112800833561,1.8014719088921587,-1.2904156175729717
2.1061578947368416,0,0,0,0.6672283661299659,1.767591123011945,-1.3448406054615292
2.1562807017543855,0,0,0,0.6587022641738033,1.7332238147877292,-1.400149647647654
2.2064035087719294,0,0,0,0.6507390142323806,1.7008694947174383,-1.4563386366162088
2.2565263157894733,0,0,0,0.6425562550167271,1.6703373840238749,-1.5134043847998795
2.306649122807017,0,0,0,0.6341912586588127,1.6398831796899722,-1.5713433532565941
2.356771929824561,0,0,0,0.6261306409033937,1.610893634318212,-1.6301532049701408
2.406894736842105,0,0,0,0.6181819060814665,1.5832778155942993,-1.6898318273894775
2.457017543859649,0,0,0,0.6099302574310148,1.555633907791361,-1.7503771446235095
2.507140350877193,0,0,0,0.6019778840824782,1.5293400272697133,-1.8117882070718945
2.5572631578947362,0,0,0,0.5940719583740103,1.5045287575618138,-1.8740643513350892
2.60738596491228,0,0,0,0.5859583439103537,1.4795955948899868,-1.9372043403434864
2.657508771929824,0,0,0,0.5782280907648379,1.4554050598349886,-2.00120804827349
2.707631578947368,0,0,0,0.5702564845051831,1.4323878015761435,-2.0660764851291282
2.757754385964912,0,0,0,0.5621564266648679,1.4101479561012389,-2.1318094119940665
2.8078771929824557,0,0,0,0.5540492892010137,1.3877740616292837,-2.1984073753467186
2.8579999999999997,0,0,0,0.5466756957564398,1.3667744091720833,-2.2658724370642056
2.9081228070175436,0,0,0,0.5385595705981157,1.3464437967123652,-2.3342045091388974
2.9582456140350875,0,0,0,0.531229179959803,1.3258489626371528,-2.4034071949531057
3.008368421052631,0,0,0,0.5234675020418815,1.3061153344346519,-2.4734807314270904
3.058491228070175,0,0,0,0.5158475546378228,1.2869815565217715,-2.544427761756071
3.1086140350877187,0,0,0,0.5079881711172041,1.268461885177588,-2.616250311624665
3.1587368421052626,0,0,0,0.5006551528657118,1.249869471093952,-2.688951948103716
3.2088596491228065,0,0,0,0.4928208773973033,1.2315145759889967,-2.762534031920912
3.2589824561403504,0,0,0,0.48520745773035895,1.2141672158361567,-2.8370005051307694
3.3091052631578943,0,0,0,0.4777659082445164,1.1970412647310786,-2.9123540128342356
3.3592280701754382,0,0,0,0.4704747235842098,1.1804846691723658,-2.9885981690804018
3.409350877192982,0,0,0,0.463226215154361,1.1643048295552187,-3.06573603855316
3.4594736842105256,0,0,0,0.4560022958347966,1.1484383350856215,-3.143771056963994
3.5095964912280695,0,0,0,0.4488119254942994,1.132875390349762,-3.222706830511857
3.5597192982456134,0,0,0,0.4416755370177181,1.1176296366481449,-3.302547067645713
3.6098421052631573,0,0,0,0.4346139236378758,1.1027462500110305,-3.3832956223634074
3.659964912280701,0,0,0,0.4276524516663012,1.0883012439010895,-3.464956493983415
3.710087719298245,0,0,0,0.4210005911159379,1.0744149812637553,-3.5475334704910493
3.760210526315789,0,0,0,0.4141816855438381,1.0605079703718328,-3.631030110809258
3.810333333333333,0,0,0,0.40737714853545137,1.0468663764304227,-3.715450677756614
3.860456140350877,0,0,0,0.4006030494453632,1.0334187858025226,-3.8007990835552357
3.9105789473684203,0,0,0,0.39403919889690436,1.0201570516383571,-3.887078920789343
