eta,U,a,s,y,E,Einf,dE
0.05,0.000281177,1,148.4131591,1,-0.000136048,-0.000130916,-0.039197126
0.05,0.000372759,1,148.4131591,1,-0.000223028,-0.000217919,-0.023448474
0.05,0.000494171,1,148.4131591,1,-0.00033834,-0.000333259,-0.015246788
0.05,0.000655129,1,148.4131591,1,-0.00049121,-0.000486167,-0.010373064
0.05,0.000868511,1,148.4131591,1,-0.000693872,-0.000688879,-0.007247353
0.05,0.001151395,1,148.4131591,1,-0.000962542,-0.000957617,-0.005143615
0.05,0.001526418,1,148.4131591,1,-0.001318722,-0.001313885,-0.00368135
0.05,0.00202359,1,148.4131591,1,-0.001790913,-0.001786194,-0.002642056
0.05,0.002682696,1,148.4131591,1,-0.002416903,-0.00241234,-0.001891633
0.05,0.00355648,1,148.4131591,1,-0.003246784,-0.003242428,-0.001343592
0.05,0.004714866,1,148.4131591,1,-0.004346968,-0.004342885,-0.000940018
0.05,0.006250552,1,148.4131591,1,-0.005805493,-0.005801774,-0.000641012
0.05,0.008286428,1,148.4131591,1,-0.007739077,-0.00773584,-0.000418475
0.05,0.010985411,1,148.4131591,1,-0.010302452,-0.010299853,-0.000252295
0.05,0.014563485,1,148.4131591,1,-0.013700746,-0.013698994,-0.000127887
0.05,0.019306977,1,148.4131591,1,-0.018205903,-0.018205274,-3.45767E-05
0.05,0.025595479,1,148.4131591,1,-0.024178442,-0.0241793,3.55082E-05
0.05,0.033932218,1,148.4131591,1,-0.032096304,-0.032099135,8.82041E-05
0.05,0.044984327,1,148.4131591,1,-0.042593103,-0.04259855,0.000127857
0.05,0.059636233,1,148.4131591,1,-0.05650883,-0.056517743,0.000157713
0.05,0.079060432,1,148.4131591,1,-0.074957067,-0.074970577,0.000180203
0.05,0.104811313,1,148.4131591,1,-0.099414104,-0.099433707,0.00019715
0.05,0.138949549,1,148.4131591,1,-0.131837076,-0.131864758,0.000209923
0.05,0.184206997,1,148.4131591,1.000011322,-0.17482058,-0.17485897,0.000219551
0.05,0.244205309,1,148.4131591,1.000014369,-0.231804298,-0.231856886,0.000226811
0.05,0.323745754,1,148.4131591,1.000018413,-0.307348261,-0.307419671,0.000232286
0.05,0.429193426,1,148.4131591,1.000023776,-0.407497752,-0.407594113,0.000236414
0.05,0.568986603,1,148.4131591,1.000030865,-0.54026707,-0.54039651,0.000239527
0.05,0.754312006,1,148.4131591,1.00004028,-0.716280865,-0.716454157,0.000241875
0.05,1,1,148.4131591,2.718281828,-0.949737243,-0.949855781,0.000124795
