eta,U,a,s_inf,y_inf,E_inf
0.0,0.001,1.0,84.90961868184291,7999.99828335508,0.000429397531648187
0.0,0.10124812030075189,0.9310092137155918,34.42675579206077,7999.997162424697,-0.0007768121208125986
0.0,0.20149624060150378,0.9953000719144061,26.510142901481373,7999.937295810949,-0.004295140819908749
0.0,0.30174436090225565,0.9893662892727312,17.75930740554048,7999.950461433353,-0.009599189779957357
0.0,0.40199248120300757,0.9784678143132984,13.440734186249575,7999.967078181255,-0.016959695982032272
0.0,0.5022406015037595,0.9765262259572356,10.840473429836347,7999.995821590043,-0.026324600603295924
0.0,0.6024887218045113,0.9746824649084058,9.123635739115592,7999.995854512346,-0.03763328276372316
0.0,0.7027368421052632,0.9722692904561444,7.901362228305965,7999.996898733884,-0.05081923574927498
0.0,0.8029849624060151,0.9669055050426723,6.991943690131308,7999.9971549585025,-0.06581413799432946
0.0,0.903233082706767,0.9515853883778347,6.282617868934755,7999.997626239328,-0.08254765964691242
0.0,1.0034812030075189,0.9475799900647733,5.7214856224669,7999.940749870265,-0.10097282858420015
0.0,1.1037293233082708,0.9458490772774403,5.265679644548226,8000.006035734283,-0.12100881182921021
0.0,1.2039774436090225,0.9300020194589156,4.879645856140532,7999.9996361898275,-0.14261116156896425
0.0,1.3042255639097744,0.9204581770805127,4.55602863741076,7999.9954532075235,-0.1657143251057874
0.0,1.4044736842105263,0.9102853059456035,4.277736901627029,8000.003525666917,-0.19031620829015816
0.0,1.5047218045112782,0.8912304458684772,4.031360494951681,7999.996649960906,-0.21631372896756995
0.0,1.6049699248120302,0.9096264535299177,3.836957168121108,7999.996240951137,-0.2435799406387777
0.0,1.705218045112782,0.8676846329472432,3.6308088963482894,7999.998723497207,-0.2722942386802595
0.0,1.805466165413534,0.8650976604315773,3.4679867989243074,7999.998027520674,-0.3023168456684098
0.0,1.905714285714286,0.8617267890320087,3.3217480505555543,7999.996056944401,-0.3335934942838
0.0,2.005962406015038,0.8564543585883432,3.1892306777209924,8000.00873003952,-0.365990103913068
0.0,2.1062105263157895,0.8563043029252321,3.0720322864152987,7999.998439381721,-0.39958308038938994
0.0,2.2064586466165417,0.8253105277610311,2.9468251832797785,7999.99858708368,-0.4342599767049237
0.0,2.3067067669172934,0.8382893366934306,2.8569037291659414,7999.990061291995,-0.47031412237638215
0.0,2.406954887218045,0.8381543340238381,2.767623017490263,7999.9995318144465,-0.5072431233935661
0.0,2.507203007518797,0.8461859944292455,2.690823127620851,7999.996712679802,-0.5449931421114
0.0,2.607451127819549,0.8610977619692224,2.625473994706768,7999.996925034424,-0.5831119989592877
0.0,2.707699248120301,0.784120708010694,2.5051703440998168,7999.993108233439,-0.6247858702005594
0.0,2.8079473684210527,0.7840469631226832,2.439345013593921,7999.999260323877,-0.6660929936870368
0.0,2.908195488721805,0.7839846173910293,2.3780468252476523,7999.99955366363,-0.708337045490837
0.0,3.0084436090225566,0.7648146934106466,2.309203657837136,7999.998382311756,-0.7513985181446411
0.0,3.1086917293233087,0.6501273353889461,2.19332527715123,7999.998945577643,-0.7878875651891757
0.0,3.2089398496240604,0.7392905058915542,2.1894400878780846,8000.000195237147,-0.8406457427757978
0.0,3.309187969924812,0.7528327578790763,2.150186116843308,7999.999823792118,-0.8868331972305477
0.0,3.4094360902255643,0.7147712309334272,2.081974391382433,7999.998941048427,-0.9338427041910424
0.0,3.509684210526316,0.7147375053524873,2.0394097180548445,7999.999138578233,-0.9820754895864225
0.0,3.609932330827068,0.7328160136245442,2.0104825529554824,7999.998500114176,-1.0308502937575572
0.0,3.71018045112782,0.7146716787775645,1.961064023899903,7999.999382727591,-1.0810291057760406
0.0,3.810428571428572,0.642592121048229,1.8827607309576453,8000.000800912385,-1.1288867125435804
0.0,3.9106766917293236,0.6224533554792553,1.836613119656498,7999.997095245623,-1.1795369762801018
0.0,4.010924812030076,0.7073385114999426,1.8537545915900862,8000.000072624065,-1.2352469791828853
0.0,4.1111729323308275,0.6715162243370866,1.800175114429587,8000.000049031605,-1.2896073095155354
0.0,4.21142105263158,0.6684489017069851,1.7685876324522167,8000.00002499832,-1.3438016712912082
0.0,4.311669172932332,0.6223782885914086,1.7124756989654688,7999.999972286831,-1.3982870324427987
0.0,4.411917293233084,0.6051685358521648,1.6751947515103156,8000.000011212737,-1.4535644265243555
0.0,4.512165413533835,0.6247657158055226,1.6600034999333784,8000.000016380315,-1.5125029399355667
0.0,4.612413533834587,0.5960904540532825,1.6180713450561273,8000.000021433454,-1.569413350961243
0.0,4.712661654135339,0.5715188450260348,1.5796635529572411,7999.996341879226,-1.6262601822134661
0.0,4.812909774436091,0.47865642480092147,1.510041255799369,7999.999913075791,-1.6650065533791558
0.0,4.913157894736843,0.5509348646548043,1.52245556879853,8000.000003302165,-1.7461222189949206
0.0,5.013406015037595,0.5983640636312584,1.5279840267909146,8000.000003702925,-1.8111945367136533
0.0,5.113654135338347,0.585429134620382,1.4992662395904255,8000.000020273575,-1.8744336065024176
0.0,5.213902255639098,0.5525669690696272,1.4603583848898007,7999.999987911705,-1.9362107835170135
0.0,5.3141503759398505,0.45635408742506683,1.3918611020757226,7999.99995614862,-1.977655697594366
0.0,5.414398496240603,0.43192179765045885,1.3607572325341655,8000.000004091013,-2.036849986017781
0.0,5.514646616541355,0.5498300439893498,1.4028707098043967,8000.000077896579,-2.131632831757101
0.0,5.614894736842106,0.44635063433256905,1.3306492052509735,7999.999867518731,-2.1788768402177623
0.0,5.715142857142858,0.558455360476395,1.3738489077857334,7999.999980248989,-2.2653739925906824
