eta,U,a_bi,s_bi,y_bi,E_bi
0.0,0.001,0.999999999,95.86762227896932,10000.0,-0.00017651436590531965
0.0,0.10124812030075189,0.999999999,74.15792265948701,10000.0,-0.05046295715601672
0.0,0.20149624060150378,0.999999999,70.50967391007605,10000.0,-0.10094938377813635
0.0,0.30174436090225565,0.999999999,53.74405263130565,10000.0,-0.15141506979822775
0.0,0.40199248120300757,0.999999999,46.167409149989695,10000.0,-0.20204168720070723
0.0,0.5022406015037595,0.999999999,40.079052191420125,10000.0,-0.25278301704892225
0.0,0.6024887218045113,0.999999999,34.51467515014934,10000.0,-0.30364365541052757
0.0,0.7027368421052632,0.999999999,29.562454253597995,10000.0,-0.3546318395588718
0.0,0.8029849624060151,0.999999999,26.191018314485945,10000.0,-0.40575440292580145
0.0,0.903233082706767,0.999999999,23.50278284139445,10000.0,-0.4570082735659339
0.0,1.0034812030075189,0.999999999,21.02888840018767,10000.0,-0.5083923450830586
0.0,1.1037293233082708,0.999999999,19.214513763015365,10000.0,-0.5599090538649311
0.0,1.2039774436090225,0.999999999,17.70422724084158,10000.0,-0.6115566495637464
0.0,1.3042255639097744,0.999999999,16.37950053209759,10000.0,-0.6633345683709984
0.0,1.4044736842105263,0.999999999,15.241960154634345,10000.0,-0.7152426628708103
0.0,1.5047218045112782,0.999999999,14.197606682489134,10000.0,-0.7672803001908902
0.0,1.6049699248120302,0.999999999,13.345351726433654,10000.0,-0.8194475366640431
0.0,1.705218045112782,0.999999999,12.588726039966438,10000.0,-0.8717434904054762
0.0,1.805466165413534,0.999999999,11.88628357741026,10000.0,-0.9241675644314403
0.0,1.905714285714286,0.999999999,11.297347126111886,10000.0,-0.9767195444239926
0.0,2.005962406015038,0.999999999,10.739916523405178,10000.0,-1.0293985538481187
0.0,2.1062105263157895,0.999999999,10.245621610457519,10000.0,-1.0822041292794937
0.0,2.2064586466165417,0.999999999,9.793997452134336,10000.0,-1.135135626316388
0.0,2.3067067669172934,0.999999999,9.37456584126856,10000.0,-1.1881923908719951
0.0,2.406954887218045,0.999999999,9.00084983679503,10000.0,-1.2413738352347277
0.0,2.507203007518797,0.999999999,8.654769342530162,10000.0,-1.29467922677776
0.0,2.607451127819549,0.999999999,8.335533907619162,10000.0,-1.348107889185749
0.0,2.707699248120301,0.999999999,8.039850114258671,10000.0,-1.4016591162703558
0.0,2.8079473684210527,0.999999999,7.760817151458811,10000.0,-1.4553321690460181
0.0,2.908195488721805,0.999999999,7.5081519625257105,10000.0,-1.509126366546843
0.0,3.0084436090225566,0.999999999,7.271649659962983,10000.0,-1.563040915418135
0.0,3.1086917293233087,0.999999999,7.049312659381816,10000.0,-1.6170750658384543
0.0,3.2089398496240604,0.999999999,6.839156082215145,10000.0,-1.6712280465784117
0.0,3.309187969924812,0.999999999,6.64512619823543,10000.0,-1.725499095401498
0.0,3.4094360902255643,0.999999999,6.461909360809072,10000.0,-1.7798874101840756
0.0,3.509684210526316,0.999999999,6.288274160456701,10000.0,-1.8343921990537402
0.0,3.609932330827068,0.999999999,6.12513115435599,10000.0,-1.8890126635263447
0.0,3.71018045112782,0.999999999,5.971893957220264,10000.0,-1.9437479970740272
0.0,3.810428571428572,0.999999999,5.827506145941774,10000.0,-1.9985973782614888
0.0,3.9106766917293236,0.999999999,5.687992498889935,10000.0,-2.0535600098885225
0.0,4.010924812030076,0.999999999,5.557753200642822,10000.0,-2.1086350515171755
0.0,4.1111729323308275,0.999999999,5.4323336765329575,10000.0,-2.163821694291504
0.0,4.21142105263158,0.999999999,5.313915018575458,10000.0,-2.2191191053531556
0.0,4.311669172932332,0.999999999,5.200982013194529,10000.0,-2.274526460881124
0.0,4.411917293233084,0.999999999,5.0934554740913445,10000.0,-2.3300429341437017
0.0,4.512165413533835,0.999999999,4.991948255945696,10000.0,-2.3856676947673328
0.0,4.612413533834587,0.999999999,4.89369488477425,10000.0,-2.4413999236649326
0.0,4.712661654135339,0.999999999,4.799665502980305,10000.0,-2.4972387896579162
0.0,4.812909774436091,0.999999999,4.709758679659239,10000.0,-2.55318346732227
0.0,4.913157894736843,0.999999999,4.624516810837393,10000.0,-2.6092331312702126
0.0,5.013406015037595,0.999999999,4.541446095575326,10000.0,-2.6653869716038403
0.0,5.113654135338347,0.999999999,4.462410502716185,10000.0,-2.721644160308408
0.0,5.213902255639098,0.999999999,4.386481952321785,10000.0,-2.7780038861693748
0.0,5.3141503759398505,0.999999999,4.313732967668254,10000.0,-2.8344653374220212
0.0,5.414398496240603,0.999999999,4.243287941719938,10000.0,-2.8910277084755283
0.0,5.514646616541355,0.999999999,4.175761649518013,10000.0,-2.9476901942998492
0.0,5.614894736842106,0.999999999,4.1106507173487525,10000.0,-3.004451996691454
0.0,5.715142857142858,0.999999999,4.047921984783766,10000.0,-3.061312321466004
