eta,U,a,s,y,E_bi
0.0,0.001,1,83.40586183757085,5000.0,0.0003833811586035594
0.0,0.203010101010101,1,10.194495915616919,5000.0,-0.04251895055320647
0.0,0.405020202020202,1,6.833452187047236,5000.0,-0.1274602307381081
0.0,0.607030303030303,1,5.589962153313113,5000.0,-0.2300686325306051
0.0,0.809040404040404,1,4.899026986213526,5000.0,-0.34301046521414014
0.0,1.011050505050505,1,4.443243617883117,5000.0,-0.4630213342128902
0.0,1.213060606060606,1,4.112928283456313,5000.0,-0.5883004504390928
0.0,1.415070707070707,1,3.8587866276270293,5000.0,-0.7177240644970284
0.0,1.617080808080808,1,3.6550091571490237,5000.0,-0.8505322275503697
0.0,1.8190909090909089,1,3.4863475318230335,5000.0,-0.9861810249091136
0.0,2.02110101010101,1,3.3437191300765607,5000.0,-1.1242643623870512
0.0,2.223111111111111,1,3.220844178925773,5000.0,-1.2644689644958105
0.0,2.425121212121212,1,3.1133945616158183,5000.0,-1.4065467667324962
0.0,2.6271313131313128,1,3.018338080607815,5000.0,-1.5502971089337292
0.0,2.829141414141414,1,2.9333423386593442,5000.0,-1.6955547699768079
0.0,3.0311515151515147,1,2.8566787878599484,5000.0,-1.8421816519273393
0.0,3.233161616161616,1,2.787092966836266,5000.0,-1.9900608340693917
0.0,3.435171717171717,1,2.7234426384064356,5000.0,-2.1390922155725383
0.0,3.637181818181818,1,2.6649241506424866,5000.0,-2.2891892571163277
0.0,3.839191919191919,1,2.6108525746210236,5000.0,-2.4402764969647923
0.0,4.041202020202021,1,2.560672982724334,5000.0,-2.5922876279527376
0.0,4.243212121212121,1,2.5138986719340415,5000.0,-2.7451639869429525
0.0,4.445222222222222,1,2.470158844103832,5000.0,-2.898853352835224
0.0,4.647232323232323,1,2.429126290180847,5000.0,-3.053308979420057
0.0,4.849242424242425,1,2.390511857116097,5000.0,-3.2084888087023256
0.0,5.051252525252526,1,2.354077989855671,5000.0,-3.364354825177164
0.0,5.253262626262626,1,2.3196168331251195,5000.0,-3.520872521127812
0.0,5.455272727272727,1,2.2869503617367686,5000.0,-3.678010450365606
0.0,5.6572828282828285,1,2.2559125352518397,5000.0,-3.835739853125518
0.0,5.85929292929293,1,2.226358496924822,5000.0,-3.994034338549311
0.0,6.06130303030303,1,2.198183752641323,5000.0,-4.152869614237917
0.0,6.263313131313131,1,2.1712719863003946,5000.0,-4.3122232548357955
0.0,6.465323232323232,1,2.145523857568967,5000.0,-4.472074502539424
0.0,6.667333333333334,1,2.1208550216951116,5000.0,-4.632404094557983
0.0,6.869343434343435,1,2.097187269854531,5000.0,-4.793194113085683
0.0,7.071353535353535,1,2.0744498790346833,5000.0,-4.95442785428257
0.0,7.273363636363636,1,2.0525811820247775,5000.0,-5.116089713388965
0.0,7.4753737373737374,1,2.031523045827716,5000.0,-5.278165083594502
0.0,7.677383838383839,1,2.0112231608947457,5000.0,-5.440640266689601
0.0,7.879393939393939,1,1.9916442511102488,5000.0,-5.603502393809835
0.0,8.08140404040404,1,1.9727192626636816,5000.0,-5.766739355189318
0.0,8.283414141414141,1,1.9544246988855296,5000.0,-5.930339736915625
0.0,8.48542424242424,1,1.9367248213986203,5000.0,-6.094292765021196
0.0,8.687434343434342,1,1.9195841375813225,5000.0,-6.258588254887041
0.0,8.889444444444443,1,1.902969925595131,5000.0,-6.423216565831595
0.0,9.091454545454544,1,1.8868574252143373,5000.0,-6.588168560170915
0.0,9.293464646464646,1,1.8712193140049975,5000.0,-6.753435566177533
0.0,9.495474747474747,1,1.8560299049080717,5000.0,-6.919009344521222
0.0,9.697484848484848,1,1.8412677418743528,5000.0,-7.084882057804438
0.0,9.89949494949495,1,1.8269113192940363,5000.0,-7.25104624281131
0.0,10.10150505050505,1,1.8129412377104162,5000.0,-7.417494785219766
0.0,10.30351515151515,1,1.7993396057843205,5000.0,-7.584220896487547
0.0,10.505525252525251,1,1.786089159170143,5000.0,-7.751218092692232
0.0,10.707535353535352,1,1.7731733779532548,5000.0,-7.918480175131212
0.0,10.909545454545453,1,1.7605786978417244,5000.0,-8.086001212507277
0.0,11.111555555555555,1,1.748289862546745,5000.0,-8.253775524516096
0.0,11.313565656565656,1,1.7362943481538635,5000.0,-8.421797666749864
0.0,11.515575757575757,1,1.724580805129442,5000.0,-8.590062416746411
0.0,11.717585858585858,1,1.7131361723668856,5000.0,-8.758564761088714
0.0,11.91959595959596,1,1.7019500769922662,5000.0,-8.92729988348837
0.0,12.121606060606059,1,1.6910123083354387,5000.0,-9.096263153718466
0.0,12.32361616161616,1,1.6803134015805643,5000.0,-9.265450117352083
0.0,12.525626262626261,1,1.6698439009359014,5000.0,-9.434856486223351
0.0,12.727636363636362,1,1.659595210909639,5000.0,-9.604478129556096
0.0,12.929646464646463,1,1.649558885634463,5000.0,-9.774311065696756
0.0,13.131656565656565,1,1.6397274507955715,5000.0,-9.944351454407204
0.0,13.333666666666666,1,1.6300938557033766,5000.0,-10.114595589667408
0.0,13.535676767676767,1,1.6206501372922313,5000.0,-10.285039892947493
0.0,13.737686868686868,1,1.6113912616045354,5000.0,-10.455680906919781
0.0,13.939696969696968,1,1.6023090704355545,5000.0,-10.6265152895584
0.0,14.141707070707069,1,1.5933986227416064,5000.0,-10.79753980862027
0.0,14.34371717171717,1,1.58465381171708,5000.0,-10.968751336457148
0.0,14.545727272727271,1,1.5760697824747654,5000.0,-11.140146845147896
0.0,14.747737373737372,1,1.5676409504273323,5000.0,-11.311723401919176
0.0,14.949747474747474,1,1.5593623060536226,5000.0,-11.483478164839727
0.0,15.151757575757575,1,1.551228689332338,5000.0,-11.655408378763727
0.0,15.353767676767676,1,1.5432370420904316,5000.0,-11.827511371509
0.0,15.555777777777777,1,1.5353817212088654,5000.0,-11.999784550249373
0.0,15.757787878787877,1,1.5276586981576807,5000.0,-12.172225398113214
0.0,15.959797979797978,1,1.520064492322357,5000.0,-12.344831470966268
0.0,16.161808080808083,1,1.5125951338084864,5000.0,-12.517600394372772
0.0,16.363818181818182,1,1.505246819645468,5000.0,-12.690529860718984
0.0,16.565828282828285,1,1.4980169099268834,5000.0,-12.863617626490072
0.0,16.767838383838384,1,1.4909004749570256,5000.0,-13.036861509692038
0.0,16.969848484848484,1,1.4838955602560993,5000.0,-13.21025938740302
0.0,17.171858585858587,1,1.4769990121686691,5000.0,-13.383809193456658
0.0,17.373868686868686,1,1.4702081895044197,5000.0,-13.55750891623787
0.0,17.57587878787879,1,1.4635195776804049,5000.0,-13.731356596590368
0.0,17.77788888888889,1,1.456929838323287,5000.0,-13.905350325830549
0.0,17.97989898989899,1,1.4504382750758142,5000.0,-14.07948824385481
0.0,18.18190909090909,1,1.4440407227171823,5000.0,-14.25376853734104
0.0,18.383919191919194,1,1.4377345593998814,5000.0,-14.42818943803544
0.0,18.585929292929293,1,1.4315215133350792,5000.0,-14.602749221113049
0.0,18.787939393939393,1,1.4253930895680598,5000.0,-14.77744620365611
0.0,18.989949494949496,1,1.4193496870177942,5000.0,-14.952278743117812
0.0,19.191959595959595,1,1.413390016815107,5000.0,-15.127245235938025
0.0,19.393969696969698,1,1.407511508182678,5000.0,-15.30234411619567
0.0,19.595979797979798,1,1.40171219130451,5000.0,-15.477573854307368
0.0,19.7979898989899,1,1.3959896949156259,5000.0,-15.652932955797317
0.0,20.0,1,1.3903433783766324,5000.0,-15.82841996011877
