eta,U,a,s,y,E_inf
0.0,2.0,1e-05,5.568654898940503,10.0,-0.16124076972737508
0.0,2.0,0.01011090909090909,5.543636990138149,10.0,-0.16270013496919267
0.0,2.0,0.02021181818181818,5.518571409581524,10.0,-0.16418430382724983
0.0,2.0,0.030312727272727272,5.493452039675801,10.0,-0.16569446383348438
0.0,2.0,0.04041363636363637,5.468268331005928,10.0,-0.16723223230803247
0.0,2.0,0.05051454545454546,5.442995272532397,10.0,-0.16880021793724131
0.0,2.0,0.06061545454545455,5.4175752979912035,10.0,-0.1704039273315911
0.0,2.0,0.07071636363636363,5.391838899894147,10.0,-0.17205768204398902
0.0,2.0,0.08081727272727272,5.365490654727591,10.0,-0.17378753497089433
0.0,2.0,0.09091818181818181,5.338168249441953,10.0,-0.17563684851354106
0.0,2.0,0.1010190909090909,5.309997201711959,10.0,-0.177589551825922
0.0,2.0,0.11112,5.280419084176782,10.0,-0.17977795504929214
0.0,2.0,0.12122090909090909,5.2597237265338,10.0,-0.18122928153562223
0.0,2.0,0.1313218181818182,5.222568789041172,10.0,-0.18414881937993718
0.0,2.0,0.14142272727272728,5.18652122608711,10.0,-0.18728136740629497
0.0,2.0,0.15152363636363636,5.189426484178801,10.0,-0.18706825126317628
0.0,2.0,0.16162454545454547,5.2014117178927135,10.0,-0.18591452493902666
0.0,2.0,0.17172545454545457,5.169788867051272,10.0,-0.18848369438600565
0.0,2.0,0.18182636363636365,5.096754916505649,10.0,-0.19499493411694283
0.0,2.0,0.19192727272727272,5.030963840669031,10.0,-0.201397755117164
0.0,2.0,0.20202818181818183,5.012456777766096,10.0,-0.20359622558617146
0.0,2.0,0.21212909090909093,5.0490280763638795,10.0,-0.2005323601808564
0.0,2.0,0.22223,5.121817739580313,10.0,-0.19420077875506464
0.0,2.0,0.2323309090909091,5.197942510825251,10.0,-0.18781009346106667
0.0,2.0,0.2424318181818182,5.2440027076264215,10.0,-0.1840793784389183
0.0,2.0,0.2525327272727273,5.239055366102827,10.0,-0.18448530168938185
0.0,2.0,0.2626336363636364,5.181919791057156,10.0,-0.18920128320043217
0.0,2.0,0.27273454545454545,5.087699599413084,10.0,-0.1974062506861778
0.0,2.0,0.28283545454545456,4.976941328394943,10.0,-0.20779838570897358
0.0,2.0,0.29293636363636366,4.866969113358666,10.0,-0.21905158515463996
0.0,2.0,0.3030372727272727,4.769637753333119,10.0,-0.22998066139155743
0.0,2.0,0.3131381818181818,4.692637117446558,10.0,-0.23948911876262205
0.0,2.0,0.3232390909090909,4.6403939108887995,10.0,-0.24657686977958287
0.0,2.0,0.33334,4.614604321502759,10.0,-0.2505439300250088
0.0,2.0,0.34344090909090913,4.613854035980627,10.0,-0.2512498010176987
0.0,2.0,0.3535418181818182,4.634071693458753,10.0,-0.24918773054332571
0.0,2.0,0.3636427272727273,4.669500804684041,10.0,-0.24527773938564934
0.0,2.0,0.3737436363636364,4.713920844102508,10.0,-0.24050000391915394
0.0,2.0,0.38384454545454544,4.76277923992316,10.0,-0.235580267116391
0.0,2.0,0.39394545454545454,4.813169841352867,10.0,-0.23086030610844008
0.0,2.0,0.40404636363636365,4.864479842495882,10.0,-0.22634845298009224
0.0,2.0,0.41414727272727275,4.917571597712788,10.0,-0.22186518377127584
0.0,2.0,0.42424818181818186,4.973370411075965,10.0,-0.21720110139232082
0.0,2.0,0.4343490909090909,5.033125874846701,10.0,-0.2122449200259407
0.0,2.0,0.44445,5.095523313794371,10.0,-0.20706969310608353
0.0,2.0,0.4545509090909091,5.157333327573333,10.0,-0.20197406792290434
0.0,2.0,0.46465181818181817,5.212946943072831,10.0,-0.19747160044114775
0.0,2.0,0.47475272727272727,5.254955922812857,10.0,-0.19422256554319725
0.0,2.0,0.4848536363636364,5.27571411578952,10.0,-0.19291464274349457
0.0,2.0,0.4949545454545455,5.269618734493113,10.0,-0.19411768331707135
0.0,2.0,0.5050554545454545,5.235222214060363,10.0,-0.19815142162624602
0.0,2.0,0.5151563636363636,5.175953609236846,10.0,-0.20500581979064406
0.0,2.0,0.5252572727272727,5.098943221523796,10.0,-0.21434078190958056
0.0,2.0,0.5353581818181817,5.0126713499619475,10.0,-0.2255668610621271
