eta,U,a_opt,s_opt,y_opt,E_opt,a_inf,s_inf,y_inf,E_inf,E_binding
0.0,0.001,0.9819929430761605,10.0,1.5953019977906167,0.0270971200891021,1.0,85.25241353979507,5000.000629640493,0.0004260055239501219,62.60743832109256
0.0,0.12756962025316457,0.9805541521897679,10.0,0.9290609284173678,0.011251782472047599,0.9988294575140271,37.0218295903681,5000.0,-0.001696003649602614,7.634291426603931
0.0,0.25413924050632913,0.9809038252441811,10.0,1e-15,-0.006528915270971679,0.9946990395623563,21.067360550725237,5000.0,-0.0068203692174023485,0.042732869312561164
0.0,0.38070886075949373,0.980912741174868,10.0,1e-15,-0.024721504993815993,0.9885304759314156,14.168092467262701,5000.014352327104,-0.015224097260575886,-0.6238404531107709
0.0,0.5072784810126583,0.9745679035687524,8.594011990438233,1e-15,-0.04380153051360955,0.982282372271036,10.742276094113306,5000.0,-0.026838451649935525,-0.632043870672203
0.0,0.6338481012658228,0.9632413136152953,7.054583685027562,1e-15,-0.06708159226113741,0.9766705672140318,8.702017051729015,5000.006748345701,-0.04154354427256212,-0.6147296393640196
0.0,0.7604177215189875,0.9511661985356252,6.03892535564748,1e-15,-0.09454139766167749,0.9552357305506599,7.3435165397695386,5000.0,-0.05919879646273366,-0.5970155359694248
0.0,0.886987341772152,0.9387724392140987,5.31845922530562,1e-15,-0.12582647744943,0.9524530196903382,6.386528000165446,5000.0,-0.07969983406780047,-0.5787545723418911
0.0,1.0135569620253164,0.9262643582478526,4.780318274883073,2.1383601669217407e-06,-0.16062026201318033,0.9377895184721441,5.666744195333603,5000.0,-0.10291011119396051,-0.5607821248045319
0.0,1.140126582278481,0.9137609147645233,4.362053406511355,1e-15,-0.1986444904311157,0.9361882881982964,5.11539067579304,5000.021864373107,-0.12868605684613035,-0.5436364692457281
0.0,1.2666962025316455,0.901420550270589,4.02689009797881,7.616201095122033e-06,-0.2396562116622285,0.9167738047179476,4.6663138642155015,5000.000014699568,-0.15695157230973633,-0.5269436816426316
0.0,1.39326582278481,0.8892504590659429,3.7517240658546562,1e-15,-0.2834436156031457,0.896256540816835,4.299144951443179,5000.00000344934,-0.18741016960933604,-0.5124238785653691
0.0,1.5198354430379748,0.8772868546449414,3.5212054420457624,1.745990299904778e-06,-0.3298218312756294,0.9150350489751472,4.012272424278251,5000.000184902884,-0.22034691770647025,-0.4968297932580727
0.0,1.6464050632911393,0.8655477079684477,3.3247135461745625,1e-15,-0.37862900292788404,0.8955228468822878,3.7512658022461984,5000.000503578034,-0.25526384157744336,-0.48328490470129304
0.0,1.7729746835443039,0.854028052271809,3.1548557932302828,7.715914766222189e-07,-0.42972296524444104,0.8734183706146563,3.5238097827153156,5000.003856106898,-0.2923475897663538,-0.4699042519484379
0.0,1.8995443037974684,0.8427348153885702,3.006382374792273,3.528713675300015e-06,-0.4829783258456035,0.8655085343965515,3.3335184509767197,5000.0,-0.33141247259925355,-0.45733297862215505
0.0,2.026113924050633,0.8316571316499651,2.875134449435973,1e-15,-0.5382840888342754,0.8726366567510221,3.1756432549318636,5000.000047961452,-0.37236687789613443,-0.445574568488932
0.0,2.1526835443037977,0.8207853667678962,2.7580777825358975,3.101065669075202e-06,-0.5955416348010099,0.8099207516031456,2.9955154652427414,5000.0,-0.4147973392794503,-0.43574121240876995
0.0,2.279253164556962,0.8101044052198443,2.6528370026612764,1e-15,-0.6546630158816824,0.8456599081629376,2.8883796846008014,5000.003862444986,-0.4599819448936563,-0.4232363316630496
0.0,2.405822784810127,0.7996111447859844,2.5575429020433122,8.54307410197679e-07,-0.715569577789558,0.8343705912791475,2.7676803079870806,5000.000020674528,-0.5062900513110448,-0.4133589548848158
0.0,2.532392405063291,0.7892913528367757,2.4707181297370684,5.422525794648436e-07,-0.7781907526656527,0.7966004665251553,2.6412320838316057,5000.000638615562,-0.5545746490783872,-0.40322092608971427
0.0,2.658962025316456,0.7791316076234505,2.391179781925652,1e-15,-0.842463080453041,0.7915582627594361,2.544368773715999,5000.000027426359,-0.6046549267018568,-0.39329565219674884
0.0,2.78553164556962,0.7691214824219337,2.3178615305524506,1e-15,-0.9083293607971763,0.7963806963195194,2.462429666000685,5000.000123041387,-0.6561183477061352,-0.3843986591333708
0.0,2.912101265822785,0.7592595983085022,2.250048503310837,4.124001558574382e-07,-0.9757379375869948,0.7791766499529901,2.3738446390137735,5000.000336145911,-0.7093547674221579,-0.37552883606166626
0.0,3.0386708860759497,0.7495262180324019,2.1870294522201377,1e-15,-1.044642100069416,0.7352425677231311,2.276327361262699,5000.0,-0.7631600697167495,-0.3688374713539976
0.0,3.165240506329114,0.7399147421572319,2.128242505781124,4.7014948525428755e-06,-1.114999541892438,0.7524765200970216,2.219526159380797,5000.0,-0.8206009352464932,-0.3587597746979328
0.0,3.291810126582279,0.7304183764084721,2.0732059074931604,3.3266645684712653e-07,-1.1867719404068096,0.7585105207957693,2.162182011515908,5000.000021576829,-0.878372296576597,-0.3511035639809925
0.0,3.418379746835443,0.7210280332906692,2.021513205845852,1e-15,-1.2599245510979002,0.7505599685327636,2.100538005796151,5000.000022890266,-0.9376824165477552,-0.34365807533912907
0.0,3.544949367088608,0.7117354515045976,1.9728232350848298,1e-15,-1.3344258680599872,0.7262683907116085,2.0326894676053726,5000.000072367266,-0.9986213668713647,-0.3362680915196945
0.0,3.671518987341772,0.7025308244984382,1.926797420503754,1e-15,-1.410247354734277,0.6879569919916273,1.959445182060465,5000.0,-1.0612607865010886,-0.3288414805033697
0.0,3.798088607594937,0.6934152641461374,1.8832000889678795,1e-15,-1.4873631752975658,0.6879108125962485,1.9129479090748287,5000.0,-1.1254369167526759,-0.32158733480077073
0.0,3.9246582278481013,0.684378114800103,1.8418333962271602,1e-15,-1.5657499777268067,0.682939108301372,1.8666100053917924,5000.000001742803,-1.1906059852788762,-0.3150866005096223
0.0,4.0512278481012665,0.6754111645918566,1.8024469396803777,1e-15,-1.6453866984730015,0.6456617406063732,1.803909344762737,5000.0,-1.2559159707025063,-0.31010890605415403
0.0,4.177797468354431,0.6665103050374869,1.76488068568524,1e-15,-1.7262543931659469,0.6603375891302464,1.7735007642984872,5000.000003275351,-1.3255091011168174,-0.30233311239544003
0.0,4.304367088607596,0.6576702246476204,1.7289822935219565,1e-15,-1.808336085762587,0.6846932840455302,1.7521093720658931,5000.000148962491,-1.3945077135018895,-0.29675588614815984
0.0,4.43093670886076,0.6488912198985635,1.694607024926233,1.1043431388078845e-09,-1.8916166360505744,0.660262573264349,1.7026594663213717,5000.000036269233,-1.4660195504002878,-0.2903079195185903
0.0,4.557506329113925,0.6401545094318531,1.661631652825727,1e-15,-1.9760826222778323,0.624809297090566,1.6483409842147259,5000.000030287668,-1.5390161598533783,-0.28399082077610754
0.0,4.684075949367089,0.6314722282499218,1.6299497544717851,1e-15,-2.0617222369455943,0.6001154285932998,1.602680136524871,5000.000009580414,-1.6125052316934347,-0.2785832854510475
0.0,4.810645569620254,0.6228319782171992,1.5994612920526607,1e-15,-2.1485251943613974,0.6245807762250617,1.5877450943809395,5000.000007941282,-1.6881663774383067,-0.2726975392210205
0.0,4.9372151898734185,0.6142311861552817,1.57007743725592,1e-15,-2.2364826481748956,0.5973638769821731,1.5433495550665006,5000.000581376569,-1.7650550016875513,-0.2670894935492759
0.0,5.063784810126583,0.6056685958594418,1.5417165142694889,1.6804618358614012e-06,-2.3255871047307246,0.5717470938887783,1.5018189057531424,5000.0,-1.8419626985772155,-0.26255928338129453
0.0,5.190354430379748,0.5971391960629246,1.5143069879746456,1e-15,-2.4158324220244207,0.4390045807685643,1.4089651425953182,5000.000017225153,-1.8896661153095042,-0.2784440608063382
0.0,5.316924050632912,0.5886401401862398,1.4877835738387986,1.0795920509867706e-05,-2.507213606381926,0.6134394636494652,1.4766995353484194,5000.00769439754,-2.0013224777365246,-0.25277841740805274
0.0,5.443493670886077,0.5801715806314633,1.4620854268373078,1e-15,-2.599726959615275,0.50257132816962,1.389532495205885,5000.0,-2.078967082629164,-0.2504897173877002
0.0,5.570063291139241,0.5717286791340935,1.4371595881085863,1e-15,-2.693369823924078,0.5819876580638471,1.412302056967503,5000.000087457588,-2.1673180323587404,-0.24272016552772538
0.0,5.696632911392406,0.5633113226763126,1.412956142594087,1e-15,-2.7881406922057828,0.4907717263735966,1.3389197615951025,5000.0,-2.247478859158742,-0.24056370134196361
0.0,5.8232025316455704,0.5549166776094763,1.3894306049718823,1e-15,-2.8840390965262954,0.4983782262420953,1.3220444063185548,5000.0,-2.3366977806325337,-0.23423710178968835
0.0,5.949772151898735,0.5465483831406999,1.3665410806183453,1.6729715723948247e-08,-2.9810655844953136,0.5470414857011836,1.3296649763858037,5000.0000495827535,-2.4274084668959093,-0.2280856827970955
0.0,6.0763417721519,0.5381955225643409,1.34425058600444,1.5482763284510871e-06,-3.07922166725835,0.5272008502279423,1.29922830526478,5000.000039814465,-2.5163505074372736,-0.22368551525610836
0.0,6.202911392405064,0.5298663211635924,1.3225272704811104,5.915571806226893e-06,-3.1785098526894604,0.5024336323753351,1.2667055681339459,5000.0000410770535,-2.6067708644226,-0.21932844043563468
0.0,6.329481012658229,0.5215567505209309,1.3013370700532976,1e-15,-3.278933530851914,0.41148096516271887,1.2012769271140882,5000.0,-2.6798072395721637,-0.22357066673773215
0.0,6.456050632911393,0.5132680961900972,1.2806504809065502,1e-15,-3.3804969395378954,0.5023870134494219,1.232076885753016,5000.000056805623,-2.7915979952249828,-0.21095406477588177
0.0,6.582620253164558,0.5050018992704988,1.2604445259773436,1e-15,-3.483205220665768,0.4270218210513135,1.1744950468664745,5000.000001543321,-2.8784615878552082,-0.21009265343754854
0.0,6.709189873417722,0.4967595665460859,1.2406937669443479,1e-15,-3.5870643204293273,0.4388400162586103,1.16478815536376,5000.000008411616,-2.9775618982661207,-0.20469848922977188
0.0,6.835759493670887,0.4885360753799926,1.2213788792859053,1.0217812311501593e-05,-3.6920809575668354,0.4535093567956114,1.1574435847123123,5000.000004872336,-3.0766811169974937,-0.20002067720619193
0.0,6.962329113924051,0.480339556875248,1.2024760740930451,1e-15,-3.7982626796593495,0.45789287104323645,1.145213338223784,5000.000013026138,-3.1748382407342706,-0.1963641583140609
0.0,7.088898734177216,0.4721703755016616,1.1839701995917506,1e-15,-3.905617652693416,0.4775015245213473,1.141689412676983,5000.000095040511,-3.275545027445636,-0.1923565757663019
0.0,7.215468354430381,0.4640288896191152,1.1658425751375823,1e-15,-4.0141548037530494,0.41557662214128244,1.0935771141432058,5000.0,-3.3760392634340697,-0.18901306842915558
0.0,7.342037974683545,0.4559257963227921,1.1480801640224976,8.088141310732988e-08,-4.1238836955892815,0.47731834776325693,1.114595112946671,5000.000039257465,-3.4766981048924603,-0.18614949333279532
0.0,7.46860759493671,0.4478443262866899,1.130671467400477,1e-15,-4.234814507583447,0.42678805548878074,1.0729268771232994,5000.000014198568,-3.586302247777986,-0.18083034139335827
0.0,7.595177215189874,0.43836076676504904,1.110889602395222,0.15715302059380074,-4.346995372664587,0.42675722952166484,1.0603275514498045,5000.00002047687,-3.6917678772451956,-0.17748339473291136
0.0,7.721746835443039,0.428089525072775,1.0900117028830085,0.2506278877883183,-4.460572147172045,0.40081303037634364,1.034090340710173,5000.00002302834,-3.797560480948412,-0.17458883658333493
0.0,7.848316455696203,0.41785481107832473,1.0695191997957074,0.3183031505462297,-4.575583436721432,0.44789271118568313,1.0486592449934367,5000.000046913648,-3.899342073138976,-0.17342447800125443
0.0,7.974886075949368,0.4076646695555517,1.0494114795488678,0.37433268290428046,-4.692057828631429,0.3832775639510331,1.0009810609477916,5000.000003648327,-4.017866692016799,-0.1677982840879708
0.0,8.101455696202532,0.3975493730249131,1.0297143842092884,0.4231411807567309,-4.810023691797116,0.42663538556001285,1.0137887504813463,5000.0000249398645,-4.12388025390078,-0.16638296838209893
0.0,8.228025316455696,0.387509407654092,1.010418086183712,0.4670378229274828,-4.929508910348881,0.4242084589158651,1.0017405532989139,5000.000035087018,-4.234404765481174,-0.16415628249197833
0.0,8.35459493670886,0.3775855417580052,0.9915538518067213,0.507099259299301,-5.050540625651028,0.4386256054471426,0.9997283157254899,5000.000060106476,-4.339467602477342,-0.16386181170421557
0.0,8.481164556962025,0.36779804961626145,0.9731317184682724,0.5440711149438554,-5.173145006249152,0.4240745205650765,0.9811040704906338,5000.000029624495,-4.458587962941164,-0.1602653237408872
0.0,8.60773417721519,0.3581682102056532,0.9551656449735926,0.5784366551738322,-5.2973470447129145,0.42650322616781516,0.9725861469041525,5000.000146910344,-4.571725158476769,-0.15871949014492193
0.0,8.734303797468355,0.3487076882178123,0.9376492509931353,0.6106091841340625,-5.423170393193644,0.3400999429064491,0.9145997268537925,5000.000000004411,-4.715146653932991,-0.1501594311324499
0.0,8.86087341772152,0.33943518067978723,0.9205984407794178,0.6408151335285905,-5.550637238037596,0.2965824384475725,0.8827238800338628,5000.000068819492,-4.832891523108535,-0.1485126888317584
0.0,8.987443037974684,0.3303694946140598,0.9040179051388988,0.669250334154283,-5.6797682173852495,0.3400587121647781,0.8957304759701575,5000.000082978086,-4.957933206743788,-0.14559191916091577
0.0,9.114012658227848,0.32152366302875224,0.8879090871588861,0.6960643563749697,-5.810582378106511,0.3540779426121701,0.8945408113542805,5000.00012103875,-5.074710665899873,-0.14500761928190634
0.0,9.240582278481012,0.3129058055926404,0.8722758737217841,0.7214133218540433,-5.943097169775255,0.29087044678470125,0.8521679961466166,5000.000037236107,-5.209922249490036,-0.1407266529470731
0.0,9.367151898734177,0.3045215678853302,0.8571032927731412,0.7454017229338046,-6.077328469743945,0.332832164032027,0.865468723123061,5000.000080246314,-5.332004587712373,-0.13978305340343727
0.0,9.493721518987343,0.29637580338564484,0.8423943320851549,0.768069687161031,-6.213290635294671,0.317068745577,0.8482341565402463,5000.00009716342,-5.4689303184808225,-0.1361071129940122
0.0,9.620291139240507,0.2884732742708463,0.8281282889672096,0.7896608120048207,-6.350996578865264,0.3170497990506006,0.8400446239732935,5000.00013528698,-5.597971976988766,-0.13451739397265816
0.0,9.746860759493671,0.28081462029028115,0.814309862454303,0.810104941204527,-6.490457847980069,0.2908086184311231,0.81850996803631,5000.000118974067,-5.7310151082033185,-0.13251452411802092
0.0,9.873430379746836,0.27339625142394003,0.8009203033464883,0.8295320164303847,-6.6316847282141556,0.37719905765556355,0.8585762252579178,5000.000086073205,-5.809435195181093,-0.14153691458941062
0.0,10.0,0.26621930571716523,0.7879507910203086,0.8479982511682338,-6.774686340281326,0.25661865509481924,0.7856278435728307,5000.000071427369,-6.002732019924216,-0.12860049687289815
0.00202020202020202,0.001,0.9819961684280717,10.0,1.595317340623021,0.027097482270301516,1.0,86.44204079182896,5000.000074102785,0.0004145140425327376,64.37168705970052
0.00202020202020202,0.12756962025316457,0.9805505718238603,10.0,0.9318091451870654,0.011305172850026565,0.9998534891702224,37.05962780188711,5000.0,-0.0016886646356853853,7.694741283214052
0.00202020202020202,0.25413924050632913,0.9808966785370828,10.0,1e-15,-0.006414155078151275,0.9951696875863887,21.11088594312635,5000.019268717806,-0.006792944746711861,0.05576221840225334
0.00202020202020202,0.38070886075949373,0.9809108722710953,10.0,0.00018982213094912234,-0.024549590782920672,0.9887101229519619,14.177784377806052,5000.0,-0.015163190521638411,-0.6190254120917056
0.00202020202020202,0.5072784810126583,0.9747094384140949,8.618872749826114,1e-15,-0.043536209416412765,0.9823021638135863,10.760347062140056,5000.004390581604,-0.026731802890674467,-0.6286297484110436
0.00202020202020202,0.6338481012658228,0.9633866148846041,7.076338352937289,1e-15,-0.06668001223105073,0.9767115955774258,8.717218089602826,5000.000329339683,-0.04137969683462103,-0.6114185779935863
0.00202020202020202,0.7604177215189875,0.9514060403923292,6.055448227078275,1e-15,-0.09398198268908826,0.9718240622342432,7.365189899581775,5000.004040450438,-0.05897398267381188,-0.5936177010277128
0.00202020202020202,0.886987341772152,0.9390727093582656,5.332556779083896,1e-15,-0.12509013493475457,0.9524950359179692,6.419620865147357,5000.000727864728,-0.07938954436960062,-0.5756499917973248
0.00202020202020202,1.0135569620253164,0.9265822732685561,4.792831087695706,1.736177024729536e-06,-0.15968992593049341,0.9377933798071073,5.679066311854228,5000.0002402700175,-0.10251372534160244,-0.5577419062507482
0.00202020202020202,1.140126582278481,0.9141491478580701,4.373291715870296,1e-15,-0.19750471939312883,0.9182490121630664,5.114665735135207,5000.0,-0.128193783042624,-0.5406731489268803
0.00202020202020202,1.2666962025316455,0.9018463821331467,4.037165555133927,1e-15,-0.23829287271007582,0.9167953214934079,4.67428978706956,5000.000099807853,-0.156356528631819,-0.5240353235981381
0.00202020202020202,1.39326582278481,0.8897265858786961,3.7612540528499316,1e-15,-0.28184365015509183,0.9157651933489296,4.316007291912751,5000.000171154006,-0.18683964377906387,-0.5084788455728877
0.00202020202020202,1.5198354430379748,0.877777313082438,3.5299494590822054,1e-15,-0.32797304093805696,0.9035989612710658,4.0128451459944285,5000.001254376287,-0.2194493132176739,-0.4945275340767975
