eta,U,a,s,y,E,ainf,sinf,yinf,Einf,dE
0.0002,1e-05,1.0,7.38905609893065,1.599353100752805,0.04983666350884387,1.0,7.38905609893065,2.0,0.054936949339035826,-0.09283889789213158
0.0002,1.2288774330579116e-05,1.0,7.38905609893065,1.5993531040815558,0.04983437527269696,1.0,7.38905609893065,2.0,0.05493466804277946,-0.09284287958399473
0.0002,1.510139745479005e-05,1.0,7.38905609893065,1.5993531292233734,0.04983156331100172,1.0,7.38905609893065,2.0,0.05493186460929189,-0.09284777304696554
0.0002,1.8557766539829677e-05,1.0,7.38905609893065,1.5993530596161716,0.04982810775441097,1.0,7.38905609893065,2.0,0.05492841953314394,-0.09285378720309675
0.0002,2.2805220508753942e-05,1.0,7.38905609893065,1.599353106444674,0.049823861299320475,1.0,7.38905609893065,2.0,0.05492418595681056,-0.09286117888940054
0.0002,2.802482083911719e-05,1.0,7.38905609893065,1.599353183651612,0.04981864292655203,1.0,7.38905609893065,2.0,0.05491898341039334,-0.09287026392546219
0.0002,3.44390698946822e-05,1.0,7.38905609893065,1.599353195544471,0.04981223018575469,1.0,7.38905609893065,2.0,0.05491259011850678,-0.0928814306836558
0.0002,4.2321395809079146e-05,1.0,7.38905609893065,1.5993532792493363,0.04980434971352533,1.0,7.38905609893065,2.0,0.054904733546384435,-0.09289515681831365
0.0002,5.200780824528904e-05,1.0,7.38905609893065,1.5993533340252166,0.049794665578887294,1.0,7.38905609893065,2.0,0.054895078782202095,-0.09291202993898316
0.0002,6.391122189543889e-05,1.0,7.38905609893065,1.5993533446935555,0.04978276496419105,1.0,7.38905609893065,2.0,0.05488321426037692,-0.09293277306952769
0.0002,7.85390583064617e-05,1.0,7.38905609893065,1.5993533396943986,0.04976814056729349,1.0,7.38905609893065,2.0,0.054868634217251945,-0.09295827612116399
0.0002,9.65148763664303e-05,1.0,7.38905609893065,1.5993535540502692,0.04975016897667769,1.0,7.38905609893065,2.0,0.054850717131282645,-0.09298963480089115
