s,y,I_fin,yinf,I_inf
1.0,1.0,1.26315176132974,500.0,1.00109627076522
1.3877551020408163,1.0,1.18046256885013,500.0,1.00037014159554
1.7755102040816326,1.0,1.12286782581985,500.0,1.00017169425789
2.163265306122449,1.0,1.08345048060401,500.0,1.00010231144946
2.5510204081632653,1.0,1.05663998616457,500.0,1.00006714369701
2.9387755102040813,1.0,1.03843656314556,500.0,1.00004521553794
3.326530612244898,1.0,1.0260825055481,500.0,1.00003063110548
3.7142857142857144,1.0,1.01769906851228,500.0,1.00002077815633
4.1020408163265305,1.0,1.01201021338043,500.0,1.00001409853189
4.489795918367347,1.0,1.00814987350012,500.0,1.00000956680514
4.877551020408163,1.0,1.00553032910214,500.0,1.00000649180593
5.26530612244898,1.0,1.00375276247428,500.0,1.00000440519674
5.653061224489796,1.0,1.0025465439535,500.0,1.00000298927135
6.040816326530612,1.0,1.00172802999029,500.0,1.00000202845522
6.428571428571429,1.0,1.00117260400816,500.0,1.0000013764661
6.816326530612245,1.0,1.0007957038753,500.0,1.00000093404031
7.204081632653061,1.0,1.00053994754645,500.0,1.00000063381968
7.591836734693877,1.0,1.00036639679907,500.0,1.00000043009641
7.979591836734693,1.0,1.0002486289923,500.0,1.00000029185418
8.36734693877551,1.0,1.00016871429,500.0,1.00000019804597
8.755102040816325,1.0,1.00011448589075,500.0,1.00000013438974
9.142857142857142,1.0,1.00007768766463,500.0,1.00000009119399
9.53061224489796,1.0,1.00005271717936,500.0,1.00000006188228
9.918367346938775,1.0,1.00003577274478,500.0,1.00000004199199
10.306122448979592,1.0,1.00002427461568,500.0,1.00000002849486
10.693877551020408,1.0,1.00001647223243,500.0,1.000000019336
11.081632653061224,1.0,1.00001117770286,500.0,1.00000001312099
11.46938775510204,1.0,1.0000075849489,500.0,1.00000000890362
11.857142857142858,1.0,1.00000514698329,500.0,1.00000000604181
12.244897959183673,1.0,1.00000349263223,500.0,1.00000000409984
12.63265306122449,1.0,1.00000237002516,500.0,1.00000000278206
13.020408163265305,1.0,1.00000160824813,500.0,1.00000000188785
13.408163265306122,1.0,1.00000109132261,500.0,1.00000000128105
13.795918367346939,1.0,1.00000074054807,500.0,1.0000000008693
14.183673469387754,1.0,1.00000050252,500.0,1.00000000058989
14.571428571428571,1.0,1.00000034099927,500.0,1.00000000040028
14.959183673469386,1.0,1.00000023139478,500.0,1.00000000027162
15.346938775510203,1.0,1.00000015701952,500.0,1.00000000018432
15.73469387755102,1.0,1.00000010655007,500.0,1.00000000012507
16.122448979591837,1.0,1.00000007230259,500.0,1.00000000008487
16.51020408163265,1.0,1.00000004906298,500.0,1.00000000005759
16.89795918367347,1.0,1.00000003329309,500.0,1.00000000003908
17.285714285714285,1.0,1.00000002259197,500.0,1.00000000002652
17.6734693877551,1.0,1.00000001533043,500.0,1.000000000018
18.06122448979592,1.0,1.0000000104029,500.0,1.00000000001221
18.448979591836736,1.0,1.00000000705918,500.0,1.00000000000829
18.83673469387755,1.0,1.00000000479021,500.0,1.00000000000562
19.224489795918366,1.0,1.00000000325053,500.0,1.00000000000382
19.612244897959183,1.0,1.00000000220574,500.0,1.00000000000259
20.0,1.0,1.00000000149677,500.0,1.00000000000176
