eta,U,a,s,y,E,ainf,sinf,yinf,Einf,dE
0.0002,1e-05,1.0,22026.465794806718,1.0,-9.992205557854172e-06,1.0,22026.465794806718,1000.0,-9.99181827379308e-06,-3.876011857694147e-05
0.0002,1.2288774330579116e-05,1.0,22026.465794806718,1.0,-1.2280522118475661e-05,1.0,22026.465794806718,1000.0,-1.2280135246530698e-05,-3.150388307590715e-05
0.0002,1.510139745479005e-05,1.0,22026.465794806718,1.0,-1.5092582699516141e-05,1.0,22026.465794806718,1000.0,-1.5092196334011383e-05,-2.5600349757422625e-05
0.0002,1.8557766539829677e-05,1.0,22026.465794806718,1.0,-1.854826048794847e-05,1.0,22026.465794806718,1000.0,-1.8547874744796655e-05,-2.0797161783992657e-05
0.0002,2.2805220508753942e-05,1.0,22026.465794806718,1.0,-2.2794864938072488e-05,1.0,22026.465794806718,1000.0,-2.2794479959716155e-05,-1.6889104599582997e-05
0.0002,2.802482083911719e-05,1.0,22026.465794806718,1.0,-2.8013421313953144e-05,1.0,22026.465794806718,1000.0,-2.8013037275436726e-05,-1.3709278028016012e-05
0.0002,3.44390698946822e-05,1.0,22026.465794806718,1.0,-3.442638747741337e-05,1.0,22026.465794806718,1000.0,-3.4426004593845004e-05,-1.1121928695486079e-05
0.0002,4.2321395809079146e-05,1.0,22026.465794806718,1.0,-4.230713687465369e-05,1.0,22026.465794806718,1000.0,-4.230675541037494e-05,-9.016628078670366e-06
0.0002,5.200780824528904e-05,1.0,22026.465794806718,1.0,-5.199161196450698e-05,1.0,22026.465794806718,1000.0,-5.199123224436119e-05,-7.303541951154839e-06
0.0002,6.391122189543889e-05,1.0,22026.465794806718,1.0,-6.389264485343918e-05,1.0,22026.465794806718,1000.0,-6.389226727661903e-05,-5.909585560906896e-06
0.0002,7.85390583064617e-05,1.0,22026.465794806718,1.0,-7.851755560072811e-05,1.0,22026.465794806718,1000.0,-7.851718065779247e-05,-4.775297998464009e-06
0.0002,9.65148763664303e-05,1.0,22026.465794806718,1.0,-9.648977837855743e-05,1.0,22026.465794806718,1000.0,-9.648940667234304e-05,-3.8523007572677425e-06
0.0002,0.00011860495352108069,1.0,22026.465794806718,1.0,-0.0001185754373721214,1.0,22026.465794806718,1000.0,-0.0001185750696434407,-3.1012309907070294e-06
0.0002,0.00014575095083093872,1.0,22026.465794806718,1.0,-0.00014571600530352468,1.0,22026.465794806718,1000.0,-0.00014571564246274542,-2.490060594228769e-06
0.0002,0.00017911005432287385,1.0,22026.465794806718,1.0,-0.00017906843675480127,1.0,22026.465794806718,1000.0,-0.0001790680799206537,-1.992728953864797e-06
0.0002,0.00022010430379115656,1.0,22026.465794806718,1.0,-0.00022005448710288626,1.0,22026.465794806718,1000.0,-0.00022005413765015285,-1.5880307325174528e-06
0.0002,0.0002704812118478755,1.0,22026.465794806718,1.0,-0.0002704213194458233,1.0,22026.465794806718,1000.0,-0.00027042097906394315,-1.2587110708035768e-06
0.0002,0.0003323882573060108,1.0,22026.465794806718,1.0,-0.00033231598308667003,1.0,22026.465794806718,1000.0,-0.00033231565385175683,-9.907294747861714e-07
0.0002,0.0004084644284168036,1.0,22026.465794806718,1.0,-0.00040837693846161664,1.0,22026.465794806718,1000.0,-0.00040837662292495956,-7.72660919761878e-07
0.0002,0.0005019527182883087,1.0,22026.465794806718,1.0,-0.000501846530058713,1.0,22026.465794806718,1000.0,-0.0005018462313555336,-5.952085732949585e-07
0.0002,0.0006168383679665784,1.0,22026.465794806718,1.0,-0.0006167092018495248,1.0,22026.465794806718,1000.0,-0.0006167089238326264,-4.5080732208166136e-07
0.0002,0.0007580187502384012,1.0,22026.465794806718,1.0,-0.0007578613471139912,1.0,22026.465794806718,1000.0,-0.0007578610945179966,-3.3330117669825053e-07
0.0002,0.0009315121360027327,1.0,22026.465794806718,1.0,-0.0009313200330572052,1.0,22026.465794806718,1000.0,-0.0009313198117003857,-2.3768078022554083e-07
0.0002,0.0011447142425533316,1.0,22026.465794806718,1.0,-0.001144479497780702,1.0,22026.465794806718,1000.0,-0.0011444793148129998,-1.5986982011727144e-07
0.0002,0.0014067134999737711,1.0,22026.465794806718,1.0,-0.001406426353622111,1.0,22026.465794806718,1000.0,-0.0014064262178299287,-9.655123083000935e-08
0.0002,0.0017286784748956803,1.0,22026.465794806718,1.0,-0.0017283269334260932,1.0,22026.465794806718,1000.0,-0.0017283268556068424,-4.502577193302116e-08
0.0002,0.0021243339668122713,1.0,22026.465794806718,1.0,-0.002123903291635464,1.0,22026.465794806718,1000.0,-0.002123903285057841,-3.0969503372213965e-09
0.0002,0.002610546072093995,1.0,22026.465794806718,1.0,-0.002610018151290191,1.0,22026.465794806718,1000.0,-0.0026100182322597964,3.102262067963126e-08
0.0002,0.0032080411559542855,1.0,22026.465794806718,1.0,-0.0032073937321940023,1.0,22026.465794806718,1000.0,-0.003207393920748421,5.878742158444854e-08
0.0002,0.003942289380873242,1.0,22026.465794806718,1.0,-0.003941495102626557,1.0,22026.465794806718,1000.0,-0.0039414954233895245,8.138103256423153e-08
0.0002,0.004844590454738973,1.0,22026.465794806718,1.0,-0.004843615710328006,1.0,22026.465794806718,1000.0,-0.004843616193559077,9.976658994001033e-08
0.0002,0.005953407882236496,1.0,22026.465794806718,1.0,-0.0059522113670288125,1.0,22026.465794806718,1000.0,-0.005952212049913267,1.147278438648128e-07
