eta,U,a,s,y,ke,eph,coul,E,Einf,dE
0.0002,1e-05,1.0,12,1.0,1.0612770222512236e-10,1.0000044618060646,4.461806064645423e-06,-9.997893863374165e-06,-9.998000000000002e-06,1.0615785740815864e-05
0.0002,1.2288774330579116e-05,1.0,12,1.0,1.0612770222512236e-10,1.0000044618060646,4.461806064645423e-06,-1.2286210437044749e-05,-1.2286316575713e-05,8.638770423794645e-06
0.0002,1.510139745479005e-05,1.0,12,1.0,1.0612770222512236e-10,1.0000044618060646,4.461806064645423e-06,-1.5098271034120965e-05,-1.5098377175299092e-05,7.029972618567731e-06
0.0002,1.8557766539829677e-05,1.0,12,1.0,1.0612770222512236e-10,1.0000044618060646,4.461806064645423e-06,-1.8553948842259256e-05,-1.855405498652171e-05,5.720812109846026e-06
0.0002,2.2805220508753942e-05,1.0,12,1.0,1.0612770222512236e-10,1.0000044618060646,4.461806064645423e-06,-2.2800553316599474e-05,-2.2800659464652193e-05,4.655481692710092e-06
0.0002,2.802482083911719e-05,1.0,12,1.0,1.0612770222512236e-10,1.0000044618060646,4.461806064645423e-06,-2.801910972223888e-05,-2.8019215874949366e-05,3.788568208317554e-06
0.0002,3.44390698946822e-05,1.0,12,1.0,1.0612770222512236e-10,1.0000044618060646,4.461806064645423e-06,-3.443207592226894e-05,-3.443218208070326e-05,3.083116663233707e-06
0.0002,4.2321395809079146e-05,1.0,12,1.0,1.0612770222512236e-10,1.0000044618060646,4.461806064645423e-06,-4.2312825364449133e-05,-4.2312931529917335e-05,2.509054900302512e-06
0.0002,5.200780824528904e-05,1.0,12,1.0,1.0612770222512236e-10,1.0000044618060646,4.461806064645423e-06,-5.199730050952801e-05,-5.199740668363999e-05,2.0419116788265624e-06
0.0002,6.391122189543889e-05,1.0,12,1.0,1.0612770222512236e-10,1.0000044618060646,4.461806064645423e-06,-6.38983334663257e-05,-6.389843965105981e-05,1.6617735064365643e-06
0.0002,7.85390583064617e-05,1.0,12,1.0,1.0612770222512236e-10,1.0000044618060646,4.461806064645423e-06,-7.852324429701298e-05,-7.852335049480041e-05,1.3524357629342018e-06
0.0002,9.65148763664303e-05,1.0,12,1.0,1.0612770222512236e-10,1.0000044618060646,4.461806064645423e-06,-9.649546717732866e-05,-9.649557339115701e-05,1.1007119251393395e-06
0.0002,0.00011860495352108069,1.0,12,1.0,1.0612770222512236e-10,1.0000044618060646,4.461806064645423e-06,-0.00011858112629683579,-0.00011858123253037647,8.958714495948825e-07
0.0002,0.00014575095083093872,1.0,12,1.0,1.0612770222512236e-10,1.0000044618060646,4.461806064645423e-06,-0.00014572169438300782,-0.00014572180064077253,7.291823477714415e-07
0.0002,0.00017911005432287385,1.0,12,1.0,1.0612770222512236e-10,1.0000044618060646,4.461806064645423e-06,-0.0001790741260244762,-0.00017907423231200927,5.935389570587386e-07
0.0002,0.00022010430379115656,1.0,12,1.0,1.0612770222512236e-10,1.0000044618060646,4.461806064645423e-06,-0.00022006017660628356,-0.00022006028293039832,4.83159038754049e-07
0.0002,0.0002704812118478755,1.0,12,1.0,1.0612770222512236e-10,1.0000044618060646,4.461806064645423e-06,-0.00027042700923643676,-0.0002704271156055059,3.9333729131978963e-07
0.0002,0.0003323882573060108,1.0,12,1.0,1.0612770222512236e-10,1.0000044618060646,4.461806064645423e-06,-0.00033232167323023697,-0.0003323217796545496,3.202447721724314e-07
0.0002,0.0004084644284168036,1.0,12,1.0,1.0612770222512236e-10,1.0000044618060646,4.461806064645423e-06,-0.0004083826290389202,-0.0004083827355311202,2.6076567586129874e-07
0.0002,0.0005019527182883087,1.0,12,1.0,1.0612770222512236e-10,1.0000044618060646,4.461806064645423e-06,-0.0005018522211690257,-0.000501852327744651,2.123645131965795e-07
0.0002,0.0006168383679665784,1.0,12,1.0,1.0612770222512236e-10,1.0000044618060646,4.461806064645423e-06,-0.0006167148936148402,-0.0006167150002929851,1.7297802857259565e-07
0.0002,0.0007580187502384012,1.0,12,1.0,1.0612770222512236e-10,1.0000044618060646,4.461806064645423e-06,-0.0007578670396842247,-0.0007578671464883535,1.4092724469648397e-07
0.0002,0.0009315121360027327,1.0,12,1.0,1.0612770222512236e-10,1.0000044618060646,4.461806064645423e-06,-0.0009313257266165846,-0.0009313258335755322,1.1484589356615971e-07
