eta,U,a,s,y,E,yinf,Einf,dE
0.0,0.1,1,1.0,1.0,2.7213753699274106,10.0,2.8982746526480865,-0.06103606590874578
0.0,0.1,1,1.0782904651918968,1.0,2.3261267520202233,10.0,2.478721210259812,-0.06156176725642903
0.0,0.1,1,1.1627103273237571,1.0,1.9862218754792402,10.0,2.1178875886795314,-0.06216841436914158
0.0,0.1,1,1.2537394597333567,1.0,1.6939196778838772,10.0,1.8075533817985312,-0.06286602932942842
0.0,0.1,1,1.3518953052653184,1.0,1.4425603785882875,10.0,1.5406491001044624,-0.06366713972021543
0.0,0.1,1,1.4577358176052817,1.0,1.2264145448855137,10.0,1.3110951078113138,-0.0645876583790799
0.0,0.1,1,1.5718626328924892,1.0,1.0405532541341904,10.0,1.1136630761608428,-0.0656480614214899
0.0,0.1,1,1.6949244896394018,1.0,0.8807363946867589,10.0,0.9438568049613658,-0.066874985636397
0.0,0.1,1,1.8276209163984087,1.0,0.743316563119318,10.0,0.7978097068155853,-0.0683034353063636
0.0,0.1,1,1.970706208137681,1.0,0.6251563721592692,10.0,0.6721966281271841,-0.06997990468796952
0.0,0.1,1,2.1249937139293387,1.0,0.5235572908637375,10.0,0.5641580066188601,-0.0719669228811496
0.0,0.1,1,2.291360460322723,1.0,0.4361984028969149,10.0,0.4712346444605895,-0.0743498848727043
0.0,0.1,1,2.470752136683708,1.0,0.36108369608377316,10.0,0.3913116158256954,-0.07724769344794218
0.0,0.1,1,2.6641884708385484,1.0,0.29649669184272354,10.0,0.32257003358007397,-0.0808300183621305
0.0,0.1,1,2.8727690255793865,1.0,0.2409613909785282,10.0,0.26344557682724323,-0.08534660600302747
0.0,0.1,1,3.0976794489808688,1.0,0.19320865641594717,10.0,0.21259283342174257,-0.09117982339198133
0.0,0.1,1,3.3401982140569593,1.0,0.15214727704526226,10.0,0.16885464290783606,-0.09894525596013949
0.0,0.1,1,3.6017038860686217,1.0,0.11683906278523569,10.0,0.13123573864717156,-0.10970087881808978
0.0,0.1,1,3.8836829587923964,1.0,0.08647741174056933,10.0,0.09888008568817995,-0.12543146439741834
