eta,U,a,s,y,E,yinf,Einf,dE
0.0002,1e-05,1,1.1051709180756477,1.0,2.3016309608190575,1000.0,2.4561822612339457,-0.06292338433274253
0.0002,1.2288774330579116e-05,1,1.1051709180756477,1.0,2.301628850483627,1000.0,2.45617997291737,-0.06292337049315326
0.0002,1.510139745479005e-05,1,1.1051709180756477,1.0,2.3016262571400405,1000.0,2.4561771608567704,-0.06292335348595905
0.0002,1.8557766539829677e-05,1,1.1051709180756477,1.0,2.3016230702386307,1000.0,2.456173705178959,-0.0629233325861485
0.0002,2.2805220508753942e-05,1,1.1051709180756477,1.0,2.3016191539274065,1000.0,2.456169458574481,-0.06292330690276272
0.0002,2.802482083911719e-05,1,1.1051709180756477,1.0,2.3016143412609225,1000.0,2.4561642400180705,-0.0629232753409076
0.0002,3.44390698946822e-05,1,1.1051709180756477,1.0,2.301608427083688,1000.0,2.456157827051865,-0.06292323655507238
0.0002,4.2321395809079146e-05,1,1.1051709180756477,1.0,2.3016011592847483,1000.0,2.4561499463024155,-0.0629231888917576
0.0002,5.200780824528904e-05,1,1.1051709180756477,1.0,2.301592228050644,1000.0,2.456140261827262,-0.0629231303189668
0.0002,6.391122189543889e-05,1,1.1051709180756477,1.0,2.3015812526586035,1000.0,2.4561283607942945,-0.0629230583395534
0.0002,7.85390583064617e-05,1,1.1051709180756477,1.0,2.301567765247006,1000.0,2.456113735883451,-0.0629229698847213
0.0002,9.65148763664303e-05,1,1.1051709180756477,1.0,2.301551190871264,1000.0,2.4560957636605543,-0.06292286118313142
0.0002,0.00011860495352108069,1,1.1051709180756477,1.0,2.3015308229949474,1000.0,2.4560736780014154,-0.06292272760002234
0.0002,0.00014575095083093872,1,1.1051709180756477,1.0,2.3015057933713825,1000.0,2.4560465374333047,-0.06292256343946367
0.0002,0.00017911005432287385,1,1.1051709180756477,1.0,2.3014750350318254,1000.0,2.4560131850016336,-0.06292236170128924
0.0002,0.00022010430379115656,1,1.1051709180756477,1.0,2.3014372368024656,1000.0,2.4559721989510153,-0.06292211378229526
0.0002,0.0002704812118478755,1,1.1051709180756477,1.0,2.301390787411396,1000.0,2.45592183211834,-0.0629218091089056
0.0002,0.0003323882573060108,1,1.1051709180756477,1.0,2.301333706802931,1000.0,2.455859937454291,-0.06292143468553814
0.0002,0.0004084644284168036,1,1.1051709180756477,1.0,2.3012635617313237,1000.0,2.4557838764984146,-0.06292097453926361
0.0002,0.0005019527182883087,1,1.1051709180756477,1.0,2.3011773620357845,1000.0,2.455690406906201,-0.06292040903685392
0.0002,0.0006168383679665784,1,1.1051709180756477,1.0,2.3010714331752,1000.0,2.4555755442336524,-0.06291971404474578
0.0002,0.0007580187502384012,1,1.1051709180756477,1.0,2.3009412595889187,1000.0,2.455434392087457,-0.06291885989557959
0.0002,0.0009315121360027327,1,1.1051709180756477,1.0,2.3007812922063575,1000.0,2.45526093340037,-0.06291781011644597
0.0002,0.0011447142425533316,1,1.1051709180756477,1.0,2.300584711899902,1000.0,2.4550477739342407,-0.06291651986340374
0.0002,0.0014067134999737711,1,1.1051709180756477,1.0,2.300343138797515,1000.0,2.454785827076672,-0.06291493399368275
0.0002,0.0017286784748956803,1,1.1051709180756477,1.0,2.3000462750635586,1000.0,2.454463926494745,-0.06291298469059695
0.0002,0.0021243339668122713,1,1.1051709180756477,1.0,2.299681465920206,1000.0,2.4540683501339267,-0.0629105885356841
0.0002,0.002610546072093995,1,1.1051709180756477,1.0,2.2992331601965668,1000.0,2.453582235271066,-0.06290764289685494
0.0002,0.0032080411559542855,1,1.1051709180756477,1.0,2.298682247409676,1000.0,2.4529848596862225,-0.06290402146888267
0.0002,0.003942289380873242,1,1.1051709180756477,1.0,2.2980052431182827,1000.0,2.4522507583109485,-0.06289956876143712
