eta,U,a,s,y,E,yinf,Einf,dE
0.0002,1e-05,1,7.38905609893065,1.0,0.05147947009290463,1000.0,0.05493691866620254,-0.06293488344887735
0.0002,1.2288774330579116e-05,1,7.38905609893065,1.0,0.05147718193756416,1000.0,0.054934630349626826,-0.06293750208307627
0.0002,1.510139745479005e-05,1,7.38905609893065,1.0,0.051474370075102936,1000.0,0.05493181828902724,-0.06294072036233574
0.0002,1.8557766539829677e-05,1,7.38905609893065,1.0,0.05147091464077948,1000.0,0.05492836261121602,-0.06294467568437132
0.0002,2.2805220508753942e-05,1,7.38905609893065,1.0,0.051466668335517954,1000.0,0.05492411600673788,-0.06294953697198845
0.0002,2.802482083911719e-05,1,7.38905609893065,1.0,0.051461450146808196,1000.0,0.05491889745032759,-0.06295551192823098
0.0002,3.44390698946822e-05,1,7.38905609893065,1.0,0.05145503763246134,1000.0,0.05491248448412183,-0.06296285597240138
0.0002,4.2321395809079146e-05,1,7.38905609893065,1.0,0.05144715743829133,1000.0,0.05490460373467262,-0.06297188325207582
0.0002,5.200780824528904e-05,1,7.38905609893065,1.0,0.051437473645507686,1000.0,0.05489491925951889,-0.06298298022201168
0.0002,6.391122189543889e-05,1,7.38905609893065,1.0,0.05142557345108946,1000.0,0.05488301822655148,-0.06299662240130527
0.0002,7.85390583064617e-05,1,7.38905609893065,1.0,0.05141094957071989,1000.0,0.05486839331570773,-0.0630133950723511
0.0002,9.65148763664303e-05,1,7.38905609893065,1.0,0.05139297861415,1000.0,0.05485042109281138,-0.06303401887856258
0.0002,0.00011860495352108069,1,7.38905609893065,1.0,0.051370894511170793,1000.0,0.05482833543367216,-0.06305938152515972
0.0002,0.00014575095083093872,1,7.38905609893065,1.0,0.05134375585539032,1000.0,0.054801194865561766,-0.06309057710608743
0.0002,0.00017911005432287385,1,7.38905609893065,1.0,0.051310405773738174,1000.0,0.054767842433890525,-0.06312895499445267
0.0002,0.00022010430379115656,1,7.38905609893065,1.0,0.05126942261100521,1000.0,0.05472685638327214,-0.06317618077773851
0.0002,0.0002704812118478755,1,7.38905609893065,1.0,0.051219059327187316,1000.0,0.05467648955059703,-0.06323431244082053
0.0002,0.0003323882573060108,1,7.38905609893065,1.0,0.051157169024248834,1000.0,0.05461459488654798,-0.06330589596940764
0.0002,0.0004084644284168036,1,7.38905609893065,1.0,0.051081113427642606,1000.0,0.054538533930671415,-0.06339408586640467
0.0002,0.0005019527182883087,1,7.38905609893065,1.0,0.05098765042131547,1000.0,0.05444506433845789,-0.06350279789641526
0.0002,0.0006168383679665784,1,7.38905609893065,1.0,0.05087279584201429,1000.0,0.05433020166590955,-0.0636369039297101
0.0002,0.0007580187502384012,1,7.38905609893065,1.0,0.05073165364142772,1000.0,0.054189049519714184,-0.06380248240059373
0.0002,0.0009315121360027327,1,7.38905609893065,1.0,0.05055820717627473,1000.0,0.054015590832627004,-0.06400714317955607
0.0002,0.0011447142425533316,1,7.38905609893065,1.0,0.05034506272940458,1000.0,0.05380243136649771,-0.06426045346430204
0.0002,0.0014067134999737711,1,7.38905609893065,1.0,0.05008313432866423,1000.0,0.05354048450892876,-0.06457450305082615
0.0002,0.0017286784748956803,1,7.38905609893065,1.0,0.04976125642791746,1000.0,0.053218583927001836,-0.06496466542264025
0.0002,0.0021243339668122713,1,7.38905609893065,1.0,0.04936570793948971,1000.0,0.052823007566183626,-0.06545063952222249
0.0002,0.002610546072093995,1,7.38905609893065,1.0,0.04887962732838067,1000.0,0.05233689270332296,-0.06605790287436722
0.0002,0.0032080411559542855,1,7.38905609893065,1.0,0.04828229383474178,1000.0,0.05173951711847944,-0.06681978256234766
0.0002,0.003942289380873242,1,7.38905609893065,1.0,0.0475482441843993,1000.0,0.05100541574320547,-0.06778047994377355
0.0002,0.004844590454738973,1,7.38905609893065,1.0,0.04664618713434938,1000.0,0.05010329512955451,-0.06899961342394594
0.0002,0.005953407882236496,1,7.38905609893065,1.0,0.04553766958221223,1000.0,0.04899469946554249,-0.07055926296193639
