eta,U,a,s,y,E
0.0,1e-10,1.0,22026.465794806718,1.0,5.847469092677889e-09
0.0,1.2618568830660183e-10,1.0,22026.465794806718,1.0,5.821283404371287e-09
0.0,1.592282793341094e-10,1.0,22026.465794806718,1.0,5.78824081334378e-09
0.0,2.0092330025650458e-10,1.0,22026.465794806718,1.0,5.7465457924213845e-09
0.0,2.5353644939701164e-10,1.0,22026.465794806718,1.0,5.693932643280877e-09
0.0,3.1992671377973845e-10,1.0,22026.465794806718,1.0,5.627542378898151e-09
0.0,4.03701725859655e-10,1.0,22026.465794806718,1.0,5.543767366818234e-09
0.0,5.094138014816385e-10,1.0,22026.465794806718,1.0,5.438055291196251e-09
0.0,6.428073117284319e-10,1.0,22026.465794806718,1.0,5.304661780949457e-09
0.0,8.111308307896856e-10,1.0,22026.465794806718,1.0,5.136338261888203e-09
0.0,1.0235310218990269e-09,1.0,22026.465794806718,1.0,4.923938070778862e-09
0.0,1.2915496650148826e-09,1.0,22026.465794806718,1.0,4.655919427663006e-09
0.0,1.6297508346206469e-09,1.0,22026.465794806718,1.0,4.317718258057242e-09
0.0,2.0565123083486515e-09,1.0,22026.465794806718,1.0,3.890956784329237e-09
0.0,2.595024211399732e-09,1.0,22026.465794806718,1.0,3.3524448812781573e-09
0.0,3.2745491628777316e-09,1.0,22026.465794806718,1.0,2.672919929800158e-09
0.0,4.132012400115335e-09,1.0,22026.465794806718,1.0,1.8154566925625547e-09
0.0,5.214008287999674e-09,1.0,22026.465794806718,1.0,7.334608046782156e-10
0.0,6.579332246575682e-09,1.0,22026.465794806718,1.0,-6.318631538977929e-10
0.0,8.302175681319736e-09,1.0,22026.465794806718,1.0,-2.354706588641846e-09
0.0,1.0476157527896662e-08,1.0,22026.465794806718,1.0,-4.528688435218774e-09
0.0,1.3219411484660288e-08,1.0,22026.465794806718,1.0,-7.2719423919823984e-09
0.0,1.6681005372000592e-08,1.0,22026.465794806718,1.0,-1.0733536279322705e-08
0.0,2.104904144512022e-08,1.0,22026.465794806718,1.0,-1.510157235244233e-08
0.0,2.656087782946684e-08,1.0,22026.465794806718,1.0,-2.061340873678895e-08
0.0,3.351602650938841e-08,1.0,22026.465794806718,1.0,-2.7568557416710522e-08
0.0,4.229242874389499e-08,1.0,22026.465794806718,1.0,-3.63449596512171e-08
0.0,5.336699231206302e-08,1.0,22026.465794806718,1.0,-4.741952321938513e-08
0.0,6.734150657750828e-08,1.0,22026.465794806718,1.0,-6.13940374848304e-08
0.0,8.497534359086438e-08,1.0,22026.465794806718,1.0,-7.90278744981865e-08
0.0,1.0722672220103232e-07,1.0,22026.465794806718,1.0,-1.0127925310835443e-07
0.0,1.3530477745798075e-07,1.0,22026.465794806718,1.0,-1.2935730836530285e-07
