eta,U,a,s,y,E,yinf,Einf,dE
0.0002,1e-05,1,10,1.0,-9.99220555785417e-06,1000.0,-9.991817819793782e-06,-3.8805557445261757e-05
0.0002,1.2288774330579116e-05,1,10,1.0,-1.2280522118475661e-05,1000.0,-1.2280134688621205e-05,-3.154931637798345e-05
0.0002,1.510139745479005e-05,1,10,1.0,-1.509258269951614e-05,1000.0,-1.5092195648408999e-05,-2.5645778530690483e-05
0.0002,1.8557766539829677e-05,1,10,1.0,-1.8548260487948475e-05,1000.0,-1.8547873902275357e-05,-2.0842586872996954e-05
0.0002,2.2805220508753942e-05,1,10,1.0,-2.279486493807249e-05,1000.0,-2.2794478924360746e-05,-1.693452669068542e-05
0.0002,2.802482083911719e-05,1,10,1.0,-2.8013421313953147e-05,1000.0,-2.801303600311183e-05,-1.3754697679877708e-05
0.0002,3.44390698946822e-05,1,10,1.0,-3.442638747741337e-05,1000.0,-3.442600303031365e-05,-1.1167346362553996e-05
0.0002,4.2321395809079146e-05,1,10,1.0,-4.230713687465369e-05,1000.0,-4.2306753488986534e-05,-9.062044130916737e-06
0.0002,5.200780824528904e-05,1,10,1.0,-5.199161196450697e-05,1000.0,-5.1991229883210345e-05,-7.348956689164697e-06
0.0002,6.391122189543889e-05,1,10,1.0,-6.389264485343918e-05,1000.0,-6.389226437505405e-05,-5.954999229526166e-06
0.0002,7.85390583064617e-05,1,10,1.0,-7.851755560072811e-05,1000.0,-7.851717709212474e-05,-4.820710797109326e-06
0.0002,9.65148763664303e-05,1,10,1.0,-9.648977837855743e-05,1000.0,-9.648940229057443e-05,-3.897712847905075e-06
0.0002,0.00011860495352108069,1,10,1.0,-0.0001185754373721214,1000.0,-0.00011857506425878413,-3.14664250528997e-06
0.0002,0.00014575095083093872,1,10,1.0,-0.0001457160053035247,1000.0,-0.00014571563584566248,-2.535471640237449e-06
0.0002,0.00017911005432287385,1,10,1.0,-0.00017906843675480127,1000.0,-0.0001790680717890698,-2.038139618180588e-06
0.0002,0.00022010430379115656,1,10,1.0,-0.00022005448710288628,1000.0,-0.0002200541276574329,-1.6334410865574238e-06
0.0002,0.0002704812118478755,1,10,1.0,-0.0002704213194458233,1000.0,-0.0002704209667841151,-1.304121172084254e-06
0.0002,0.0003323882573060108,1,10,1.0,-0.00033231598308667003,1000.0,-0.0003323156387613533,-1.0361393704591071e-06
0.0002,0.0004084644284168036,1,10,1.0,-0.00040837693846161664,1000.0,-0.0004083766043807032,-8.180706481437753e-07
0.0002,0.0005019527182883087,1,10,1.0,-0.000501846530058713,1000.0,-0.0005018462085669155,-6.406181654792531e-07
0.0002,0.0006168383679665784,1,10,1.0,-0.0006167092018495248,1000.0,-0.0006167088958282078,-4.962168035535639e-07
0.0002,0.0007580187502384012,1,10,1.0,-0.0007578613471139912,1000.0,-0.0007578610601039986,-3.7871056807663973e-07
0.0002,0.0009315121360027327,1,10,1.0,-0.0009313200330572052,1000.0,-0.0009313197694098002,-2.830900982393756e-07
0.0002,0.0011447142425533316,1,10,1.0,-0.001144479497780702,1000.0,-0.0011444792628430534,-2.0527907859334315e-07
