eta,U,a,s,y,E,Einf,Ebind,
0.001617647,19.09159091,0.074983141,0.377773617,1.274245668,-21.78764511,-19.27406773,-0.130412397,
0.001617647,20.45520455,0.064096896,0.35036765,1.292225774,-24.82760738,-22.12568853,-0.122116825,
0.001617647,21.81881818,0.05551245,0.326902108,1.306574232,-28.08138505,-25.1739629,-0.115493225,
0.001617647,23.18243182,0.048599616,0.30652839,1.318236457,-31.54814039,-28.41889081,-0.110111601,
0.001617647,24.54604545,0.042937991,0.288641704,1.327857553,-35.22730481,-31.86047229,-0.105674282,
0.001617647,25.90965909,0.038234856,0.272793241,1.335897283,-39.1184792,-35.49870733,-0.101969118,
0.001617647,27.27327273,0.034280418,0.258640763,1.342689189,-43.22137552,-39.33359592,-0.098841194,
0.001617647,28.63688636,0.030920657,0.245917589,1.348483267,-47.53578106,-43.36513807,-0.096175019,
0.001617647,30.0005,0.028039847,0.234412043,1.353473422,-52.06153563,-47.59333378,-0.093882935,
0.001617647,31.36411364,0.025549622,0.223953379,1.357791829,-56.79851647,-52.01818304,-0.091897355,
0.001617647,32.72772727,0.023381351,0.214402674,1.361562148,-61.74662814,-56.63968587,-0.090165441,
0.001617647,34.09134091,0.021481083,0.205643394,1.364885693,-66.90579542,-61.45784225,-0.08864537,
0.001617647,35.45495455,0.01980653,0.197580788,1.367800638,-72.27595834,-66.47265219,-0.087303665,
0.001617647,36.81856818,0.018322138,0.190133287,1.370398608,-77.85706857,-71.68411569,-0.08611326,
0.001617647,38.18218182,0.017000199,0.183232394,1.372715197,-83.64908679,-77.09223274,-0.085052071,
0.001617647,39.54579545,0.015817422,0.176819268,1.374787815,-89.65198073,-82.69700336,-0.084101927,
0.001617647,40.90940909,0.014755154,0.170843622,1.376654813,-95.86572368,-88.49842753,-0.083247763,
0.001617647,42.27302273,0.013797215,0.165261691,1.378341247,-102.2902934,-94.49650525,-0.082476999,
0.001617647,43.63663636,0.012930763,0.160036461,1.379857311,-108.9256712,-100.6912365,-0.08177906,
0.001617647,45.00025,0.012142883,0.155131646,1.381252187,-115.7718414,-107.0826214,-0.081145006,
0.001617647,46.36386364,0.011425577,0.150519831,1.382578112,-122.8287904,-113.6706598,-0.080567234,
0.001617647,47.72747727,0.010770878,0.146178622,1.383670934,-130.0965071,-120.4553517,-0.080039245,
0.001617647,49.09109091,0.010170868,0.142080814,1.384732934,-137.5749815,-127.4366973,-0.079555453,
0.001617647,50.45470455,0.009620082,0.138207465,1.385702266,-145.2642051,-134.6146963,-0.079111041,
0.001617647,51.81831818,0.009112909,0.134540858,1.386604913,-153.1641706,-141.989349,-0.07870183,
0.001617647,53.18193182,0.008644718,0.131064205,1.38743141,-161.2748717,-149.5606552,-0.078324186,
0.001617647,54.54554545,0.008212527,0.127763753,1.388190539,-169.5963029,-157.3286149,-0.077974931,
0.001617647,55.90915909,0.007811602,0.124626248,1.388903493,-178.1284591,-165.2932282,-0.077651281,
0.001617647,57.27277273,0.007439546,0.121638999,1.389559209,-186.8713363,-173.4544951,-0.077350784,
0.001617647,58.63638636,0.007093726,0.118792938,1.390169865,-195.8249305,-181.8124155,-0.077071277,
0.001617647,60,0.006771529,0.116076772,1.390742253,-204.9892384,-190.3669895,-0.076810843,
0.003235294,0.001,1,148.4131591,1,-0.000865747,-0.000860557,-0.006030959,
0.003235294,1.364613636,1,148.4131591,1,-1.360046106,-1.360051933,4.28449E-06,
0.003235294,2.728227273,1,148.4131591,1.000010969,-2.719226465,-2.719243309,6.19441E-06,
0.003235294,4.091840909,1,148.4131591,1.000015454,-4.078406824,-4.078434685,6.83133E-06,
0.003235294,5.455454545,1,148.4131591,1.000020073,-5.437587183,-5.437626061,7.14982E-06,
0.003235294,6.819068182,1,148.4131591,1.000024336,-6.796767542,-6.796817437,7.34093E-06,
0.003235294,8.182681818,1,148.4131591,1.000028955,-8.155947901,-8.156008813,7.46834E-06,
0.003235294,9.546295455,1,148.4131591,1.000033574,-9.515128261,-9.515200189,7.55935E-06,
0.003235294,10.90990909,1,148.4131591,1.000037837,-10.87430862,-10.87439157,7.6276E-06,
0.003235294,12.27352273,1,148.4131591,1.000042456,-12.23348898,-12.23358294,7.68068E-06,
0.003235294,13.63713636,1,148.4131591,1.000046719,-13.59266934,-13.59277432,7.72314E-06,
0.003235294,15.00075,1,148.4131591,1.000051516,-14.9518497,-14.95196569,7.75788E-06,
0.003235294,16.36436364,1,148.4131591,1.00005649,-16.31103006,-16.31115707,7.78683E-06,
0.003235294,17.72797727,0.089781136,0.41170331,1.253913242,-18.857926,-17.67034845,-0.067207365,
0.003235294,19.09159091,0.075486259,0.378968519,1.277215773,-21.66575425,-19.21150346,-0.127749023,
0.003235294,20.45520455,0.064516045,0.35145421,1.295391113,-24.68749121,-22.0538678,-0.119417756,
0.003235294,21.81881818,0.055868515,0.3279019,1.309895881,-27.92183127,-25.09224736,-0.112767257,
0.003235294,23.18243182,0.048906677,0.30745641,1.321681542,-31.36792624,-28.32664214,-0.107364794,
0.003235294,24.54604545,0.043206151,0.289509289,1.33140736,-35.02520092,-31.75705212,-0.102910963,
0.003235294,25.90965909,0.038471383,0.273607974,1.339529626,-38.89325176,-35.38347733,-0.099192468,
0.003235294,27.27327273,0.034490655,0.259409595,1.346396272,-42.97178766,-39.20591774,-0.09605361,
0.003235294,28.63688636,0.03110924,0.246645846,1.352250092,-47.26059372,-43.22437337,-0.093378343,
0.003235294,30.0005,0.028209931,0.235104149,1.357291727,-51.75950813,-47.43884421,-0.091078609,
0.003235294,31.36411364,0.025703883,0.224612957,1.361654043,-56.46840697,-51.84933027,-0.089086526,
0.003235294,32.72772727,0.023522347,0.215032764,1.365473672,-61.38719386,-56.45583154,-0.087349033,
0.003235294,34.09134091,0.021610188,0.206246708,1.368813753,-66.51579289,-61.25834802,-0.085824137,
0.003235294,35.45495455,0.01992493,0.198159579,1.371770447,-71.85414353,-66.25687972,-0.084478228,
0.003235294,36.81856818,0.018431272,0.190689416,1.374397743,-77.40219701,-71.45142663,-0.083284137,
0.003235294,38.18218182,0.017101296,0.183767799,1.376735378,-83.15991366,-76.84198876,-0.082219695,
0.003235294,39.54579545,0.015911521,0.177335432,1.378833433,-89.12726093,-82.42856609,-0.081266667,
0.003235294,40.90940909,0.014842599,0.171341864,1.380716938,-95.30421187,-88.21115865,-0.080409932,
0.003235294,42.27302273,0.013878772,0.165743244,1.382419527,-101.6907441,-94.18976641,-0.079636864,
0.003235294,43.63663636,0.013007941,0.160503296,1.383948114,-108.2868386,-100.3643894,-0.078936855,
0.003235294,45.00025,0.012214447,0.155583215,1.385361742,-115.0924797,-106.7350276,-0.078300932,
0.003235294,46.36386364,0.011493628,0.150958214,1.386646586,-122.1076538,-113.301681,-0.077721467,
0.003235294,47.72747727,0.010834291,0.146603642,1.387807212,-129.3323494,-120.0643496,-0.077191938,
0.003235294,49.09109091,0.010230713,0.142493643,1.388878004,-136.7665566,-127.0230335,-0.076706743,
0.003235294,50.45470455,0.009676553,0.138608918,1.389859097,-144.4102669,-134.1777325,-0.076261047,
0.003235294,51.81831818,0.009166361,0.134931464,1.390767776,-152.2634728,-141.5284468,-0.07585066,
0.003235294,53.18193182,0.008695778,0.131444744,1.391599899,-160.326168,-149.0751762,-0.075471933,
0.003235294,54.54554545,0.008260546,0.128134492,1.392374356,-168.5983469,-156.8179209,-0.075121682,
0.003235294,55.90915909,0.007857634,0.124987584,1.393088394,-177.0800045,-164.7566808,-0.074797111,
0.003235294,57.27277273,0.007483292,0.12199198,1.39375485,-185.7711366,-172.891456,-0.074495761,
0.003235294,58.63638636,0.007135125,0.119137116,1.394378655,-194.6717393,-181.2222463,-0.074215463,
0.003235294,60,0.006811068,0.116413144,1.394950973,-203.7818092,-189.7490518,-0.073954295,
0.004852941,0.001,1,148.4131591,1,-0.000864122,-0.00085894,-0.006033114,
0.004852941,1.364613636,1,148.4131591,1,-1.357827842,-1.357844457,1.22367E-05,
0.004852941,2.728227273,1,148.4131591,1.000015454,-2.714791562,-2.714829975,1.41493E-05,
0.004852941,4.091840909,1,148.4131591,1.000022205,-4.071755283,-4.071815493,1.4787E-05,
0.004852941,5.455454545,1,148.4131591,1.000029044,-5.428719003,-5.428801011,1.5106E-05,
0.004852941,6.819068182,1,148.4131591,1.000035617,-6.785682724,-6.785786528,1.52973E-05,
0.004852941,8.182681818,1,148.4131591,1.000042278,-8.142646445,-8.142772046,1.54249E-05,
0.004852941,9.546295455,1,148.4131591,1.000049384,-9.499610165,-9.499757564,1.5516E-05,
0.004852941,10.90990909,1,148.4131591,1.000055779,-10.85657389,-10.85674308,1.55844E-05,
0.004852941,12.27352273,1,148.4131591,1.000062707,-12.21353761,-12.2137286,1.56375E-05,
0.004852941,13.63713636,1,148.4131591,1.000069103,-13.57050133,-13.57071412,1.568E-05,
0.004852941,15.00075,1,148.4131591,1.000076209,-14.92746505,-14.92769963,1.57148E-05,
0.004852941,16.36436364,1,148.4131591,1.000083137,-16.28442877,-16.28468515,1.57437E-05,
0.004852941,17.72797727,0.090408471,0.413048789,1.25664655,-18.7534337,-17.64167067,-0.063019146,
0.004852941,19.09159091,0.075994869,0.380170888,1.280209665,-21.54428851,-19.14904089,-0.12508447,
0.004852941,20.45520455,0.0649394,0.352547468,1.298586815,-24.5478625,-21.98216383,-0.116717294,
0.004852941,21.81881818,0.056228058,0.328907708,1.313250152,-27.76283231,-25.01066467,-0.110039764,
0.004852941,23.18243182,0.049216724,0.308389926,1.325162649,-31.18833914,-28.23454342,-0.10461638,
0.004852941,24.54604545,0.043476963,0.290380712,1.334995268,-34.82380102,-31.65380008,-0.100145983,
0.004852941,25.90965909,0.038710079,0.274427342,1.343204353,-38.66880988,-35.26843465,-0.096414124,
0.004852941,27.27327273,0.034703156,0.260182741,1.350147026,-42.72307152,-39.07844712,-0.09326431,
0.004852941,28.63688636,0.03129953,0.247378258,1.356060215,-46.98636882,-43.0838375,-0.090579938,
0.004852941,30.0005,0.028381539,0.235800135,1.361153674,-51.45853834,-47.28460579,-0.088272546,
0.004852941,31.36411364,0.025859674,0.225276369,1.365573392,-56.13945494,-51.68075199,-0.086273957,
0.004852941,32.72772727,0.023664181,0.215666231,1.36942471,-61.02902133,-56.27227609,-0.084530884,
0.004852941,34.09134091,0.021740081,0.20685336,1.372803576,-66.12716087,-61.0591781,-0.083001162,
0.004852941,35.45495455,0.020044311,0.198741437,1.375789086,-71.43381248,-66.04145802,-0.081651051,
0.004852941,36.81856818,0.018541489,0.191248749,1.378441289,-76.94892694,-71.21911585,-0.080453275,
0.004852941,38.18218182,0.017203207,0.184306092,1.380805484,-82.67246423,-76.59215158,-0.079385584,
0.004852941,39.54579545,0.016006084,0.17785443,1.382925632,-88.6043915,-82.16056522,-0.078429673,
0.004852941,40.90940909,0.014930727,0.171842917,1.384831053,-94.74468158,-87.92435677,-0.077570369,
0.004852941,42.27302273,0.013961165,0.166227533,1.386554042,-101.0933118,-93.88352622,-0.076795002,
0.004852941,43.63663636,0.013083467,0.160970033,1.388107959,-107.6502633,-100.0380736,-0.076092925,
0.004852941,45.00025,0.012286483,0.156037191,1.389528724,-114.4155198,-106.3879989,-0.075455136,
0.004852941,46.36386364,0.011561026,0.151399432,1.390813897,-121.3890679,-112.933302,-0.074873981,
0.004852941,47.72747727,0.010898189,0.147030899,1.391994234,-128.5708959,-119.6739831,-0.074342915,
0.004852941,49.09109091,0.010291025,0.142908818,1.393075171,-135.9609938,-126.6100421,-0.07385632,
0.004852941,50.45470455,0.009733522,0.139012625,1.394068336,-143.5593531,-133.741479,-0.073409343,
0.004852941,51.81831818,0.009220301,0.135324264,1.394984732,-151.3659663,-141.0682938,-0.072997781,
0.004852941,53.18193182,0.008746899,0.13182733,1.395828182,-159.3808268,-148.5904865,-0.072617975,
0.004852941,54.54554545,0.00830917,0.128507347,1.39660895,-167.6039292,-156.3080572,-0.072266729,
0.004852941,55.90915909,0.007903704,0.125351128,1.39733253,-176.0352683,-164.2210057,-0.071941239,
0.004852941,57.27277273,0.007527249,0.122346801,1.398005471,-184.6748399,-172.3293321,-0.071639039,
0.004852941,58.63638636,0.007177047,0.119483552,1.398632365,-193.5226402,-180.6330365,-0.071357953,
0.004852941,60,0.00685098,0.116751843,1.399201486,-202.5786656,-189.1321187,-0.071096052,
0.006470588,0.001,1,148.4131591,1,-0.000862496,-0.000857322,-0.006035276,
0.006470588,1.364613636,1,148.4131591,1.000010925,-1.355609578,-1.355636981,2.02147E-05,
0.006470588,2.728227273,1,148.4131591,1.00001994,-2.710356659,-2.710416641,2.213E-05,
0.006470588,4.091840909,1,148.4131591,1.000028866,-4.065103741,-4.0651963,2.27687E-05,
0.006470588,5.455454545,1,148.4131591,1.000037926,-5.419850823,-5.41997596,2.3088E-05,
0.006470588,6.819068182,1,148.4131591,1.000046897,-6.774597906,-6.774755619,2.32796E-05,
0.006470588,8.182681818,1,148.4131591,1.000055779,-8.129344988,-8.129535279,2.34073E-05,
0.006470588,9.546295455,1,148.4131591,1.000064839,-9.484092071,-9.484314938,2.34986E-05,
0.006470588,10.90990909,1,148.4131591,1.000073722,-10.83883915,-10.8390946,2.3567E-05,
0.006470588,12.27352273,1,148.4131591,1.000082782,-12.19358624,-12.19387426,2.36202E-05,
0.006470588,13.63713636,1,148.4131591,1.000091664,-13.54833332,-13.54865392,2.36627E-05,
0.006470588,15.00075,1,148.4131591,1.000100725,-14.9030804,-14.90343358,2.36975E-05,
0.006470588,16.36436364,1,148.4131591,1.00011014,-16.25782749,-16.25821324,2.37265E-05,
0.006470588,17.72797727,0.091042483,0.414403277,1.259405763,-18.64930986,-17.6129929,-0.058838209,
0.006470588,19.09159091,0.076508817,0.381381407,1.283232491,-21.42324818,-19.08668003,-0.122418783,
0.006470588,20.45520455,0.065367048,0.353647492,1.301815318,-24.40872159,-21.91057661,-0.114015483,
0.006470588,21.81881818,0.056591102,0.32991953,1.31664005,-27.60438861,-24.92921482,-0.107310792,
0.006470588,23.18243182,0.049530307,0.309329133,1.328682288,-31.00937961,-28.14259468,-0.101866404,
0.006470588,24.54604545,0.043750134,0.291258319,1.338619079,-34.62310572,-31.55071617,-0.097379392,
0.006470588,25.90965909,0.038950981,0.275251411,1.346920013,-38.44515432,-35.1535793,-0.093634136,
0.006470588,27.27327273,0.034917538,0.260960442,1.353930986,-42.475228,-38.95118407,-0.090473346,
0.006470588,28.63688636,0.031491523,0.248114783,1.359915005,-46.71310741,-42.94353047,-0.087779856,
0.006470588,30.0005,0.028554684,0.236500018,1.365063869,-51.15862745,-47.13061852,-0.085464801,
0.006470588,31.36411364,0.026016735,0.225943426,1.369529199,-55.81166174,-51.51244821,-0.083459701,
0.006470588,32.72772727,0.023807167,0.216303175,1.373417814,-60.67211207,-56.08901953,-0.081711047,
0.006470588,34.09134091,0.021871472,0.207463777,1.376842164,-65.73990106,-60.86033249,-0.080176502,
0.006470588,35.45495455,0.020164673,0.199326553,1.379852927,-71.01496708,-65.8263871,-0.07882219,
0.006470588,36.81856818,0.018652417,0.19181086,1.382531503,-76.49726046,-70.98718334,-0.077620732,
0.006470588,38.18218182,0.017306318,0.184847426,1.384938377,-82.18674079,-76.34272122,-0.076549794,
0.006470588,39.54579545,0.016101478,0.178376116,1.387072469,-88.08337496,-81.89300073,-0.075591005,
0.006470588,40.90940909,0.015019702,0.172346674,1.388995207,-94.18713553,-87.63802189,-0.074729136,
0.006470588,42.27302273,0.014044102,0.166714489,1.39073385,-100.4979997,-93.57778469,-0.073951473,
0.006470588,43.63663636,0.013161145,0.161441317,1.392306999,-107.0159482,-99.71228912,-0.073247332,
0.006470588,45.00025,0.012359452,0.156493841,1.393742007,-113.740965,-106.0415352,-0.07260768,
0.006470588,46.36386364,0.011629446,0.151842133,1.395043248,-120.6730364,-112.5655229,-0.072024837,
0.006470588,47.72747727,0.010962616,0.147460703,1.396234847,-127.8121505,-119.2842523,-0.071492239,
0.006470588,49.09109091,0.010351851,0.143326368,1.397328552,-135.1582973,-126.1977232,-0.071004245,
0.006470588,50.45470455,0.009790987,0.139418589,1.398331205,-142.7114682,-133.3059359,-0.070555991,
0.006470588,51.81831818,0.009274706,0.13571927,1.399256828,-150.4716557,-140.6088901,-0.070143257,
0.006470588,53.18193182,0.008798454,0.132212037,1.400110734,-158.4388532,-148.106586,-0.069762375,
0.006470588,54.54554545,0.008358114,0.128882243,1.400899826,-166.613055,-155.7990236,-0.069410136,
0.006470588,55.90915909,0.007950073,0.125716698,1.40163273,-174.9942562,-163.6862028,-0.06908373,
0.006470588,57.27277273,0.007571489,0.122703479,1.402311088,-183.5824523,-171.7681236,-0.068780682,
0.006470588,58.63638636,0.007219323,0.119831811,1.402944046,-192.3776395,-180.0447861,-0.068498809,
0.006470588,60,0.006891246,0.117091943,1.403533037,-201.3798144,-188.5161902,-0.068236178,
0.008088235,0.001,1,148.4131591,1,-0.00086087,-0.000855704,-0.006037446,
0.008088235,1.364613636,1,148.4131591,1.000013167,-1.353391313,-1.353429505,2.82187E-05,
0.008088235,2.728227273,1,148.4131591,1.000024425,-2.705921757,-2.706003307,3.01367E-05,
0.008088235,4.091840909,1,148.4131591,1.000035617,-4.0584522,-4.058577108,3.07763E-05,
0.008088235,5.455454545,1,148.4131591,1.000046897,-5.410982644,-5.411150909,3.10961E-05,
0.008088235,6.819068182,1,148.4131591,1.000058089,-6.763513088,-6.76372471,3.12879E-05,
0.008088235,8.182681818,1,148.4131591,1.00006928,-8.116043532,-8.116298512,3.14158E-05,
0.008088235,9.546295455,1,148.4131591,1.000080472,-9.468573976,-9.468872313,3.15071E-05,
0.008088235,10.90990909,1,148.4131591,1.000091664,-10.82110442,-10.82144611,3.15756E-05,
0.008088235,12.27352273,1,148.4131591,1.000103034,-12.17363487,-12.17401992,3.16288E-05,
0.008088235,13.63713636,1,148.4131591,1.000114049,-13.52616531,-13.52659372,3.16714E-05,
0.008088235,15.00075,1,148.4131591,1.000125419,-14.87869576,-14.87916752,3.17062E-05,
0.008088235,16.36436364,1,148.4131591,1.000136789,-16.2312262,-16.23174132,3.17352E-05,
0.008088235,17.72797727,0.09168424,0.415770755,1.262235574,-18.54555472,-17.58431512,-0.054664603,
0.008088235,19.09159091,0.077027759,0.382598834,1.286285944,-21.30263354,-19.02442088,-0.119752011,
0.008088235,20.45520455,0.065798719,0.354753858,1.305076107,-24.27006883,-21.83910615,-0.111312371,
0.008088235,21.81881818,0.05695769,0.330937395,1.320066801,-27.4465006,-24.84789781,-0.104580388,
0.008088235,23.18243182,0.049845268,0.310273396,1.332235371,-30.83104818,-28.05079589,-0.099114916,
0.008088235,24.54604545,0.044025784,0.292140666,1.342287177,-34.4231157,-31.44780038,-0.094611238,
0.008088235,25.90965909,0.039194107,0.276080177,1.350680209,-38.22228584,-35.03891127,-0.090852554,
0.008088235,27.27327273,0.035133813,0.261742408,1.357769288,-42.22825802,-38.82412857,-0.087680769,
0.008088235,28.63688636,0.031685424,0.248855607,1.363820438,-46.44081055,-42.80345228,-0.084978152,
0.008088235,30.0005,0.028729399,0.237203869,1.369021138,-50.85977667,-46.9768824,-0.082655427,
0.008088235,31.36411364,0.026174941,0.22661395,1.373530336,-55.48502877,-51.34441892,-0.080643815,
0.008088235,32.72772727,0.023951657,0.216943805,1.377469148,-60.31646765,-55.90606185,-0.078889581,
0.008088235,34.09134091,0.022003264,0.208076804,1.380920052,-65.35401524,-60.66181119,-0.077350214,
0.008088235,35.45495455,0.020286262,0.199915054,1.383971604,-70.5976093,-65.61166694,-0.075991704,
0.008088235,36.81856818,0.018764296,0.192376683,1.386671535,-76.04719971,-70.7556291,-0.074786567,
0.008088235,38.18218182,0.017409845,0.185391742,1.389087107,-81.70274572,-76.09369766,-0.073712387,
0.008088235,39.54579545,0.016197937,0.178901141,1.391262369,-87.56421388,-81.62587263,-0.072750723,
0.008088235,40.90940909,0.015109322,0.172853309,1.393212994,-93.63157653,-87.35215401,-0.071886293,
0.008088235,42.27302273,0.014127777,0.167204184,1.394969053,-99.90481065,-93.2725418,-0.071106338,
0.008088235,43.63663636,0.01323938,0.161915148,1.396566955,-106.3838969,-99.387036,-0.070400137,
0.008088235,45.00025,0.012432989,0.156952893,1.398009123,-113.068819,-105.6956366,-0.069758626,
0.008088235,46.36386364,0.011698444,0.152287499,1.399326273,-119.959563,-112.1983436,-0.0691741,
0.008088235,47.72747727,0.01102756,0.147892768,1.400534787,-127.0561172,-118.895157,-0.068639971,
0.008088235,49.09109091,0.010413191,0.143746168,1.401636284,-134.3584714,-125.7860769,-0.068150584,
0.008088235,50.45470455,0.009848961,0.139826841,1.402653778,-141.8666169,-132.8711031,-0.067701055,
0.008088235,51.81831818,0.009329756,0.136116607,1.403591995,-149.5805461,-140.1502357,-0.067287153,
0.008088235,53.18193182,0.008850462,0.132598898,1.404448974,-157.5002524,-147.6234748,-0.066905196,
0.008088235,54.54554545,0.008407461,0.129259256,1.405247193,-165.62573,-155.2908202,-0.066551968,
0.008088235,55.90915909,0.007997086,0.126084336,1.40598621,-173.956974,-163.1522721,-0.066224649,
0.008088235,57.27277273,0.007616141,0.123062217,1.406673734,-182.4939799,-171.2078304,-0.065920755,
0.008088235,58.63638636,0.007261898,0.120182092,1.407312835,-191.2367438,-179.4574951,-0.065638098,
0.008088235,60,0.006931861,0.117434088,1.407908542,-200.1852622,-187.9012662,-0.065374738,
0.009705882,0.001,1,148.4131591,1,-0.000859245,-0.000854087,-0.006039625,
0.009705882,1.364613636,1,148.4131591,1.00001541,-1.351173049,-1.35122203,3.62489E-05,
0.009705882,2.728227273,1,148.4131591,1.000028911,-2.701486854,-2.701589973,3.81696E-05,
0.009705882,4.091840909,1,148.4131591,1.000042367,-4.051800659,-4.051957916,3.881E-05,
0.009705882,5.455454545,1,148.4131591,1.000055868,-5.402114464,-5.402325859,3.91302E-05,
0.009705882,6.819068182,1,148.4131591,1.000069369,-6.75242827,-6.752693802,3.93223E-05,
0.009705882,8.182681818,1,148.4131591,1.000082604,-8.102742076,-8.103061745,3.94503E-05,
0.009705882,9.546295455,1,148.4131591,1.000096283,-9.453055883,-9.453429688,3.95417E-05,
0.009705882,10.90990909,1,148.4131591,1.000109607,-10.80336969,-10.80379763,3.96102E-05,
