eta,U,a,s,y,E,Einf,Ebind
0.009491525,0.252251256,1,148.4131591,1,-0.24971429,-0.249718843,1.82313E-05
0.010847458,0.252251256,1,148.4131591,1,-0.249370581,-0.249376805,2.49594E-05
0.01220339,0.252251256,1,148.4131591,1,-0.249026872,-0.249034768,3.1706E-05
0.013559322,0.252251256,1,148.4131591,1,-0.248683163,-0.24869273,3.84712E-05
0.014915254,0.252251256,1,148.4131591,1,-0.248339454,-0.248350693,4.5255E-05
0.016271186,0.252251256,1,148.4131591,1,-0.247995745,-0.248008655,5.20575E-05
0.017627119,0.252251256,1,148.4131591,1,-0.247652035,-0.247666618,5.88788E-05
0.018983051,0.252251256,1,148.4131591,1,-0.247308326,-0.24732458,6.5719E-05
0.020338983,0.252251256,1,148.4131591,1,-0.246964617,-0.246982543,7.25781E-05
0.021694915,0.252251256,1,148.4131591,1,-0.246620908,-0.246640505,7.94562E-05
0.023050847,0.252251256,1,148.4131591,1,-0.246277199,-0.246298467,8.63535E-05
0.02440678,0.252251256,1,148.4131591,1,-0.245933489,-0.24595643,9.32699E-05
0.025762712,0.252251256,1,148.4131591,1,-0.24558978,-0.245614392,0.000100206
0.027118644,0.252251256,1,148.4131591,1,-0.245246071,-0.245272355,0.000107161
0.028474576,0.252251256,1,148.4131591,1,-0.244902362,-0.244930317,0.000114135
0.029830508,0.252251256,1,148.4131591,1,-0.244558653,-0.24458828,0.000121129
0.031186441,0.252251256,1,148.4131591,1,-0.244214944,-0.244246242,0.000128143
0.032542373,0.252251256,1,148.4131591,1.000010303,-0.243871235,-0.243904204,0.000135175
0.033898305,0.252251256,1,148.4131591,1.000010653,-0.243527525,-0.243562167,0.000142228
0.035254237,0.252251256,1,148.4131591,1.000011,-0.243183816,-0.243220129,0.000149301
0.036610169,0.252251256,1,148.4131591,1.000011347,-0.242840107,-0.242878092,0.000156394
0.037966102,0.252251256,1,148.4131591,1.000011693,-0.242496398,-0.242536054,0.000163507
0.039322034,0.252251256,1,148.4131591,1.00001204,-0.242152689,-0.242194017,0.000170639
0.040677966,0.252251256,1,148.4131591,1.00001239,-0.24180898,-0.241851979,0.000177792
0.042033898,0.252251256,1,148.4131591,1.000012737,-0.24146527,-0.241509941,0.000184966
0.043389831,0.252251256,1,148.4131591,1.000013084,-0.241121561,-0.241167904,0.000192159
0.044745763,0.252251256,1,148.4131591,1.000013431,-0.240777852,-0.240825866,0.000199373
0.046101695,0.252251256,1,148.4131591,1.000013778,-0.240434143,-0.240483829,0.000206608
0.047457627,0.252251256,1,148.4131591,1.000014128,-0.240090434,-0.240141791,0.000213863
0.048813559,0.252251256,1,148.4131591,1.000014475,-0.239746725,-0.239799754,0.000221139
0.050169492,0.252251256,1,148.4131591,1.000014822,-0.239403015,-0.239457716,0.000228435
0.051525424,0.252251256,1,148.4131591,1.000015169,-0.239059306,-0.239115679,0.000235753
0.052881356,0.252251256,1,148.4131591,1.000015515,-0.238715597,-0.238773641,0.000243091
0.054237288,0.252251256,1,148.4131591,1.000015865,-0.238371888,-0.238431603,0.000250451
0.05559322,0.252251256,1,148.4131591,1.000016212,-0.238028179,-0.238089566,0.000257831
0.056949153,0.252251256,1,148.4131591,1.000016559,-0.23768447,-0.237747528,0.000265233
0.058305085,0.252251256,1,148.4131591,1.000016906,-0.237340761,-0.237405491,0.000272656
0.059661017,0.252251256,1,148.4131591,1.000017256,-0.236997051,-0.237063453,0.000280101
0.061016949,0.252251256,1,148.4131591,1.000017603,-0.236653342,-0.236721416,0.000287567
0.062372881,0.252251256,1,148.4131591,1.00001795,-0.236309633,-0.236379378,0.000295055
0.063728814,0.252251256,1,148.4131591,1.000018297,-0.235965924,-0.23603734,0.000302564
0.065084746,0.252251256,1,148.4131591,1.000018644,-0.235622215,-0.235695303,0.000310096
0.066440678,0.252251256,1,148.4131591,1.000018993,-0.235278506,-0.235353265,0.000317649
0.06779661,0.252251256,1,148.4131591,1.00001934,-0.234934796,-0.235011228,0.000325224
0.069152542,0.252251256,1,148.4131591,1.000019687,-0.234591087,-0.23466919,0.000332821
0.070508475,0.252251256,1,148.4131591,1.000020034,-0.234247378,-0.234327153,0.00034044
0.071864407,0.252251256,1,148.4131591,1.000020381,-0.233903669,-0.233985115,0.000348082
0.073220339,0.252251256,1,148.4131591,1.000020731,-0.23355996,-0.233643077,0.000355746
0.074576271,0.252251256,1,148.4131591,1.000021078,-0.233216251,-0.23330104,0.000363433
0.075932203,0.252251256,1,148.4131591,1.000021425,-0.232872542,-0.232959002,0.000371142
0.077288136,0.252251256,1,148.4131591,1.000021772,-0.232528832,-0.232616965,0.000378873
0.078644068,0.252251256,1,148.4131591,1.000022119,-0.232185123,-0.232274927,0.000386628
0.08,0.252251256,1,148.4131591,1.000022468,-0.231841414,-0.23193289,0.000394405
0,0.503502513,1,148.4131591,1,-0.503371511,-0.50336242,-1.80611E-05
0.001355932,0.503502513,1,148.4131591,1,-0.502685455,-0.5026797,-1.1448E-05
0.002711864,0.503502513,1,148.4131591,1,-0.501999399,-0.501996981,-4.81698E-06
0.004067797,0.503502513,1,148.4131591,1,-0.501313344,-0.501314262,1.83213E-06
0.005423729,0.503502513,1,148.4131591,1,-0.500627288,-0.500631543,8.49937E-06
0.006779661,0.503502513,1,148.4131591,1,-0.499941232,-0.499948824,1.51848E-05
0.008135593,0.503502513,1,148.4131591,1,-0.499255176,-0.499266104,2.18886E-05
0.009491525,0.503502513,1,148.4131591,1,-0.49856912,-0.498583385,2.86106E-05
0.010847458,0.503502513,1,148.4131591,1,-0.497883065,-0.497900666,3.53512E-05
0.01220339,0.503502513,1,148.4131591,1,-0.497197009,-0.497217947,4.21102E-05
0.013559322,0.503502513,1,148.4131591,1,-0.496510953,-0.496535228,4.88878E-05
0.014915254,0.503502513,1,148.4131591,1,-0.495824897,-0.495852508,5.56841E-05
0.016271186,0.503502513,1,148.4131591,1.000010292,-0.495138842,-0.495169789,6.24989E-05
0.017627119,0.503502513,1,148.4131591,1.000010991,-0.494452786,-0.49448707,6.93328E-05
0.018983051,0.503502513,1,148.4131591,1.00001168,-0.49376673,-0.493804351,7.61855E-05
0.020338983,0.503502513,1,148.4131591,1.000012374,-0.493080674,-0.493121632,8.30572E-05
0.021694915,0.503502513,1,148.4131591,1.000013067,-0.492394619,-0.492438912,8.99479E-05
0.023050847,0.503502513,1,148.4131591,1.000013761,-0.491708563,-0.491756193,9.68578E-05
0.02440678,0.503502513,1,148.4131591,1.000014455,-0.491022507,-0.491073474,0.000103787
0.025762712,0.503502513,1,148.4131591,1.000015149,-0.490336451,-0.490390755,0.000110735
0.027118644,0.503502513,1,148.4131591,1.000015843,-0.489650396,-0.489708036,0.000117703
0.028474576,0.503502513,1,148.4131591,1.000016537,-0.48896434,-0.489025317,0.00012469
0.029830508,0.503502513,1,148.4131591,1.000017231,-0.488278284,-0.488342597,0.000131697
0.031186441,0.503502513,1,148.4131591,1.000017925,-0.487592228,-0.487659878,0.000138723
0.032542373,0.503502513,1,148.4131591,1.000018619,-0.486906173,-0.486977159,0.000145769
0.033898305,0.503502513,1,148.4131591,1.000019307,-0.486220117,-0.48629444,0.000152835
0.035254237,0.503502513,1,148.4131591,1.000020006,-0.485534061,-0.485611721,0.000159921
0.036610169,0.503502513,1,148.4131591,1.0000207,-0.484848005,-0.484929001,0.000167026
0.037966102,0.503502513,1,148.4131591,1.000021394,-0.48416195,-0.484246282,0.000174152
0.039322034,0.503502513,1,148.4131591,1.000022083,-0.483475894,-0.483563563,0.000181298
0.040677966,0.503502513,1,148.4131591,1.000022782,-0.482789838,-0.482880844,0.000188464
0.042033898,0.503502513,1,148.4131591,1.000023476,-0.482103782,-0.482198125,0.00019565
0.043389831,0.503502513,1,148.4131591,1.000024164,-0.481417727,-0.481515405,0.000202857
0.044745763,0.503502513,1,148.4131591,1.000024858,-0.480731671,-0.480832686,0.000210084
0.046101695,0.503502513,1,148.4131591,1.000025552,-0.480045615,-0.480149967,0.000217332
0.047457627,0.503502513,1,148.4131591,1.000026252,-0.479359559,-0.479467248,0.0002246
0.048813559,0.503502513,1,148.4131591,1.00002694,-0.478673504,-0.478784529,0.000231889
0.050169492,0.503502513,1,148.4131591,1.000027634,-0.477987448,-0.478101809,0.000239199
0.051525424,0.503502513,1,148.4131591,1.000028328,-0.477301392,-0.47741909,0.00024653
0.052881356,0.503502513,1,148.4131591,1.000029022,-0.476615337,-0.476736371,0.000253881
0.054237288,0.503502513,1,148.4131591,1.000029716,-0.475929281,-0.476053652,0.000261254
0.05559322,0.503502513,1,148.4131591,1.000030409,-0.475243225,-0.475370933,0.000268648
0.056949153,0.503502513,1,148.4131591,1.000031103,-0.474557169,-0.474688213,0.000276064
0.058305085,0.503502513,1,148.4131591,1.000031797,-0.473871114,-0.474005494,0.0002835
0.059661017,0.503502513,1,148.4131591,1.000032491,-0.473185058,-0.473322775,0.000290958
0.061016949,0.503502513,1,148.4131591,1.000033185,-0.472499002,-0.472640056,0.000298438
0.062372881,0.503502513,1,148.4131591,1.000033873,-0.471812946,-0.471957337,0.000305939
0.063728814,0.503502513,1,148.4131591,1.000034573,-0.471126891,-0.471274618,0.000313462
0.065084746,0.503502513,1,148.4131591,1.000035267,-0.470440835,-0.470591898,0.000321007
0.066440678,0.503502513,1,148.4131591,1.000035961,-0.469754779,-0.469909179,0.000328574
0.06779661,0.503502513,1,148.4131591,1.000036649,-0.469068724,-0.46922646,0.000336163
0.069152542,0.503502513,1,148.4131591,1.000037343,-0.468382668,-0.468543741,0.000343774
0.070508475,0.503502513,1,148.4131591,1.000038043,-0.467696612,-0.467861022,0.000351407
0.071864407,0.503502513,1,148.4131591,1.000038731,-0.467010556,-0.467178302,0.000359062
0.073220339,0.503502513,1,148.4131591,1.000039425,-0.466324501,-0.466495583,0.00036674
0.074576271,0.503502513,1,148.4131591,1.000040119,-0.465638445,-0.465812864,0.00037444
0.075932203,0.503502513,1,148.4131591,1.000040818,-0.464952389,-0.465130145,0.000382163
0.077288136,0.503502513,1,148.4131591,1.000041507,-0.464266334,-0.464447426,0.000389909
0.078644068,0.503502513,1,148.4131591,1.0000422,-0.463580278,-0.463764706,0.000397677
0.08,0.503502513,1,148.4131591,1.000042894,-0.462894222,-0.463081987,0.000405468
0,0.754753769,1,148.4131591,1,-0.754622767,-0.754611733,-1.46221E-05
0.001355932,0.754753769,1,148.4131591,1,-0.753594365,-0.753588332,-8.00497E-06
0.002711864,0.754753769,1,148.4131591,1,-0.752565962,-0.752564931,-1.36984E-06
0.004067797,0.754753769,1,148.4131591,1,-0.75153756,-0.751541531,5.28336E-06
0.005423729,0.754753769,1,148.4131591,1,-0.750509158,-0.75051813,1.19547E-05
0.006779661,0.754753769,1,148.4131591,1,-0.749480755,-0.749494729,1.86443E-05
0.008135593,0.754753769,1,148.4131591,1,-0.748452353,-0.748471328,2.53521E-05
0.009491525,0.754753769,1,148.4131591,1,-0.74742395,-0.747447927,3.20783E-05
0.010847458,0.754753769,1,148.4131591,1.00001027,-0.746395548,-0.746424527,3.88229E-05
0.01220339,0.754753769,1,148.4131591,1.000011324,-0.745367146,-0.745401126,4.5586E-05
0.013559322,0.754753769,1,148.4131591,1.000012357,-0.744338744,-0.744377725,5.23678E-05
0.014915254,0.754753769,1,148.4131591,1.0000134,-0.743310341,-0.743354324,5.91682E-05
0.016271186,0.754753769,1,148.4131591,1.000014433,-0.742281939,-0.742330923,6.59874E-05
0.017627119,0.754753769,1,148.4131591,1.000015477,-0.741253536,-0.741307522,7.28254E-05
0.018983051,0.754753769,1,148.4131591,1.000016509,-0.740225134,-0.740284122,7.96823E-05
0.020338983,0.754753769,1,148.4131591,1.000017564,-0.739196732,-0.739260721,8.65582E-05
0.021694915,0.754753769,1,148.4131591,1.000018596,-0.738168329,-0.73823732,9.34531E-05
0.023050847,0.754753769,1,148.4131591,1.00001964,-0.737139927,-0.737213919,0.000100367
0.02440678,0.754753769,1,148.4131591,1.000020673,-0.736111525,-0.736190518,0.0001073
0.025762712,0.754753769,1,148.4131591,1.000021716,-0.735083122,-0.735167118,0.000114253
0.027118644,0.754753769,1,148.4131591,1.000022749,-0.73405472,-0.734143717,0.000121225
0.028474576,0.754753769,1,148.4131591,1.000023803,-0.733026318,-0.733120316,0.000128217
0.029830508,0.754753769,1,148.4131591,1.000024836,-0.731997915,-0.732096915,0.000135227
0.031186441,0.754753769,1,148.4131591,1.00002588,-0.730969513,-0.731073514,0.000142258
