eta,U,a,s,y,E,yinf,Einf,dE
0.0002,1e-05,1,8,1.0,-9.681637291192924e-06,1000.0,-9.660403938718904e-06,-0.002197977704526131
0.0002,1.2288774330579116e-05,1,8,1.0,-1.1969953755393927e-05,1000.0,-1.1948722680270827e-05,-0.0017768489311544556
0.0002,1.510139745479005e-05,1,8,1.0,-1.4782014217945447e-05,1000.0,-1.4760785941407496e-05,-0.0014381535388572936
0.0002,1.8557766539829677e-05,1,8,1.0,-1.8237691860769367e-05,1000.0,-1.821646702334955e-05,-0.0011651456559941212
0.0002,2.2805220508753942e-05,1,8,1.0,-2.2484296131958494e-05,1000.0,-2.246307552079335e-05,-0.0009446885910836791
0.0002,2.802482083911719e-05,1,8,1.0,-2.7702852287950105e-05,1000.0,-2.7681636870333947e-05,-0.0007664076266708672
0.0002,3.44390698946822e-05,1,8,1.0,-3.411581818119363e-05,1000.0,-3.4094609145812624e-05,-0.0006220641888076447
0.0002,4.2321395809079146e-05,1,8,1.0,-4.199656724637076e-05,1000.0,-4.197536605397451e-05,-0.0005050865397812021
0.0002,5.200780824528904e-05,1,8,1.0,-5.168104192815909e-05,1000.0,-5.165985037382979e-05,-0.00041021323476443563
0.0002,6.391122189543889e-05,1,8,1.0,-6.358207431562947e-05,1000.0,-6.356089460530316e-05,-0.00033321919802782655
0.0002,7.85390583064617e-05,1,8,1.0,-7.820698444668327e-05,1000.0,-7.818581929118497e-05,-0.00027070325143592017
0.0002,9.65148763664303e-05,1,8,1.0,-9.617920646723517e-05,1000.0,-9.615805919783652e-05,-0.00021992196572046926
0.0002,0.00011860495352108069,1,8,1.0,-0.00011826486453019799,1000.0,-0.00011824373924062358,-0.00017865884240539888
0.0002,0.00014575095083093872,1,8,1.0,-0.00014540543131800655,1000.0,-0.00014538433303894213,-0.00014512071984238797
0.0002,0.00017911005432287385,1,8,1.0,-0.00017875786136394538,1000.0,-0.00017873679627748712,-0.00011785534314686913
0.0002,0.00022010430379115656,1,8,1.0,-0.00021974390998504248,1000.0,-0.00021972288568822892,-9.568551199256852e-05
0.0002,0.0002704812118478755,1,8,1.0,-0.00027011074020572305,1000.0,-0.00027008976603438333,-7.765629793263882e-05
0.0002,0.0003323882573060108,1,8,1.0,-0.0003320054012385768,1000.0,-0.0003319844886653007,-6.299262161368096e-05
0.0002,0.0004084644284168036,1,8,1.0,-0.00040806635340861965,1000.0,-0.00040804551653181385,-5.1065079658031324e-05
0.0002,0.0005019527182883087,1,8,1.0,-0.000501535941067282,1000.0,-0.0005015151972121605,-4.1362365959989466e-05
0.0002,0.0006168383679665784,1,8,1.0,-0.0006163986080182413,1000.0,-0.0006163779784753681,-3.346898103701378e-05
0.0002,0.0007580187502384012,1,8,1.0,-0.000757550747335122,1000.0,-0.0007575302582679912,-2.7047193042432934e-05
0.0002,0.0009315121360027327,1,8,1.0,-0.0009310094259694823,1000.0,-0.0009309891095298212,-2.1822424616115854e-05
0.0002,0.0011447142425533316,1,8,1.0,-0.0011441688817112937,1000.0,-0.0011441487774096343,-1.7571405097279152e-05
0.0002,0.0014067134999737711,1,8,1.0,-0.001406115726515312,1000.0,-0.001406095882905256,-1.4112558252369629e-05
0.0002,0.0017286784748956803,1,8,1.0,-0.001728016292755694,1000.0,-0.0017279967695036662,-1.1298199378834778e-05
0.0002,0.0021243339668122713,1,8,1.0,-0.002123592634297063,1000.0,-0.0021235735047257865,-9.008198319415044e-06
